input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_self_signed,tls_mismatched
17-121-114-192.datacamp.com,,404,48,17-121-114-192.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-114-192.datacamp.com,cloudflare,443,https://17-121-114-192.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
17-121-115-249.datacamp.com,,404,48,17-121-115-249.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-115-249.datacamp.com,cloudflare,443,https://17-121-115-249.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-116-105.datacamp.com,,404,48,17-121-116-105.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-116-105.datacamp.com,cloudflare,443,https://17-121-116-105.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-117-179.datacamp.com,,404,48,17-121-117-179.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-117-179.datacamp.com,cloudflare,443,https://17-121-117-179.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-121-165.datacamp.com,,404,48,17-121-121-165.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-121-165.datacamp.com,cloudflare,443,https://17-121-121-165.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
17-121-123-220.datacamp.com,,404,48,17-121-123-220.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-123-220.datacamp.com,cloudflare,443,https://17-121-123-220.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-125-167.datacamp.com,,404,48,17-121-125-167.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-125-167.datacamp.com,cloudflare,443,https://17-121-125-167.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-126-110.datacamp.com,,404,48,17-121-126-110.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-126-110.datacamp.com,cloudflare,443,https://17-121-126-110.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-121-126-208.datacamp.com,,404,48,17-121-126-208.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-121-126-208.datacamp.com,cloudflare,443,https://17-121-126-208.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
17-58-100-227.datacamp.com,,404,48,17-58-100-227.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,17-58-100-227.datacamp.com,cloudflare,443,https://17-58-100-227.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
