new,host,soa,status_code,a,aaaa,cname,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips
[x],api-int.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.20.204, 104.18.21.204","2606:4700::6812:14cc, 2606:4700::6812:15cc",api-int.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],api.bff.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.7.201, 104.18.6.201","2606:4700::6812:6c9, 2606:4700::6812:7c9",api.bff.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],api.brokercheck.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.2.11, 104.18.3.11","2606:4700::6812:30b, 2606:4700::6812:20b",api.brokercheck.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],api.brokercheck.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.161, 104.18.30.161","2606:4700::6812:1fa1, 2606:4700::6812:1ea1",api.brokercheck.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],api.ct.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.8.242, 104.18.9.242","2606:4700::6812:8f2, 2606:4700::6812:9f2",api.ct.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],api.dev.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],api.dr.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.24.17, 104.18.25.17","2606:4700::6812:1911, 2606:4700::6812:1811",api.dr.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ats.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.6.135, 104.18.7.135","2606:4700::6812:787, 2606:4700::6812:687",otctransparency.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],authsyn.dev.finra.org,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"34.228.181.134, 52.0.123.210",,authsyn.finrastratusd.org,,,,,,,
[x],authsyn.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.18.64, 104.18.19.64","2606:4700::6812:1340, 2606:4700::6812:1240",authsyn.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],authsyn.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.6.196, 104.18.7.196","2606:4700::6812:7c4, 2606:4700::6812:6c4",authsyn.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],autodiscover.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,198.202.240.193,,outlook.finra.org,,,,,,,
[x],bats.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.0.91, 104.18.1.91","2606:4700::6812:5b, 2606:4700::6812:15b","reg.finra.org, reg.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],benefits.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.30.204, 104.18.31.204","2606:4700::6812:1ecc, 2606:4700::6812:1fcc",benefits.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],benefits.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.8.134, 104.18.9.134","2606:4700::6812:886, 2606:4700::6812:986",benefits.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],bff.dev.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],bff.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],blotterchat.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,75.98.61.85,,fixmypc.finra.org,,,,,,,
[x],blshts.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],bondfacts.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.18.28, 104.18.19.28","2606:4700::6812:121c, 2606:4700::6812:131c",bondfacts.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],bondfacts.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.29.23, 104.18.28.23","2606:4700::6812:1d17, 2606:4700::6812:1c17",bondfacts.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],box.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.26.139, 104.18.27.139","2606:4700::6812:1a8b, 2606:4700::6812:1b8b","reg.qa.finra.org, reg.qa.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],brokercheck.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.17.220, 104.18.16.220","2606:4700::6812:10dc, 2606:4700::6812:11dc",brokercheck.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],brokercheck.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.14.81, 104.18.15.81","2606:4700::6812:e51, 2606:4700::6812:f51",brokercheck.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],bulkmail.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,"75.98.61.145, 75.98.61.146, 75.98.61.144, 198.202.241.145, 198.202.241.146",,,,,,,,,
[x],cam.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.11.185, 104.18.10.185","2606:4700::6812:bb9, 2606:4700::6812:ab9",cam.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],careers.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,"3.89.170.120, 34.230.227.67, 34.230.163.225, 34.197.144.26, 204.74.104.33, 204.74.106.33, 204.74.67.1, 204.74.66.1, 204.74.110.1, 204.74.111.1","2610:a1:3221::53, 2001:502:f3ff::201, 2610:a1:1014::201, 2001:502:4612::201",finra.org,,,"ns33.ultradns2.com, edns1.ultradns.com, edns1.ultradns.net, ns33.ultradns2.org, edns1.ultradns.biz, edns1.ultradns.org","mxb-0009b601.gslb.pphosted.com, mxa-0009b601.gslb.pphosted.com","hFyqR0Ci0/sz3xELk5TJnBgxJxqyMEN0TPyoPXFmf/cheXqRhwcb4Qj2ywuHZWBQ5NxetLKaqNC9hOm3AVkHow==, atlassian-domain-verification=8bRhni6aQzXMDlB5gNy16pouJAMcPbAFbexKTLfC9g9VHdV0wpo41TrCtESXQfcD, docusign=c1cb9a42-1c90-4967-828a-a106ed0abbc1, adobe-idp-site-verification=787273190a9aa72164810d5271b7289e28a47cb3a37500c77339a26390f6705f, google-site-verification=BO_UtzdjHVQK93-YJVjkhlLGnsdTiavDc0OWWYhBzRE, MS=ms57037628, MS=ms65386581, v=spf1 redirect=_spf.finra.org, miro-verification=aaf0a978e19a47ec1bc0f8831e6c409636c8d65f, docusign=4b71d4a2-8d12-4c38-8e1f-742d93db0742, docker-verification=290d160b-fa0d-4b5e-b891-6646b8bacb51, mongodb-site-verification=9IVAEcql0nFQ23gv3yYCdD6h4OGtpMW8, h1-domain-verification=1PyXVdzCWm9XAUJ6RKkgjhMh4rkv5c2Jz3vmhydM56m6Mgge, apple-domain-verification=X5taqs8PlYq1lCeb",,
[x],cboe.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.26.139, 104.18.27.139","2606:4700::6812:1b8b, 2606:4700::6812:1a8b","reg.qa.finra.org, reg.qa.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],cdip.dr.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],cdip.qa.dr.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],cdn.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.29.214, 104.18.28.214","2606:4700::6812:1cd6, 2606:4700::6812:1dd6",cdn.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],cdn.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.20.137, 104.18.21.137","2606:4700::6812:1489, 2606:4700::6812:1589",cdn.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ceonline-qa2.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.66, 104.18.30.66","2606:4700::6812:1e42, 2606:4700::6812:1f42",ceonline-qa2.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ceonline.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.15.34, 104.18.14.34","2606:4700::6812:e22, 2606:4700::6812:f22",ceonline.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ceonline.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.144.51, 104.18.145.51","2606:4700::6812:9133, 2606:4700::6812:9033",ceonline.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],cobra.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],cobra.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],contacts.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.15.205, 104.18.14.205","2606:4700::6812:ecd, 2606:4700::6812:fcd",contacts.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],crcp.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.23.5, 104.18.22.5","2606:4700::6812:1605, 2606:4700::6812:1705",crcp.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],crcp.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.21.80, 104.18.20.80","2606:4700::6812:1450, 2606:4700::6812:1550",crcp.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],crd.finra.org,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"34.202.81.142, 54.227.246.182, 52.2.55.70",,awsalberampepp11-1105864954.us-east-1.elb.amazonaws.com,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,
[x],crd.firms.finra.org,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"34.202.81.142, 52.2.55.70, 54.227.246.182",,"crd.finra.org, awsalberampepp11-1105864954.us-east-1.elb.amazonaws.com",,,,,,,
[x],ct.developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.22.93, 104.18.23.93","2606:4700::6812:165d, 2606:4700::6812:175d",ct.developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dapi.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],dapi.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],data.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.9.158, 104.18.8.158","2606:4700::6812:89e, 2606:4700::6812:99e","gateway.finra.org, gateway.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],data.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.3.42, 104.18.2.42","2606:4700::6812:32a, 2606:4700::6812:22a",data.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],datacollection.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.21.213, 104.18.20.213","2606:4700::6812:15d5, 2606:4700::6812:14d5",datacollection.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],datacollection.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.8.79, 104.18.9.79","2606:4700::6812:94f, 2606:4700::6812:84f",datacollection.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ddwa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.2.153, 104.18.3.153","2606:4700::6812:299, 2606:4700::6812:399",ddwa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],desktop.dev.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,52.72.78.155,,,,,,,,,
[x],desktop.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,20.7.29.130,,,,,,,,,
[x],desktop.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,172.176.165.172,,,,,,,,,
[x],dev.acquia.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.3.126, 104.18.2.126","2606:4700::6812:27e, 2606:4700::6812:37e",dev.acquia.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dev.acquia.syndication.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.9.81, 104.18.8.81","2606:4700::6812:851, 2606:4700::6812:951",dev.acquia.syndication.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dev.developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.26.226, 104.18.27.226","2606:4700::6812:1ae2, 2606:4700::6812:1be2",dev.developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dev.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,"mxb-0009b601.gslb.pphosted.com, mxa-0009b601.gslb.pphosted.com","v=spf1  redirect=_spf.dev.finra.org, globalsign-domain-verification=HD8WG1xXbpMv2YtKNxKuYvgXPjU-1OdRe4nNFp11MP",,
[x],developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.29.201, 104.18.28.201","2606:4700::6812:1dc9, 2606:4700::6812:1cc9",developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],di.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],di.qa.dr.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],di.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],di.s3.finra.org,"ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,52.86.194.111,,di.s3.finrastratus.org,,,,,,,
[x],dialin.finra.org,"admin.nsatc.net, dns.level3.net",NOERROR,52.112.193.16,2603:1027:0:48::21,webdir.online.lync.com,,,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,,,
[x],disasterrecoverytesting-fda.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,198.202.240.220,,,,,,,,,
[x],disciplinaryactions.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,198.202.240.37,,,,,,,,,
[x],diver-sec.qa.finra.org,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"44.196.102.210, 54.164.89.66, 54.225.224.190",,AWSALBEDIVEREQ01SEC-1196480968.us-east-1.elb.amazonaws.com,,,,,,,
[x],docshareng.finra.org,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,3.215.110.214,,"finra-east.kiteworks.com, finra-us-east-nlb-4ceb5147f0f6f9d1.elb.us-east-1.amazonaws.com",,,,,,,
[x],drapps.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.7.43, 104.18.6.43","2606:4700::6812:62b, 2606:4700::6812:72b",drapps.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],drapps.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.16.107, 104.18.17.107","2606:4700::6812:106b, 2606:4700::6812:116b",drapps.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],drportal.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.7.79, 104.18.6.79","2606:4700::6812:74f, 2606:4700::6812:64f",drportal.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],drportal.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.22.137, 104.18.23.137","2606:4700::6812:1789, 2606:4700::6812:1689",drportal.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dsp.dev.finra.org,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.207.34.167, 54.147.241.115",,AWSLBEDSPHECED01-660142757.us-east-1.elb.amazonaws.com,,,,,,,
[x],dxtenpro.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],dxtenpro.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],dxtfaset.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.12.37, 104.18.13.37","2606:4700::6812:c25, 2606:4700::6812:d25",dxtfaset.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],dxtfaset.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,dxtfaset.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebill.dr.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.16.247, 104.18.17.247","2606:4700::6812:11f7, 2606:4700::6812:10f7",ebill.dr.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebill.fss.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.155, 104.18.30.155","2606:4700::6812:1e9b, 2606:4700::6812:1f9b",ebill.fss.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebill.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.4.46, 104.18.5.46","2606:4700::6812:42e, 2606:4700::6812:52e",ebill.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebill3.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.20.138, 104.18.21.138","2606:4700::6812:158a, 2606:4700::6812:148a",ebill3.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebill5.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.15.235, 104.18.14.235","2606:4700::6812:eeb, 2606:4700::6812:feb",ebill5.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ebillint.fss.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.26.20, 104.18.27.20","2606:4700::6812:1a14, 2606:4700::6812:1b14",ebillint.fss.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],edit.dev.acquia.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.6.165, 104.18.7.165","2606:4700::6812:7a5, 2606:4700::6812:6a5",edit.dev.acquia.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],edit.dev.acquia.syndication.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.11.26, 104.18.10.26","2606:4700::6812:b1a, 2606:4700::6812:a1a",edit.dev.acquia.syndication.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],edit.dev.developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.24.3, 104.18.25.3","2606:4700::6812:1903, 2606:4700::6812:1803",edit.dev.developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],edit.developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.2.50, 104.18.3.50","2606:4700::6812:332, 2606:4700::6812:232",edit.developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],edit.qc.acquia.syndication.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],edit.stage.acquia.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.87, 104.18.30.87","2606:4700::6812:1f57, 2606:4700::6812:1e57","acquia.finra.org, acquia.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],edit.stage.developer.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.22.40, 104.18.23.40","2606:4700::6812:1628, 2606:4700::6812:1728",edit.stage.developer.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],efocus.dev.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],efocus.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.0.211, 104.18.1.211","2606:4700::6812:1d3, 2606:4700::6812:d3",efocus.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],efocus.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.21.152, 104.18.20.152",,efocus.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],enterprise-ext.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.10.143, 104.18.11.143","2606:4700::6812:a8f, 2606:4700::6812:b8f",enterprise-ext.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],enterprise.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],enterpriseenrollment.finra.org,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-05.azure-dns.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,52.236.189.96,,"EnterpriseEnrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpap02.japaneast.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,,,,
[x],enterpriseregistration.finra.org,"internal.akadns.net, hostmaster.akamai.com",NOERROR,20.190.137.40,,"EnterpriseRegistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",True,azure,,,,,
[x],epay.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,"3.89.170.120, 34.197.144.26, 34.230.163.225, 34.230.227.67",,finra.org,,,"edns1.ultradns.org, ns33.ultradns2.com, ns33.ultradns2.org, edns1.ultradns.com, edns1.ultradns.net, edns1.ultradns.biz","mxb-0009b601.gslb.pphosted.com, mxa-0009b601.gslb.pphosted.com","adobe-idp-site-verification=787273190a9aa72164810d5271b7289e28a47cb3a37500c77339a26390f6705f, apple-domain-verification=X5taqs8PlYq1lCeb, mongodb-site-verification=9IVAEcql0nFQ23gv3yYCdD6h4OGtpMW8, docker-verification=290d160b-fa0d-4b5e-b891-6646b8bacb51, docusign=c1cb9a42-1c90-4967-828a-a106ed0abbc1, docusign=4b71d4a2-8d12-4c38-8e1f-742d93db0742, v=spf1 redirect=_spf.finra.org, google-site-verification=BO_UtzdjHVQK93-YJVjkhlLGnsdTiavDc0OWWYhBzRE, MS=ms57037628, MS=ms65386581, hFyqR0Ci0/sz3xELk5TJnBgxJxqyMEN0TPyoPXFmf/cheXqRhwcb4Qj2ywuHZWBQ5NxetLKaqNC9hOm3AVkHow==, atlassian-domain-verification=8bRhni6aQzXMDlB5gNy16pouJAMcPbAFbexKTLfC9g9VHdV0wpo41TrCtESXQfcD, miro-verification=aaf0a978e19a47ec1bc0f8831e6c409636c8d65f, h1-domain-verification=1PyXVdzCWm9XAUJ6RKkgjhMh4rkv5c2Jz3vmhydM56m6Mgge",,
[x],esp-ext.dr.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.0.161, 104.18.1.161","2606:4700::6812:a1, 2606:4700::6812:1a1",esp-ext.dr.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],esp-ext.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.20.110, 104.18.21.110","2606:4700::6812:146e, 2606:4700::6812:156e",esp-ext.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],esp-ext.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,esp-ext.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ews-adfs.qa.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,198.202.241.203,,,,,,,,,
[x],ews-assets-int.dev.finra.org,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,ews-assets-int.finrastratusd.org,,,,,,,
[x],ews-assets-int.qa.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.25.25, 104.18.24.25","2606:4700::6812:1919, 2606:4700::6812:1819",ews-assets-int.qa.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ews-assets.dr.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.164, 104.18.30.164","2606:4700::6812:1ea4, 2606:4700::6812:1fa4",ews-assets.dr.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],ews-assets.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.21.116, 104.18.20.116","2606:4700::6812:1574, 2606:4700::6812:1474",ews-assets.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
