input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,content_type,tech_,cdn,csp_domains_,final_url
billing.preprod.octopus.com,Octopus Billing,200,3831,billing.preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=billing.preprod.octopus.com,billing.preprod.octopus.com,,billing.preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",030703ba343976028b1e4c8648581772,91e3bc09961bc9802de5f31359edb93f5910b0bd505d95645cd25697b721285c,,ctls,billing.preprod.octopus.com,443,https://billing.preprod.octopus.com:443,https,GET,13.107.253.45,/,-266780419,2620:1ec:48:1::45,110,False,,,text/html,HSTS,,,
c.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,62090,c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=c.dev.octopus.com,c.dev.octopus.com,,c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",de13171720334c8b450e58d63ddbaa7a,a327ad0df0fe517cde95e27a8a7fceaed21f98ed1e39c9a41617ce905376ea30,,ctls,c.dev.octopus.com,443,https://c.dev.octopus.com:443,https,GET,13.107.253.45,/,815025569,2620:1ec:48:1::45,1613,False,,,text/html,Microsoft ASP.NET,,,
checkout.viraloctopus.com.dns.foxycart.com,ERROR: The request could not be satisfied,502,951,checkout.viraloctopus.com.dns.foxycart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-24T00:00:00Z,2023-11-06T23:59:59Z,CN=*.foxycart.com,*.foxycart.com,,*.foxy.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1dcf33936a0b768f028d01e2c83de768,a1e16f3d7b2b13b61fcc92f826f45b998107bf197d22db3224ebd1cafaacd378,True,ctls,checkout.viraloctopus.com.dns.foxycart.com,443,https://checkout.viraloctopus.com.dns.foxycart.com:443,https,GET,18.66.112.14,/,-1281062649,18.66.112.107,20,False,cloudfront,CloudFront,text/html,Amazon Web Services,True,,
deactivatedcloudinstance.octopus.com,,400,198,deactivatedcloudinstance.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-04-20T10:26:00Z,2024-04-14T10:26:00Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,1cf60e102bec7fce7f39e618a6491cd9,f3b7f233a835735a9539a9fe92a3fdfb197264097ea4a61575badffa784239c1,True,ctls,deactivatedcloudinstance.octopus.com,443,https://deactivatedcloudinstance.octopus.com:443,https,GET,13.107.226.45,/,-1558093055,2620:1ec:48:1::45,1,False,,,,,,,
extensions.octopus.com,,403,243,extensions.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=extensions.octopus.com,extensions.octopus.com,,extensions.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0e1cf1269d9faf16e6e95eba31015202,911945981e249dd57c3659eb2296a94a5e4860ed34a418926dd41331e9bf4447,,ctls,extensions.octopus.com,443,https://extensions.octopus.com:443,https,GET,143.204.89.93,/,-1733713330,2600:9000:2156:ac00:13:a3a2:c40:93a1,2,False,cloudfront,AmazonS3,application/xml,HTTP/3,True,,
githubactionsworkflowgenerator.octopus.com,Pipeline Builder,200,3645,githubactionsworkflowgenerator.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-02T00:00:00Z,2024-03-31T23:59:59Z,CN=githubactionsworkflowgenerator.octopus.com,githubactionsworkflowgenerator.octopus.com,,githubactionsworkflowgenerator.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8c15d3d111ab54a8d8ae09ac40587165,7a11fbe1b2f13bed9556a877f57d3a966306d5800d267e5dea494d344e6fc75a,,ctls,githubactionsworkflowgenerator.octopus.com,443,https://githubactionsworkflowgenerator.octopus.com:443,https,GET,54.219.123.206,/,-1840324437,54.153.44.64,1,False,,,text/html,HSTS,,*.cloudflareinsights.com,
hatch.octopus.com,Hatch,200,1746,hatch.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,True,ctls,hatch.octopus.com,80,http://hatch.octopus.com:80,http,GET,20.211.64.12,/,1908147121,20.211.64.12,39,False,,Microsoft-IIS/10.0,text/html,Windows Server,,,https://hatch.octopus.com/
hello.octopus.com,,204,,hello.octopus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T18:27:15Z,2023-07-18T18:27:14Z,CN=hello.octopus.com,hello.octopus.com,,hello.octopus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ee74cc613f4019128fedb33180514fe,ca9b6d6894c06cf878202b82950ced9f20cbddd47264179da65dd6593033e4a8,,ctls,hello.octopus.com,443,https://hello.octopus.com:443,https,GET,44.228.158.230,/,-1840324437,54.149.247.91,1,False,,,,HSTS,,,
help-dev.octopus.com,Discourse,200,57784,help-dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-09T00:00:00Z,2023-09-14T23:59:59Z,CN=help-dev.octopus.com,help-dev.octopus.com,,help-dev.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a2b262a8febc80d59f9559bae506b6e3,750bf065df30234bc097e6cc2e3bb2d1880962ef6d8b516b819e45abb864ac2b,,ctls,help-dev.octopus.com,443,https://help-dev.octopus.com:443,https,GET,35.161.26.127,/,-1840324437,34.209.145.31,577,False,,nginx,text/html,Ruby on Rails,,https://help-dev.octopus.com/plugins/,
help.octopus.com,Octopus Deploy,200,160639,help.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-10-04T23:59:59Z,CN=help.octopus.com,help.octopus.com,,help.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c640bd173b041025dac749ad435d8696,5cfffc205fa041aa354f9721136bc98964c3b6d7de0e984b41c2f9a6001076ac,,ctls,help.octopus.com,443,https://help.octopus.com:443,https,GET,35.83.55.150,/,-1840324437,52.40.233.0,613,False,,nginx,text/html,Ruby on Rails,,https://help.octopus.com/svg-sprite/,
jiraconnectapp.octopus.com,,200,1062,jiraconnectapp.octopus.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,,octopus.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,6d7500c84becacb34046ab5aa1ee8a6b,5022bc15cb9a7577bbf984ad7786856293345ea903a642dd9f613c8a267f5f72,True,ctls,jiraconnectapp.octopus.com,443,https://jiraconnectapp.octopus.com:443,https,GET,52.187.229.23,/,1321168149,52.187.229.23,1,False,azure,Microsoft-IIS/10.0,application/json,Windows Server,True,,https://jiraconnectapp.octopus.com/Jira/atlassian-connect.json
octopusworkflowbuilder-test.octopus.com,Octopus Builder,200,3574,octopusworkflowbuilder-test.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-08T00:00:00Z,2024-06-06T23:59:59Z,CN=octopusworkflowbuilder-test.octopus.com,octopusworkflowbuilder-test.octopus.com,,octopusworkflowbuilder-test.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,44e8383fad41f0549a209957a30788ac,4c8156e43b9cd597720763cc1ce163ff7a9edb27c2711073e44bea2dcff842cd,,ctls,octopusworkflowbuilder-test.octopus.com,443,https://octopusworkflowbuilder-test.octopus.com:443,https,GET,54.67.20.124,/,-1840324437,54.193.62.189,1,False,,,text/html,HSTS,,*.wistia.net,
preprod.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,62241,preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=preprod.octopus.com,preprod.octopus.com,,preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",91911faee7c599d30b499202e4e3ed7e,abbeda992afc95c3e6b05d44088053f320857b1e23a6758f31969493b4006541,,ctls,preprod.octopus.com,443,https://preprod.octopus.com:443,https,GET,13.107.226.67,/,-1631509619,13.107.253.67,1613,False,,,text/html,Microsoft ASP.NET,,,
prerelease.apt.octopus.com,,403,243,prerelease.apt.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-22T00:00:00Z,2023-12-22T23:59:59Z,CN=prerelease.apt.octopus.com,prerelease.apt.octopus.com,,prerelease.apt.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e092a6521e600086165a1d0eb1835051,0921f35003c9944586c5b7cc07ff95934ac55698ab98ed680f4ffe0870e9ae3d,,ctls,prerelease.apt.octopus.com,443,https://prerelease.apt.octopus.com:443,https,GET,13.225.78.33,/,707464377,2600:9000:21f3:3600:11:327b:6dc0:93a1,2,False,cloudfront,AmazonS3,application/xml,HTTP/3,True,,
prerelease.rpm.octopus.com,,403,243,prerelease.rpm.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-22T00:00:00Z,2023-12-22T23:59:59Z,CN=prerelease.rpm.octopus.com,prerelease.rpm.octopus.com,,prerelease.rpm.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ad93575bd633158f918ea5287269b64b,9b189bbb7666d234db220c02a6a5fec99f969cd0d212098de897acaccfa2f602,,ctls,prerelease.rpm.octopus.com,443,https://prerelease.rpm.octopus.com:443,https,GET,18.66.97.98,/,648678377,2600:9000:223c:a400:17:d778:5dc0:93a1,2,False,cloudfront,AmazonS3,application/xml,HTTP/3,True,,
rpm.octopus.com,,403,243,rpm.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-23T00:00:00Z,2023-12-23T23:59:59Z,CN=rpm.octopus.com,rpm.octopus.com,,rpm.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b19dfede2698c6e62697f22fe70d7f0f,233f6325445657a5c8b483ac94f8865e033d50a3f78e5c9f14ba25640ce1cdfb,,ctls,rpm.octopus.com,443,https://rpm.octopus.com:443,https,GET,18.66.112.98,/,-2010666445,2600:9000:223f:4800:2:2387:9bc0:93a1,2,False,cloudfront,AmazonS3,application/xml,HTTP/3,True,,
shop.octopus.com,"OctoShop - Octopus Hoodies, Shirts and Stickers – Octopus Deploy",200,65876,shop.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-03T15:24:31Z,2023-07-02T15:24:30Z,CN=shop.octopus.com,shop.octopus.com,,shop.octopus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,66e1674e39b9b43d87ee9c5abdb5c41e,c9cae01c439971769a286ceb7402a793da1b89cdd5ad567fabfaeadae2af0c5b,,ctls,shop.octopus.com,443,https://shop.octopus.com:443,https,GET,23.227.38.74,/,-1840324437,23.227.38.74,1085,False,,cloudflare,text/html,Shopify,,,
steps-feed.octopus.com,Your Azure Function App is up and running.,200,149794,steps-feed.octopus.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,,octopus.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,6d7500c84becacb34046ab5aa1ee8a6b,5022bc15cb9a7577bbf984ad7786856293345ea903a642dd9f613c8a267f5f72,True,ctls,steps-feed.octopus.com,443,https://steps-feed.octopus.com:443,https,GET,52.237.246.162,/,-1840324437,52.237.246.162,300,False,azure,Kestrel,text/html,Microsoft ASP.NET,True,,
stripe.billing.c.dev.octopus.com,,400,198,stripe.billing.c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=stripe.billing.c.dev.octopus.com,stripe.billing.c.dev.octopus.com,,stripe.billing.c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",6b2f16b79b7c7a8318ab507641049cca,89bfed7afbe802598434387be912b3352d955b6ce31d632a4cd38afb3a5f5dff,,ctls,stripe.billing.c.dev.octopus.com,443,https://stripe.billing.c.dev.octopus.com:443,https,GET,13.107.253.45,/,-1942321013,2620:1ec:48:1::45,1,False,,,,,,,
stripe.billing.preprod.octopus.com,,400,198,stripe.billing.preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=stripe.billing.preprod.octopus.com,stripe.billing.preprod.octopus.com,,stripe.billing.preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",fa75aedb3577d90d4fd1d81fe9d3faf4,658d64f319f39f526e9de9a254b69d69ee4b1cff51df5755bd2e33194b1749a6,,ctls,stripe.billing.preprod.octopus.com,443,https://stripe.billing.preprod.octopus.com:443,https,GET,13.107.253.45,/,1219138194,2620:1ec:48:1::45,1,False,,,,,,,
