new,host,a,aaaa,cname,mx,soa,ns,txt,status_code,caa,cdn,cdn-name
,prerelease.rpm.octopus.com,"18.66.97.98, 18.66.97.71, 18.66.97.69, 18.66.97.119","2600:9000:223c:4200:17:d778:5dc0:93a1, 2600:9000:223c:7c00:17:d778:5dc0:93a1, 2600:9000:223c:fa00:17:d778:5dc0:93a1, 2600:9000:223c:4800:17:d778:5dc0:93a1, 2600:9000:223c:c400:17:d778:5dc0:93a1, 2600:9000:223c:c200:17:d778:5dc0:93a1, 2600:9000:223c:9c00:17:d778:5dc0:93a1, 2600:9000:223c:5600:17:d778:5dc0:93a1",d18rt8iw5ud2t3.cloudfront.net,,"ns-1100.awsdns-09.org, awsdns-hostmaster.amazon.com","ns-1100.awsdns-09.org, ns-1985.awsdns-56.co.uk, ns-239.awsdns-29.com, ns-691.awsdns-22.net",,NOERROR,,True,cloudfront
,rabotaua.octopus.com,"13.107.253.45, 13.107.226.45","2620:1ec:48:1::45, 2620:1ec:29:1::45","rabotaua-octopus-com-a7cbfpahhra5cue5.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",,,NOERROR,,,
,roadmap.octopus.com,"13.227.219.49, 13.227.219.47, 13.227.219.123, 13.227.219.85","2600:9000:21c7:6200:5:57b6:2400:93a1, 2600:9000:21c7:9400:5:57b6:2400:93a1, 2600:9000:21c7:7a00:5:57b6:2400:93a1, 2600:9000:21c7:ec00:5:57b6:2400:93a1, 2600:9000:21c7:2600:5:57b6:2400:93a1, 2600:9000:21c7:c800:5:57b6:2400:93a1, 2600:9000:21c7:8200:5:57b6:2400:93a1, 2600:9000:21c7:9e00:5:57b6:2400:93a1",dmzzonxgy0k9c.cloudfront.net,,"ns-1865.awsdns-41.co.uk, awsdns-hostmaster.amazon.com","ns-338.awsdns-42.com, ns-876.awsdns-45.net, ns-1204.awsdns-22.org, ns-1865.awsdns-41.co.uk",,NOERROR,,True,cloudfront
,rpm.octopus.com,"13.227.219.24, 13.227.219.44, 13.227.219.12, 13.227.219.89","2600:9000:21c7:c000:2:2387:9bc0:93a1, 2600:9000:21c7:fc00:2:2387:9bc0:93a1, 2600:9000:21c7:6a00:2:2387:9bc0:93a1, 2600:9000:21c7:be00:2:2387:9bc0:93a1, 2600:9000:21c7:a000:2:2387:9bc0:93a1, 2600:9000:21c7:2200:2:2387:9bc0:93a1, 2600:9000:21c7:7600:2:2387:9bc0:93a1, 2600:9000:21c7:7400:2:2387:9bc0:93a1",d2d2gscs0p0wof.cloudfront.net,,"ns-632.awsdns-15.net, awsdns-hostmaster.amazon.com","ns-632.awsdns-15.net, ns-72.awsdns-09.com, ns-1508.awsdns-60.org, ns-1657.awsdns-15.co.uk",,NOERROR,,True,cloudfront
,s.octopus.com,54.241.242.82,,,,"ns1.dnsimple.com, admin.dnsimple.com",,,NOERROR,,,
,shop.octopus.com,23.227.38.74,,shops.myshopify.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",,,NOERROR,"digicert.com, globalsign.com, letsencrypt.org",,
,spfa.octopus.com,,,,,"ns1.dnsimple.com, admin.dnsimple.com",,v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:50.31.156.96/27 ip4:104.245.209.192/26 include:spfb.octopus.com -all,NOERROR,,,
,status.octopus.com,18.234.32.149,,68h22lsztll6.stspg-customer.com,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"globalsign.com;, letsencrypt.org",,
,steps-feed.octopus.com,52.237.246.162,,"step-packages-feed-prod.azurewebsites.net, waws-prod-sy3-017.sip.azurewebsites.windows.net, waws-prod-sy3-017.cloudapp.net",,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,,True,azure
,stripe.billing.c.dev.octopus.com,"13.107.238.45, 13.107.237.45","2620:1ec:4f:1::45, 2620:1ec:4e:1::45","comm-bill-dev-c-endpoint-edaab4f8awaucce7.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,"ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",,,NOERROR,,,
,stripe.billing.preprod.octopus.com,"13.107.237.45, 13.107.238.45","2620:1ec:29:1::45, 2620:1ec:48:1::45","comm-bill-preprod-endpoint-defsgvabfza0cqad.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",,,NOERROR,,,
,style.octopus.com,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",octopusdeploy.github.io,,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",,,NOERROR,"digicert.com, letsencrypt.org",,
,telemetry.octopus.com,"13.107.226.40, 13.107.253.40","2620:1ec:29:1::40, 2620:1ec:48:1::40","telemetry-octopus-com-g3gzcwfwfwd3bffd.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0012.t-0009.fb-t-msedge.net, part-0012.t-0009.fb-t-msedge.net",,"ns1.fb-t-msedge.net, msnhst.microsoft.com",,,NOERROR,,,
