input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,webserver,tls_expired,tls_wildcard_certificate,csp_domains_,tls_subject_org_,tls_mismatched
g.udimg.com,,403,111,g.udimg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T02:42:40Z,2023-07-09T03:36:13Z,CN=g.udimg.com,g.udimg.com,g.udimg.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d98c662f0d36ca61d6a94c675dcf53f8,81d3e291ddde057162d2ae9de55279f7d0e59bca47bd61e74bc08defa3896d38,ctls,g.udimg.com,google,443,https://g.udimg.com:443,https,application/xml,GET,34.107.179.104,/,1343071695,,34.107.179.104,HTTP/3,1,False,True,UploadServer,,,,,
gcr.urbandictionary.store,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,80,http://gcr.urbandictionary.store:80,http,text/html,GET,142.250.186.51,/,302920777,,2a00:1450:4001:827::2013,,12,False,,ghs,,,,,
gf.urbandictionary.biz,Grafana,200,46896,gf.urbandictionary.biz,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T22:49:58Z,2023-06-21T22:49:57Z,CN=gf.urbandictionary.biz,gf.urbandictionary.biz,public-grafana-70aea11-urbandictionary.aivencloud.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eff85c66d4a94773d3aa15046f3977bf,8276a8354fee5aabb7360bc05639e66347a9cf45af3acad973e50603e296be11,ctls,gf.urbandictionary.biz,google,443,https://gf.urbandictionary.biz:443,https,text/html,GET,34.86.53.122,/,-1708170614,https://gf.urbandictionary.biz/login,34.86.53.122,HSTS,192,False,True,,,,,,
go.urbandictionary.com,Rebrandly,200,3763,go.urbandictionary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T13:57:18Z,2023-08-02T13:57:17Z,CN=go.urbandictionary.com,go.urbandictionary.com,go.urbandictionary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a2f698848ed3cac42fa230e4225cdb28,23f840416fe7576491f59c7c4170a31b4a64648c9d439988f3eb34baa8fb138f,ctls,go.urbandictionary.com,,443,https://go.urbandictionary.com:443,https,text/html,GET,52.72.49.79,/,-1787804681,https://go.urbandictionary.com/?rb.routing.mode=proxy&rb.routing.signature=838337,52.72.49.79,HSTS,84,False,,AmazonS3,,,,,
https://accounts.google.com,Sign in - Google Accounts,200,624732,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,text/html,GET,142.250.185.77,/,708578229,https://accounts.google.com/v3/signin/identifier?dsh=S1593956232%3A1683910665997348&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneFeIPFrtM6x80vEFn-Mm-N9uXDr77uIvYkLiTY1pVZcW6kwXPwGsH7TtAOIOFa1gil_i_A&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,2a00:1450:4001:812::200d,HTTP/3,46,False,,ESF,,True,https://www.googletagmanager.com,,
https://maps.google.com,Google Maps,200,351302,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,,443,https://maps.google.com:443,https,text/html,GET,172.217.16.142,/,708578229,https://www.google.com/maps?ucbcb=1,2a00:1450:4001:808::200e,HTTP/3,385,False,,gws,,,https://csp.withgoogle.com/csp/gws/maps-tactile,,
m.urbandictionary.com,,421,297,m.urbandictionary.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-10T04:55:10Z,2024-05-11T04:55:09Z,CN=d.ssl-207-default.ssl.fastly.net,d.ssl-207-default.ssl.fastly.net,d.ssl-207-default.ssl.fastly.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,127f2ba5c4ad9af2243f28e1a354fd24,62ae71d9d114f4e765792bc2ba9ff96bd5aaebce79b648a3e2048027febbc2c8,ctls,m.urbandictionary.com,fastly,443,https://m.urbandictionary.com:443,https,text/plain,GET,151.101.0.207,/,2028013766,,151.101.128.207,,4,False,True,,,,,,True
mandrill.urbandictionary.com,Log in to Mandrill,200,2935,mandrill.urbandictionary.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-12-14T23:59:59Z,"CN=mandrillapp.com, O=The Rocket Science Group LLC, L=Atlanta, ST=Georgia, C=US",mandrillapp.com,*.mandrillapp.com,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,cfaa09239e5a9df19711094b3a4f24c8,941925ec72042660ad13fd678b1217ba9de12cf370ad4ce1f669b21b99f8c445,ctls,mandrill.urbandictionary.com,,80,http://mandrill.urbandictionary.com:80,http,text/html,GET,34.241.27.172,/,-248533138,https://mandrill.urbandictionary.com/login/?referrer=%2F,34.255.97.37,PHP,58,False,,nginx/1.12.2,,True,,The Rocket Science Group LLC,True
metabase.us10.list-manage.com,,200,628,mailchimp.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=mailchimp.com, O=THE ROCKET SCIENCE GROUP LLC, L=Atlanta, ST=Georgia, C=US",mailchimp.com,mailchimp.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a99b77713fbcd77bd04ae0bc0664bf68,827a90b9a0086fc45abda0ca40ccee350641ef683ed62c49a35f66e139187682,ctls,mailchimp.com,,443,https://metabase.us10.list-manage.com:443,https,text/plain,GET,95.101.44.28,/,-771885917,https://mailchimp.com/about/mcsv-static,95.101.44.28,OpenResty,16,False,,openresty,,,,THE ROCKET SCIENCE GROUP LLC,
mood.urbandictionary.com,urban dictionary mood board,200,49121,mood.urbandictionary.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-03-24T07:27:24Z,2023-06-22T07:27:23Z,CN=mood.urbandictionary.com,mood.urbandictionary.com,mood.urbandictionary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bdba7c623dc40c2769502f2b29bd8f30,7ab15cceebff4ff6eaa0c4699f10dd93dc65934794d454a9c6f11821660082fc,ctls,mood.urbandictionary.com,,443,https://mood.urbandictionary.com:443,https,text/html,GET,74.114.154.22,/,1429438888,,74.114.154.18,Tumblr,58,False,,openresty,,,,,
pb.udimg.com,,200,903,pb.udimg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T12:01:28Z,2023-06-14T12:47:17Z,CN=pb.udimg.com,pb.udimg.com,pb.udimg.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,2a666013fff7e27d9fda9d3d52111676,ce098fed09795b7957f00ab87bb00c890bfbb5239b7c02dec1c1c34018327497,ctls,pb.udimg.com,google,443,https://pb.udimg.com:443,https,application/xml,GET,34.160.177.188,/,2028370544,,34.160.177.188,HTTP/3,1,False,True,UploadServer,,,,,
sitemaps.urbandictionary.com,,403,243,,,,,,,,,,,,,,,,,,,80,http://sitemaps.urbandictionary.com:80,http,application/xml,GET,54.231.131.217,/,-2080425848,,52.217.89.68,Amazon Web Services,2,False,,AmazonS3,,,,,
staging.urbandictionary.com,,401,13,staging.www.urbandictionary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T19:55:36Z,2023-06-19T20:48:49Z,CN=staging.urbandictionary.com,staging.urbandictionary.com,staging.www.urbandictionary.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,25b12ba0283f956e1387ad8f6b0d4536,4bdda55217974e8331c7a21baf00da719a514afe2ae5836d2a69f1cf34aab292,ctls,staging.www.urbandictionary.com,google,443,https://staging.urbandictionary.com:443,https,text/plain,GET,34.110.134.216,/,856643667,https://staging.www.urbandictionary.com/,2600:1901:0:3d12::,HTTP/3,1,False,True,Google Frontend,,,,,
test.api.urbandictionary.com,,404,13,test.api.urbandictionary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:25:23Z,2023-07-03T11:15:14Z,CN=test.api.urbandictionary.com,test.api.urbandictionary.com,test.api.urbandictionary.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,6e6a315a0989dde8f03d8f87d5f89a6a,409c17b9ae424fd026b38130633a85595bdacc1017699987e45fd7a469f94064,ctls,test.api.urbandictionary.com,,443,https://test.api.urbandictionary.com:443,https,application/json,GET,142.250.186.51,/,-927398177,,2a00:1450:4001:827::2013,Google Cloud Trace,1,False,,Google Frontend,,,,,
test.av.urbandictionary.biz,,401,24,test.av.urbandictionary.biz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T03:29:00Z,2023-06-15T04:13:09Z,CN=test.av.urbandictionary.biz,test.av.urbandictionary.biz,test.av.urbandictionary.biz,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,03381f6945fe94fd4e3485b520185735,653ebe2012b8b6925e09414c55faa68149be1496106997e1811d30a2d33cdd5d,ctls,test.av.urbandictionary.biz,,443,https://test.av.urbandictionary.biz:443,https,application/json,GET,142.250.186.51,/,1043479908,,2a00:1450:4001:813::2013,Google Cloud Trace,1,False,,Google Frontend,,,,,
test.urbandictionary.store,Urban Dictionary Store,200,34592,test.urbandictionary.store,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T04:55:41Z,2023-06-15T05:46:13Z,CN=test.urbandictionary.store,test.urbandictionary.store,test.www.urbandictionary.store,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,a3f7f485665a51fe305c3edabaea3ba3,c5173489359a29d7bb16a5eaa9a3d0462b881d0dd62d85467ce7468be6c087ce,ctls,test.urbandictionary.store,google,443,https://test.urbandictionary.store:443,https,text/html,GET,34.149.252.192,/,632720569,,2600:1901:0:648f::,HTTP/3,9,False,True,Google Frontend,,,,,
urbandictionary.blog,,200,14057,urbandictionary.blog,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T06:11:11Z,2023-07-01T06:11:10Z,CN=urbandictionary.blog,urbandictionary.blog,urbandictionary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,595ed4a7fca7e53e4efbcd72ce80582b,c8993ceb6738621caf47daceb0c81d5e4e57837dc2b5f365267e28ed05d3fba9,ctls,urbandictionary.blog,google,443,https://urbandictionary.blog:443,https,text/html,GET,35.185.44.232,/,245966716,,35.185.44.232,,175,False,True,,,,,,
urbandictionary.net,Urban Dictionary status,200,143694,www.urbandictionary.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T12:46:43Z,2023-07-02T12:46:42Z,CN=www.urbandictionary.net,www.urbandictionary.net,www.urbandictionary.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db923a0321b8df454ac312b4a7a9d651,2fc15025bfd7ef3094e9b239e120743b61c41a00cad624f9dfb1553c2637c91b,ctls,www.urbandictionary.net,,80,http://urbandictionary.net:80,http,text/html,GET,15.197.142.173,/,-1234307358,https://www.urbandictionary.net,3.33.152.147,Stimulus,1151,False,,openresty/1.19.3.2,,,,,
wav.urbandictionary.com,,403,243,wav.urbandictionary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,wav.urbandictionary.com,cloudfront,443,https://wav.urbandictionary.com:443,https,application/xml,GET,52.222.232.58,/,-1667037677,,52.222.232.51,Amazon Web Services,2,False,True,AmazonS3,,True,,,True
www.urbandictionary.blog,,200,14057,www.urbandictionary.blog,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T05:41:06Z,2023-07-01T05:41:05Z,CN=www.urbandictionary.blog,www.urbandictionary.blog,www.urbandictionary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e47f29053a94082db5c74c22336739eb,e6b2cfd7c80e5ed4e781b2de804dacc2a16c1d79a22ce5d2d4af5ed64c19ae04,ctls,www.urbandictionary.blog,google,443,https://www.urbandictionary.blog:443,https,text/html,GET,35.185.44.232,/,245966716,,35.185.44.232,,175,False,True,,,,,,
www.urbandictionary.net,Urban Dictionary status,200,143694,www.urbandictionary.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T12:46:43Z,2023-07-02T12:46:42Z,CN=www.urbandictionary.net,www.urbandictionary.net,www.urbandictionary.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db923a0321b8df454ac312b4a7a9d651,2fc15025bfd7ef3094e9b239e120743b61c41a00cad624f9dfb1553c2637c91b,ctls,www.urbandictionary.net,,443,https://www.urbandictionary.net:443,https,text/html,GET,142.132.140.101,/,-1840324437,,142.132.140.101,Stimulus,1151,False,,openresty/1.19.3.2,,,,,
www.urbandictionary.store,Urban Dictionary Store,200,34592,urbandictionary.store,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T12:46:54Z,2023-07-06T13:41:08Z,CN=urbandictionary.store,urbandictionary.store,www.urbandictionary.store,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,c1f2bb5123e8f10a9b5024e8607e0969,8fdf5cf87192b1e0a6906cb2a6125bbab9b764e72ded1c0f724990cf408511c7,ctls,urbandictionary.store,google,443,https://www.urbandictionary.store:443,https,text/html,GET,34.117.206.26,/,-1846951572,https://urbandictionary.store/,2600:1901:0:4067::,HTTP/3,9,False,True,Google Frontend,,,,,
www42.urbandictionary.com,,200,225,www42.urbandictionary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T16:31:10Z,2023-07-26T16:31:09Z,CN=www42.urbandictionary.com,www42.urbandictionary.com,www42.urbandictionary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,abd51a604f61d6746f421a5eed1d8bff,b140aa65c25605cb599e88b3201b6347736625fb08d854641cce2e8393ce1ece,ctls,www42.urbandictionary.com,google,443,https://www42.urbandictionary.com:443,https,text/html,GET,35.185.44.232,/,245966716,,35.185.44.232,,11,False,True,,,,url=https://www.urbandictionary.com/,,
