input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,cdn_name,tech_,cdn,csp_domains_,location,tls_mismatched,tls_self_signed,tls_expired,final_url
download.nlm.nih.gov,download.nlm.nih.gov,200,313,download.nlm.nih.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-30T00:00:00Z,2023-06-30T23:59:59Z,"CN=*.nlm.nih.gov, O=National Library of Medicine, L=Bethesda, ST=Maryland, C=US",*.nlm.nih.gov,National Library of Medicine,nlm.nih.gov,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8767ed9b2bf24369491e7de695d43825,619e6ff32b382772e75a9d3b1f5945971d9e08465cfe85ef5ff877201f8fb093,True,ctls,download.nlm.nih.gov,443,https://download.nlm.nih.gov:443,https,text/html,GET,130.14.16.113,/,388119753,2607:f220:41e:1016::113,11,False,Apache,,HSTS,,,,,,,
dpg.geldmeter.ad.nl,,403,42,dpg.geldmeter.ad.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-14T23:59:59Z,CN=dpg.geldmeter.ad.nl,dpg.geldmeter.ad.nl,,*.dpg.geldmeter.ad.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,babe93059187c21eade66b9e8f027813,942dae3523d73d8728c043468b931e3f458e7302d3768094920b79d39cb0f747,True,ctls,dpg.geldmeter.ad.nl,443,https://dpg.geldmeter.ad.nl:443,https,application/json,GET,143.204.89.80,/,768769774,143.204.89.104,1,False,,cloudfront,Amazon Web Services,True,,,,,,
e.email.ad.nl,"You received emails from this domain, didn't you?",200,15468,e.email.ad.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T09:20:59Z,2023-05-31T09:20:58Z,CN=e.email.ad.nl,e.email.ad.nl,,e.email.ad.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,78e6e68b9fbe132d620629cc8ca50e45,61b5ddff1358ba0dab11961a87cb18a5c84f82860ab82dcb0880a1cdad91d6a6,,ctls,e.email.ad.nl,443,https://e.email.ad.nl:443,https,text/html,GET,185.136.65.7,/,-1812417198,185.136.64.6,344,False,nginx,,Webflow,,,,,,,
eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com:80,http,text/html,GET,142.250.185.115,/,302920777,2a00:1450:4001:829::2013,12,False,ghs,,,,,,,,,
esales-test.ad.nl,Access Denied,403,270,esales-test.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,esales-test.ad.nl,443,https://esales-test.ad.nl:443,https,text/html,GET,2.16.186.227,/,1257042588,2a02:26f0:ab00::214:8e60,10,False,,,,,,,,,,
esales.ad.nl,Access Denied,403,261,esales.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,esales.ad.nl,443,https://esales.ad.nl:443,https,text/html,GET,2.16.186.227,/,-2007892386,2a02:26f0:ab00::214:8e60,10,False,,,,,,,,,,
gac-rds-external-readonly-preprod.api.binance.com,"Binance - Cryptocurrency Exchange for Bitcoin, Ethereum & Altcoins",200,360345,www.binance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.binance.com, O=Binance Holdings Limited, L=West Bay, C=KY",*.binance.com,Binance Holdings Limited,binance.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b41bee1f9c411051c5a7b723ba661ced,9307deddaf3a78771db1b7683e9f188e2883aea1775887d45cf6f9c8711a7249,True,ctls,www.binance.com,80,http://gac-rds-external-readonly-preprod.api.binance.com:80,http,text/html,GET,52.199.126.139,/,-2007549597,13.115.154.44,15,False,Tengine,,Tengine,,*.google.pt,,,,,https://www.binance.com/en
gac-rds-external-readonly-preprod.app.acorns.com,,404,315,gac-rds-external-readonly-preprod.app.acorns.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-07T23:59:59Z,CN=*.app.acorns.com,*.app.acorns.com,,app.acorns.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1637d2fd3f1eb8343542959e0793eeb,a3564573c76911de12dc35e9df83c0c55a2498a38a75816713e66bf7be4ca5b6,True,ctls,gac-rds-external-readonly-preprod.app.acorns.com,443,https://gac-rds-external-readonly-preprod.app.acorns.com:443,https,application/xml,GET,18.66.122.27,/,1925053829,18.66.122.104,2,False,AmazonS3,cloudfront,HSTS,True,,,,,,
gac-rds-external-readonly-preprod.app.sandbox.directly.com,Sign up | Directly,200,10530,gac-rds-external-readonly-preprod.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,gac-rds-external-readonly-preprod.app.sandbox.directly.com,443,https://gac-rds-external-readonly-preprod.app.sandbox.directly.com:443,https,text/html,GET,34.235.174.84,/,1899044793,54.208.171.77,283,False,Apache,,Pure CSS,,*.quantserve.com,,True,,,https://gac-rds-external-readonly-preprod.app.sandbox.directly.com/login/auth
gac-rds-external-readonly-preprod.directly.com,Sign up | Directly,200,10530,gac-rds-external-readonly-preprod.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,gac-rds-external-readonly-preprod.directly.com,443,https://gac-rds-external-readonly-preprod.directly.com:443,https,text/html,GET,34.239.229.38,/,1899044793,54.146.201.247,283,False,Apache,,Pure CSS,,heapanalytics.com,,,,,https://gac-rds-external-readonly-preprod.directly.com/login/auth
