new,host,a,soa,txt,status_code,ns,mx,caa,cname,cdn,cdn-name
[x],a-96-119-228-57.gitlab.mailtrack.io,"54.229.134.82, 54.77.121.187, 52.31.134.169","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],a-96-119-44-25.gitlab.mailtrack.io,"52.31.134.169, 54.229.134.82, 54.77.121.187","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],acc-qa.gitlab.mailtrack.io,"52.31.134.169, 54.77.121.187, 54.229.134.82","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],acceptcistorebackups-www-test.gitlab.mailtrack.io,"52.31.134.169, 54.229.134.82, 54.77.121.187","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],access-web-cms-data-archive-vpn.gitlab.mailtrack.io,"54.229.134.82, 54.77.121.187, 52.31.134.169","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],accessvipmirrorb2bmy-oceania.gitlab.mailtrack.io,"54.229.134.82, 54.77.121.187, 52.31.134.169","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],account-naconfig.gitlab.mailtrack.io,"54.229.134.82, 54.77.121.187, 52.31.134.169","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],account-update-chef-controller-new-corp.gitlab.mailtrack.io,"52.31.134.169, 54.77.121.187, 54.229.134.82","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],accountaccounttemp.gitlab.mailtrack.io,"54.229.134.82, 52.31.134.169, 54.77.121.187","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],accountprivateedge.gitlab.mailtrack.io,"54.229.134.82, 52.31.134.169, 54.77.121.187","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],accounts-author.gitlab.mailtrack.io,"52.31.134.169, 54.229.134.82, 54.77.121.187","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
[x],accounts-doc-corporate.gitlab.mailtrack.io,"52.31.134.169, 54.77.121.187, 54.229.134.82","ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",google-site-verification=2ubg5zuEFaDHkDv3fmD4aNR7doErG-Jq_gptZezH7EI,NOERROR,,,,,,
