new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,has_internal_ips,internal_ips,caa,ns
[x],jabber.takealot.com,41.164.240.169,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],jaeger.takealot.com,104.199.99.192,platform-ingress-gcp.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],jenkins.takealot.com,41.164.144.8,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],jwh.takealot.com,,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],links.email.takealot.com,35.169.253.76,recp.mkt51.net,"ns1.acoustic-adm.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],logs.takealot.com,196.34.14.136,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],m.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d","google-site-verification=cICTARt3rs7tIfFbUKVL67i8WZZWpgBwWjZVUofyrRY, google-site-verification=iFd5fryrRlWczzzdkKmz9InTjGk51gjeuk1umN20AYc",,,,,
[x],machinelearning.takealot.com,54.75.241.150,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mail.takealot.com,34.77.15.242,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,google-site-verification=rSx6LJ72wkhKclDCyr3t8ygcbGJwTo4_vGB-VeuD6KI,,,,,
[x],mail3354.email.takealot.com,208.95.135.93,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,mail3354.email.takealot.com,,,,
[x],maintenance-new.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],maintenance.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],marketingfbapi.takealot.com,35.190.12.220,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],mattermost.takealot.com,197.84.242.49,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],media-int.takealot.com,"108.138.50.40, 108.138.50.87, 108.138.50.138, 108.138.50.146",d3j9h7ro8pvert.cloudfront.net,"ns-430.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,"ns-1315.awsdns-36.org, ns-764.awsdns-31.net, ns-430.awsdns-53.com, ns-1592.awsdns-07.co.uk"
[x],media.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],media1.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],media2.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],media3.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],media4.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],media99.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],metabase.takealot.com,35.187.182.66,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],mon.takealot.com,196.34.14.33,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],monitor.takealot.com,41.164.144.10,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],msecure.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],mta.mails.takealot.com,136.147.186.171,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],newsletters.takealot.com,,eu.sparkpostmail.com,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ",smtp.eu.sparkpostmail.com,,,,"ns-384.awsdns-48.com, ns-894.awsdns-47.net, ns-1800.awsdns-33.co.uk, ns-1107.awsdns-10.org"
[x],oshlzg.takealot.com,178.250.1.11,"dnsdelegation.io, gum.criteo.com, gum.nl3.vip.prod.criteo.com, gum.fr3.vip.prod.criteo.com","ns23.criteo.com, dns.criteo.com",NOERROR,,,2a02:2638:3::c,,,,,digicert.com,
[x],page.takealot.com,13.111.150.233,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],pages.mails.takealot.com,"136.147.129.25, 66.231.91.222, 66.231.94.222, 68.232.203.115, 136.147.129.78",pages.virt.s7.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,"ns2.exacttarget.com, ns4.exacttarget.com, ns1.exacttarget.com, ns3.exacttarget.com"
[x],pay.takealot.com,35.233.61.81,public-ingress.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],prometheus.takealot.com,104.199.99.192,platform-ingress-gcp.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],pypi.takealot.com,34.76.195.171,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],reply.e.takealot.com,74.112.69.25,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,reply.e.takealot.com,,,,
[x],reply.email.takealot.com,74.112.69.25,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,reply.email.takealot.com,,,,
[x],reporting.takealot.com,104.199.105.60,office-ingress.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],rundeck.takealot.com,196.34.14.35,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],seller-api.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],seller.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],sellerportal.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],sentry-gcp.takealot.com,34.77.244.130,sentry-ingress-gcp.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],sentry-ingress-gcp.takealot.com,34.77.244.130,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],sentry.takealot.com,196.14.118.206,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],service-registry.takealot.com,104.199.105.60,office-ingress-gcp.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],servicedesk.takealot.com,197.84.242.46,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],shopfront.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],sp.takealot.com,197.84.242.16,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],static.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],storybook.takealot.com,104.199.105.60,office-ingress.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d","google-site-verification=XZzwrB1JlmKukeckymTlFaiOmHexC2fC2bYXIe7LCyY, google-site-verification=eoesIH0k8xB-5gerKWyf7ryCdv18sqMa3hsXmbBUnk0, google-site-verification=r9YDB7GDFwFzx10fqswXTxc8wjZFdqBFEMJh32yWqfs, have-i-been-pwned-verification=e992a9dabf3e6dc023764056b49d1a70, k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCavjmFb+NUT3TTOMfRtca7Xf4dxiXFBcf79dLzTTzJWr0IKEz7MRE1VgpTuSc5T908yW/uZFqOeGzgtbkD3gbAvA/McQO2ekLUu+DzXPs9P4NYbooS7b7XdxXwj6Tx3EWmJwc8UP2KmA/TKHVB7O7W73Su3ABQUHnR4ulcupo9DQIDAQAB, v=spf1 ip4:197.84.242.0/29 ip4:41.164.50.242 ip4:105.19.60.162 ip4:105.19.60.163 ip4:41.222.138.226 ip4:197.84.242.35 ip4:34.76.76.127 ip4:34.76.24.178 ip4:34.77.180.229 ip4:34.76.105.150 ip4:34.77.15.242 ip4:105.29.88.242 ip4:105.29.88.254 ip4:105.28.106, .109 ip4:34.250.143.67 include:_spf.google.com include:mail.zendesk.com include:spf.mandrillapp.com include:mg-spf.greenhouse.io include:transmail.net -all, workplace-domain-verification=[1c7a2654-56bb-44b0-8126-dcca660b3987], zoho-verification=zb45740174.zmverify.zoho.com, MS=ms49481391, SFMC-n5ATV_ffatWdxSFzcOqApeBFBLX6eTZ7qqGOZKTw, atlassian-domain-verification=r66//wkaUIekbOBozXUcT96e2snzPHtGFX2aL4D0YXQniOWFrv76g4GbgxMTmBDv, facebook-domain-verification=wsdz8aaiqiokznqpiusg0t728j3j9f","aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,,"gordon.ns.cloudflare.com, lia.ns.cloudflare.com"
[x],thesentry.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],view.mails.takealot.com,13.111.152.205,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],webmail.takealot.com,197.84.242.38,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],wms.takealot.com,196.34.14.34,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],www.e.takealot.com,54.164.12.236,pages05.net,"ns1.acoustic-adm.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns1.acoustic-adm.com, ns2.acoustic-adm.com, ns3.acoustic-adm.com, ns4.acoustic-adm.com"
[x],www.email.takealot.com,66.18.18.11,email.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"mail3354.email.takealot.com, reply.email.takealot.com",,,,
[x],www.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],x.takealot.com,41.164.144.6,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],y.takealot.com,41.164.144.6,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],z.takealot.com,41.164.144.6,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],zendesk1.takealot.com,"162.159.128.7, 162.159.138.6",mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,,
[x],zendesk3.takealot.com,"162.159.138.6, 162.159.128.7",mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,,
