new,host,a,soa,ns,status_code,txt,cdn,cdn-name,cname,mx,aaaa,caa,has_internal_ips,internal_ips
[x],satellite.cornershop.io,,"ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com","ns-177.awsdns-22.com, ns-565.awsdns-06.net, ns-1417.awsdns-49.org, ns-1604.awsdns-08.co.uk",NOERROR,,,,,,,,,
[x],satellite.superpal.io,,"ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com","ns-1897.awsdns-45.co.uk, ns-984.awsdns-59.net, ns-102.awsdns-12.com, ns-1364.awsdns-42.org",NOERROR,,,,,,,,,
[x],science.cornershop.io,,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com","ns-43.awsdns-05.com, ns-717.awsdns-25.net, ns-1209.awsdns-23.org, ns-1924.awsdns-48.co.uk",NOERROR,,,,,,,,,
[x],scrapers-grafana.superpal.io,35.230.164.28,"ns-1670.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/monitoring/loki-grafana",True,google,,,,,,
[x],screening.superpal.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],shell.internal.cornershop.io,"10.23.64.14, 10.22.12.111, 10.23.33.216","ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-production,external-dns/resource=ingress/cornershop-prod-backend/jupyterlab",,,,,,,True,"10.23.64.14, 10.22.12.111, 10.23.33.216"
[x],shopperpayments-prod-acesso.br.satellite.cornershop.io,"3.211.194.231, 3.224.37.42, 18.210.25.187","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-br/shopperpayments-prod-acesso",,,,,,,,
[x],shopperpayments-qa-acesso.br.satellite.superpal.io,"3.224.37.42, 3.211.194.231, 18.210.25.187","ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com","ns-102.awsdns-12.com, ns-1364.awsdns-42.org, ns-1897.awsdns-45.co.uk, ns-984.awsdns-59.net",NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-br/shopperpayments-qa-acesso",,,,,,,,
[x],shopping.cornershopapp.com,"104.16.239.58, 104.17.236.82","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-prod.k8s.local,external-dns/resource=ingress/cornershop-prod-backend/backend",True,cloudflare,,,,,,
[x],sonarqube.cornershop.io,"52.3.102.5, 3.220.172.140, 3.95.69.75","ns-1410.awsdns-48.org, awsdns-hostmaster.amazon.com","ns-1410.awsdns-48.org, ns-1964.awsdns-53.co.uk, ns-288.awsdns-36.com, ns-819.awsdns-38.net",NOERROR,"heritage=external-dns,external-dns/owner=cs-engineering-ext,external-dns/resource=ingress/cornershop-sonarqube/sonarqube-sonarqube",,,,,,,,
[x],superpal.com,"104.18.96.77, 104.16.242.93","alina.ns.cloudflare.com, dns.cloudflare.com","earl.ns.cloudflare.com, alina.ns.cloudflare.com",NOERROR,"google-site-verification=sUFPLbPmjZiuKkeg6kTiMIr5dt_sVefh8VQUK4wFT5w, heritage=external-dns,external-dns/owner=cs-devel,external-dns/resource=ingress/cornershop-qa-backend/backend",True,cloudflare,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",,,,
[x],superpal.io,,"ns-1670.awsdns-16.co.uk, awsdns-hostmaster.amazon.com","ns-1670.awsdns-16.co.uk, ns-508.awsdns-63.com, ns-539.awsdns-03.net, ns-1178.awsdns-19.org",NOERROR,,,,,,,,,
[x],timeline.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],u.superpal.com,"104.18.96.77, 104.16.242.93","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],web.superpal.com,"104.18.96.77, 104.16.242.93","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],webhooks-marqeta-prod.cornershop.io,52.22.235.38,"ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],webhooks-marqeta.cornershop.io,52.22.235.38,"ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-1145.awsdns-15.org, ns-1841.awsdns-38.co.uk, ns-482.awsdns-60.com, ns-755.awsdns-30.net",NOERROR,,,,,,,,,
[x],www.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-prod.k8s.local,external-dns/resource=ingress/cornershop-prod-backend/backend",True,cloudflare,,,,,,
[x],zendesk1.cornershopapp.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,mail1.zendesk.com,,,,,
[x],zendesk2.cornershopapp.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,,,,
[x],zendesk3.cornershopapp.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,,,,
[x],zendesk4.cornershopapp.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,,,
