input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,final_url,csp_domains_
fp.cornershopapp.com,403 Forbidden,403,520,fp.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-04T23:59:59Z,CN=fp.cornershopapp.com,fp.cornershopapp.com,,fp.cornershopapp.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,34ef2e1fbb0239e614e1168a56625372,979300675bd30168b651b114975bd8b019360ca0a268c37f426ab347d62cecb7,,ctls,fp.cornershopapp.com,,443,https://fp.cornershopapp.com:443,https,awselb/2.0,text/html,GET,76.223.60.10,/,2095155567,13.248.176.92,,13,False,,,,,
fptls.cornershopapp.com,,200,116,fptls.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T04:17:55Z,2023-07-01T04:17:54Z,CN=fptls.cornershopapp.com,fptls.cornershopapp.com,,fptls.cornershopapp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f5af4648a25876b5ea03cf0c2cdc491f,a7e842ecf9d834d2a27f0f9e61064f658993409c34778846c2d07a3de09afd30,,ctls,fptls.cornershopapp.com,,443,https://fptls.cornershopapp.com:443,https,,text/plain,GET,99.83.173.21,/,-1549148552,75.2.10.96,HSTS,1,False,,,,,
integration-qa-br-gpa-api.satellite.superpal.io,Not Found,404,53819,integration-qa-br-gpa-api.satellite.superpal.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-13T23:59:59Z,CN=*.satellite.cornershop.io,*.satellite.cornershop.io,,*.satellite.superpal.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bb55abc5fa182f8307e85418752757d0,c412cb61c246e2054f4e70519c9f41cb695e75ce6acd7e6d73335c35fdaa62d1,True,ctls,integration-qa-br-gpa-api.satellite.superpal.io,,443,https://integration-qa-br-gpa-api.satellite.superpal.io:443,https,,text/html,GET,54.161.236.116,/,1887447738,18.213.202.29,,11,False,,,True,,
inventory.cornershopapp.com,Inventory - Cornershop,200,2152,inventory.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,inventory.cornershopapp.com,cloudflare,443,https://inventory.cornershopapp.com:443,https,cloudflare,text/html,GET,104.17.236.82,/,-359473764,104.16.239.58,HSTS,1,False,True,,,,
inventory.superpal.com,Inventory - Cornershop,200,2152,inventory.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,inventory.superpal.com,cloudflare,443,https://inventory.superpal.com:443,https,cloudflare,text/html,GET,104.16.242.93,/,-359473764,104.18.96.77,HSTS,1,False,True,,,,
lacomersignup.superpal.io,La Comer Signup,200,9255,lacomersignup.superpal.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-11T13:14:18Z,2023-07-10T13:14:17Z,CN=lacomersignup.superpal.io,lacomersignup.superpal.io,,lacomersignup.superpal.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3387b35bccfce3f6afb9e7b3e0c7c4be,02f1782360c725c89f442a363bf6549b323d6b89b8d26cbb2553977a1f00d27e,,ctls,lacomersignup.superpal.io,,443,https://lacomersignup.superpal.io:443,https,,text/html,GET,3.211.194.231,/,-986470109,18.210.25.187,HSTS,211,False,,,,,
landings.superpal.com,404 Not Found,404,405,landings.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,landings.superpal.com,cloudflare,443,https://landings.superpal.com:443,https,cloudflare,text/html,GET,104.16.242.93,/,264344583,104.18.96.77,HSTS,15,False,True,,,,
lb.cornershopapp.com,Cornershop,404,11061,lb.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,lb.cornershopapp.com,cloudflare,443,https://lb.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,1538425439,104.17.236.82,HSTS,561,False,True,,,,
loyalty-prod-costco.ca.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-prod-costco.ca.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:53:44Z,2023-08-10T07:53:43Z,CN=loyalty-prod-costco.ca.satellite.cornershop.io,loyalty-prod-costco.ca.satellite.cornershop.io,,loyalty-prod-costco.ca.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7881cba67c1144a6b512d05fcd482a9c,0b49a79a89f7af52741f2c24f22f4832e0b2d302aaabaaf53f003afe8900effa,,ctls,loyalty-prod-costco.ca.satellite.cornershop.io,,443,https://loyalty-prod-costco.ca.satellite.cornershop.io:443,https,,text/html,GET,3.211.194.231,/,1335698669,18.210.25.187,HSTS,14,False,,,,,
loyalty-prod-miniso.mx.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-prod-miniso.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T15:39:22Z,2023-07-18T15:39:21Z,CN=loyalty-prod-miniso.mx.satellite.cornershop.io,loyalty-prod-miniso.mx.satellite.cornershop.io,,loyalty-prod-miniso.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9e14c8e79371b8e14468f5edc9ef3b07,2dfc7f3491e8f2d3623eef0e8f38854876d4852abe6ab651a37d69565eb1842e,,ctls,loyalty-prod-miniso.mx.satellite.cornershop.io,,443,https://loyalty-prod-miniso.mx.satellite.cornershop.io:443,https,,text/html,GET,3.211.194.231,/,1335698669,3.224.37.42,HSTS,14,False,,,,,
