input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,tech_,lines,content_type,cdn
corporate.lululemon.com,lululemon,,150205,corporate.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-13T00:00:00Z,"CN=corporate.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",corporate.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ctls,corporate.lululemon.com,443,https://corporate.lululemon.com:443,https,,GET,2.17.100.217,Microsoft ASP.NET,3403,text/html,
creator.lululemon.com,lululemon - Creator Network,,25762,creator.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,CN=login.creators.lululemon.com,login.creators.lululemon.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,creator.lululemon.com,443,https://creator.lululemon.com:443,https,nginx,GET,52.52.171.188,Nginx,165,text/html,
delivery.lululemon.com,,,,delivery.lululemon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,"CN=delivery.lululemon.com, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",delivery.lululemon.com,Adobe Systems Incorporated,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,delivery.lululemon.com,443,https://delivery.lululemon.com:443,https,jag,GET,63.140.62.164,HSTS,1,,
dev-iexpense.lululemon.com,BIG-IP logout page,,5274,dev-iexpense.lululemon.com,443,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,"CN=*.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",*.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ctls,dev-iexpense.lululemon.com,443,https://dev-iexpense.lululemon.com:443,https,BigIP,GET,64.124.168.68,F5 BigIP,131,text/html,
dev.pos-api.lululemon.com,Access Denied,,282,dev.pos-api.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-24T00:00:00Z,"CN=stage.pos-api.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",stage.pos-api.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS ECC CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS ECC CA G1,DigiCert Inc,ctls,dev.pos-api.lululemon.com,443,https://dev.pos-api.lululemon.com:443,https,,GET,95.101.111.169,,10,text/html,
dev.preprod-apis.lululemon.com,Access Denied,,287,dev.preprod-apis.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T00:00:00Z,"CN=stage.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",stage.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS ECC CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS ECC CA G1,DigiCert Inc,ctls,dev.preprod-apis.lululemon.com,443,https://dev.preprod-apis.lululemon.com:443,https,,GET,95.101.111.154,,10,text/html,
developers-dev.lululemon.com,404 Not Found,,549,developers-dev.lululemon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T12:27:10Z,CN=*.apigee.io,*.apigee.io,,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,developers-dev.lululemon.com,443,https://developers-dev.lululemon.com:443,https,server,GET,35.244.151.127,HTTP/3,14,text/html,True
developers.lululemon.com,404 Not Found,,549,developers.lululemon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T12:27:10Z,CN=*.apigee.io,*.apigee.io,,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,developers.lululemon.com,443,https://developers.lululemon.com:443,https,server,GET,35.244.151.127,HTTP/3,14,text/html,True
digcore-store.lululemon.com,Error,,139,digcore-store.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,digcore-store.lululemon.com,443,https://digcore-store.lululemon.com:443,https,,GET,95.100.64.221,Node.js,11,text/html,
ehc-dev.lululemon.com,lululemon - Service Portal,,2290,ehc-dev.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-29T20:30:05Z,CN=ehc-dev.lululemon.com,ehc-dev.lululemon.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ehc-dev.lululemon.com,443,https://ehc-dev.lululemon.com:443,https,snow_adc,GET,149.96.230.128,Java,50,text/html,
