input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,final_url,tech_,cdn_name,cdn,csp_domains_
view.storeuk.bbc.com,Error,200,932,AS22606,EXACT-7,US,68.232.192.0/20,view.storeuk.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T00:00:00Z,2024-02-13T23:59:59Z,"CN=view.s6.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.s6.exacttarget.com,"SALESFORCE.COM, INC.",view.s6.sfmc-content.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83e817960bb0f9c33714ca10c0baa9d4,e510d179a42908af34fd5b2b466a9003ae6899e34145693feb196e918f5a8b3d,,ctls,view.storeuk.bbc.com,443,https://view.storeuk.bbc.com:443,https,,text/html,GET,68.232.203.71,/,1631801191,68.232.203.71,28,False,https://view.storeuk.bbc.com/Error.aspx,HSTS,,,
web.stage.bbcx.test.api.bbc.com,,401,,AS16509,AMAZON-02,US,18.66.102.0/24,web.stage.bbcx.test.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-23T00:00:00Z,2024-05-21T23:59:59Z,CN=*.web.stage.bbcx.test.api.bbc.com,*.web.stage.bbcx.test.api.bbc.com,,web.stage.bbcx.test.api.bbc.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,280e78a9bbe7c169af77b755f774f2f7,094e4c839f695b126febb17384d0ce5ef175d90334d31dd8ec1b6b5241efa139,True,ctls,web.stage.bbcx.test.api.bbc.com,443,https://web.stage.bbcx.test.api.bbc.com:443,https,CloudFront,,GET,18.66.97.3,/,-1840324437,2600:9000:223c:d000:1a:d950:c0:93a1,1,False,,Basic,cloudfront,True,
web.test.bbcx.test.api.bbc.com,,401,,AS16509,AMAZON-02,US,52.222.220.0/23,web.test.bbcx.test.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-28T00:00:00Z,2024-05-26T23:59:59Z,CN=*.web.test.bbcx.test.api.bbc.com,*.web.test.bbcx.test.api.bbc.com,,web.test.bbcx.test.api.bbc.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e729c5b0c9350d1220ebdb2eaca2c23,2afbe1f46494196920c96cc835fb9b172ffbfade6f11b5d2a6d15123c7684468,True,ctls,web.test.bbcx.test.api.bbc.com,443,https://web.test.bbcx.test.api.bbc.com:443,https,CloudFront,,GET,52.222.214.31,/,-1840324437,2600:9000:2514:2a00:13:7523:7100:93a1,1,False,,Basic,cloudfront,True,
workspace.bbc.com,BBC Login,200,2176,AS16509,AS16509,Unknown,3.144.0.0/13,bbclogin.id.tools.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-13T05:36:04Z,2023-08-14T05:36:03Z,"CN=bbclogin.id.tools.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",bbclogin.id.tools.bbc.co.uk,BRITISH BROADCASTING CORPORATION,help.bbclogin.id.tools.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,eba31268e57bcd72b7009544a3eea97d,59d095283cc1b37b7461dcbb899a5660ac0be9bfc3cfc379ae904b1cb00b6d5c,,ctls,bbclogin.id.tools.bbc.co.uk,443,https://workspace.bbc.com:443,https,Apache,text/html,GET,3.121.121.155,/,-383826317,18.194.144.26,38,False,https://bbclogin.id.tools.bbc.co.uk/,HSTS,,,https://portal.bbcstudios.cloud
www.bbc.com,BBC - Homepage,200,240419,AS54113,FASTLY,US,151.101.8.0/22,www.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,BRITISH BROADCASTING CORPORATION,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,True,ctls,www.bbc.com,80,http://www.bbc.com:80,http,BBC-GTM,text/html,GET,151.101.0.81,/,111446429,151.101.64.81,2321,False,https://www.bbc.com/,Varnish,fastly,True,
www.int.bbc.com,ERROR: The request could not be satisfied,502,507,AS16509,AS16509,Unknown,18.200.0.0/14,,,,,,,,,,,,,,,,,,,,,80,http://www.int.bbc.com:80,http,BBC-GTM,text/html,GET,18.202.161.242,/,272330885,18.202.159.84,16,False,,HSTS,,,
www.shop.bbc.com,"BBC Shop
– BBC Shop US",200,513032,AS2818,"BBC BBC Internet Services, UK",GB,212.58.224.0/19,shop.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-16T22:31:23Z,2023-06-14T22:31:22Z,CN=shop.bbc.com,shop.bbc.com,,shop.bbc.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd458cdddcef55b01b08b8ebb16f6006,a72d5a9c5dcb6a2b348617d7ea00e757158bf2a001cffa71325a8b187f202601,,ctls,shop.bbc.com,80,http://www.shop.bbc.com:80,http,cloudflare,text/html,GET,212.58.244.210,/,1885580238,212.58.249.207,16701,False,https://shop.bbc.com/,Shopify,,,
www.stage.bbc.com,BBC - Homepage,200,147881,AS54113,FASTLY,US,151.101.8.0/22,www.stage.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-14T06:16:04Z,2024-04-14T06:16:03Z,"CN=www.stage.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.stage.bbc.com,BRITISH BROADCASTING CORPORATION,stage.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1c8c60b5766cfe9e5d66bb32a76f355c,3858be6e68cf37df75ac8ba7cc2600c7ced214d50a31ac1359b0a1dcdd943975,True,ctls,www.stage.bbc.com,443,https://www.stage.bbc.com:443,https,BBC-GTM,text/html,GET,151.101.0.82,/,111446429,151.101.192.82,984,False,,Varnish,fastly,True,
xproxy.int.api.bbc.com,,404,23,AS16509,AMAZON-02,US,18.66.132.0/24,xproxy.int.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-08T12:01:03Z,2024-04-08T12:01:02Z,"CN=xproxy.stage.api.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",xproxy.stage.api.bbc.com,BRITISH BROADCASTING CORPORATION,xproxy.int.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,8e2581a3c5c4c30c9506d2749cac2651,cf3b7ca4d2c8cfd1d3bb04ee7297efcb40cb24675678bc365d7767c5c6cc057c,,ctls,xproxy.int.api.bbc.com,443,https://xproxy.int.api.bbc.com:443,https,,application/json,GET,18.66.122.97,/,631524574,18.66.122.46,1,False,,Amazon Web Services,cloudfront,True,
xproxy.stage.api.bbc.com,,404,23,AS16509,AMAZON-02,US,143.204.104.0/24,xproxy.stage.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-08T12:01:03Z,2024-04-08T12:01:02Z,"CN=xproxy.stage.api.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",xproxy.stage.api.bbc.com,BRITISH BROADCASTING CORPORATION,xproxy.int.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,8e2581a3c5c4c30c9506d2749cac2651,cf3b7ca4d2c8cfd1d3bb04ee7297efcb40cb24675678bc365d7767c5c6cc057c,,ctls,xproxy.stage.api.bbc.com,443,https://xproxy.stage.api.bbc.com:443,https,,application/json,GET,143.204.89.43,/,631524574,143.204.89.66,1,False,,Amazon Web Services,cloudfront,True,
