new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],sli.bbc.com,"108.156.60.78, 108.156.60.66, 108.156.60.42, 108.156.60.46",d3agfgqvcpkwmw.cloudfront.net,"ns-381.awsdns-47.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2394:3600:e:8c2e:ce00:93a1, 2600:9000:2394:8c00:e:8c2e:ce00:93a1, 2600:9000:2394:200:e:8c2e:ce00:93a1, 2600:9000:2394:1000:e:8c2e:ce00:93a1, 2600:9000:2394:da00:e:8c2e:ce00:93a1, 2600:9000:2394:3000:e:8c2e:ce00:93a1, 2600:9000:2394:e200:e:8c2e:ce00:93a1, 2600:9000:2394:a200:e:8c2e:ce00:93a1","ns-554.awsdns-05.net, ns-1116.awsdns-11.org, ns-2006.awsdns-58.co.uk, ns-381.awsdns-47.com",,,,,
[x],specialfeatures.external.bbc.com,,prod-shared-platform-9bo20o.wwbbcshares.com.wwbbcshares.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ssl.bbc.com,"212.58.244.115, 212.58.249.191",ssl.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ssl.bbc.com.pri.bbc.com,"212.58.249.190, 212.58.244.114",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ssl.int.bbc.com,212.58.228.105,ssl.int.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,"2001:41c1:4008:d::bbc:71, 2001:41c1:4008:d::bbc:70",,,,,,
[x],ssl.live.bbc.com,"212.58.249.191, 212.58.244.115","ssl.live.bbc.co.uk, ssl.live.bbc.co.uk.pri.bbc.co.uk, main.dc.ssl.live.bbc.co.uk.pri.bbc.co.uk","dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ssl.stage.bbc.com,"212.58.249.85, 212.58.244.113",ssl.stage.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],staff.bbc.com,"108.156.172.16, 108.156.172.52, 108.156.172.125, 108.156.172.127",,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-529.awsdns-02.net, ns-1941.awsdns-50.co.uk, ns-508.awsdns-63.com, ns-1457.awsdns-54.org",,,,,
[x],stage.bbc.com,"151.101.64.82, 151.101.128.82, 151.101.192.82, 151.101.0.82",stage.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,True,fastly,"2a04:4e42:400::82, 2a04:4e42:200::82, 2a04:4e42::82, 2a04:4e42:600::82","ns0.bbcdns.net.uk, ns1.bbcdns.net.uk, ns0.bbcdns.net, ns1.bbcdns.net",,,,,
[x],stage.staff.bbc.com,"108.157.229.110, 108.157.229.82, 108.157.229.59, 108.157.229.23",,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:223f:e400:6:105f:d180:93a1, 2600:9000:223f:a200:6:105f:d180:93a1, 2600:9000:223f:bc00:6:105f:d180:93a1, 2600:9000:223f:6600:6:105f:d180:93a1, 2600:9000:223f:4800:6:105f:d180:93a1, 2600:9000:223f:b000:6:105f:d180:93a1, 2600:9000:223f:7a00:6:105f:d180:93a1, 2600:9000:223f:dc00:6:105f:d180:93a1",,,,,,
[x],storeuk.bbc.com,198.245.82.46,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,"ns2.exacttarget.com, ns4.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com",inbound-reply.s6.exacttarget.com,"v=spf1 include:cust-spf.exacttarget.com -all, spf2.0/pra include:cust-senderid.exacttarget.com -all",,,
[x],storeukservice.bbc.com,198.245.82.46,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,"ns3.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com, ns4.exacttarget.com",inbound-reply.s6.exacttarget.com,"v=spf1 include:cust-spf.exacttarget.com -all, spf2.0/pra include:cust-senderid.exacttarget.com -all",,,
[x],test.bbc.com,"151.101.192.82, 151.101.0.82, 151.101.64.82, 151.101.128.82",test.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,True,fastly,"2a04:4e42:600::82, 2a04:4e42::82, 2a04:4e42:200::82, 2a04:4e42:400::82","ns1.bbcdns.net.uk, ns0.bbcdns.net, ns0.bbcdns.net.uk, ns1.bbcdns.net",,,,,
[x],test.staff.bbc.com,"13.32.121.38, 13.32.121.68, 13.32.121.40, 13.32.121.100",,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:236e:fa00:9:c1da:c880:93a1, 2600:9000:236e:5800:9:c1da:c880:93a1, 2600:9000:236e:dc00:9:c1da:c880:93a1, 2600:9000:2240:d000:9:c1da:c880:93a1, 2600:9000:236e:ea00:9:c1da:c880:93a1, 2600:9000:236e:4400:9:c1da:c880:93a1, 2600:9000:2240:fc00:9:c1da:c880:93a1, 2600:9000:2240:8200:9:c1da:c880:93a1",,,,,,
[x],tps.int.bbc.com,"18.202.159.126, 34.242.166.9, 18.202.46.221","www.int.bbc.co.uk, www.bbc.co.uk.europe-west-1.live-int.gtm-edge.e9fb45cfcc47b85b.xhst.bbci.co.uk, gtmliveint-eu-w-1nlbwwwcouk-afc5cc268aaa7e60.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],tps.test.bbc.com,"34.247.133.95, 34.250.184.253, 34.241.99.133","www.test.bbc.com, www.bbc.com.europe-west-1.live-test.gtm-edge.e9fb45cfcc47b85b.xhst.bbci.co.uk, gtmlivetest-eu-w-1nlbwwwcom-7f23465adbe32052.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],travel-specials.external.bbc.com,95.138.132.11,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],tv.bbc.com,,,,NOERROR,,,,,,,,,
[x],tv.stage.bbc.com,"2.19.204.41, 2.16.103.216","tv.stage.bbc.com.edgesuite.net, a427.g1.akamai.net","n0g1.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],uat.shop.bbc.com,"2.16.186.81, 2.16.186.89","uat.shop.bbc.com.edgesuite.net, a1414.w7.akamai.net","n0w7.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ui.developer-portal.int.api.bbc.com,"54.216.75.88, 54.154.62.103","ui.developer-portal.int.e97bd6ffa923d28f.xhst.bbci.co.uk, int-devel-componen-17vesfyzhnhij-575890184.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,,
[x],us.shop.bbc.com,,"bbc-shop-us.myshopify.com, shops.myshopify.com","ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,,,,,,,
