new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,aaaa,caa
[x],im.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],insights.deribit.com,3.8.61.26,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],legacy.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,www.deribit.com,,,,,,
[x],mail.deribit.com,193.72.79.200,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],mailer.deribit.com,149.202.211.45,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],metrics.deribit.com,"54.216.252.255, 108.128.72.146, 54.73.26.109","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,systematic-penguin-zje5pev5tp0f1x46wpr5k5f8.herokudns.com,,,,,,
[x],new.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],newsfeed.deribit.com,"18.135.159.87, 18.170.103.230, 35.177.191.183","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,k8s-frontend-ingressn-29e5f7559e-1528574731.eu-west-2.elb.amazonaws.com,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-news-aggregator-main/ingress-news-aggregator",,
[x],ns1.deribit.com,193.72.79.194,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],office.deribit.com,"54.216.252.255, 54.73.26.109, 108.128.72.146","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,limitless-scallop-ukgnpkb60b6k7zcq0tdx3hew.herokudns.com,,,,,,
[x],pblegacy.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],positionbuilder.deribit.com,"18.244.155.55, 18.244.155.3, 18.244.155.64, 18.244.155.10","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dc7qxm8k759wy.cloudfront.net,"ns-1029.awsdns-00.org, ns-1864.awsdns-41.co.uk, ns-2.awsdns-00.com, ns-878.awsdns-45.net",True,cloudfront,,,
[x],pro.deribit.com,"99.86.4.18, 99.86.4.19, 99.86.4.9, 99.86.4.124","ns-1715.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d1gukmb2e2y2tl.cloudfront.net,"ns-1150.awsdns-15.org, ns-1715.awsdns-22.co.uk, ns-489.awsdns-61.com, ns-631.awsdns-14.net",True,cloudfront,,,
[x],proxy.chat.deribit.com,18.170.89.253,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],proxy.chattest.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],pubsub.chat.deribit.com,18.170.89.253,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],r2d2.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],scim.deribit.com,35.204.1.255,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,google,,,
[x],static.deribit.com,3.8.61.26,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],status.deribit.com,52.215.192.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,gsjyzwnpcv2r.stspg-customer.com,,,,,,"letsencrypt.org, globalsign.com;"
[x],sygna-test-backend.deribit.com,35.178.129.205,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],sygna-test.deribit.com,35.178.129.205,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],test.deribit.com,193.73.250.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],test.metrics.deribit.com,"52.212.52.84, 63.32.161.232, 54.247.69.169","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,terrestrial-donkey-miiicsosidcnb6xlkywxrusp.herokudns.com,,,,,,
[x],test.pb.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],test.tools.deribit.com,"54.73.26.109, 108.128.72.146, 54.216.252.255","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,immense-wasabi-bxc6zchkx939c84vgbvmjp2d.herokudns.com,,,,,,
[x],testcf.deribit.com,193.73.250.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],tools.deribit.com,"54.73.26.109, 54.216.252.255, 108.128.72.146","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,stark-cougar-ymy3xh01ero35op0wmvbzvq8.herokudns.com,,,,,,
[x],upload.chat.deribit.com,18.170.89.253,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],upload.chattest.deribit.com,18.134.250.244,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],v3test-aws.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],veriscope.deribit.com,18.134.6.65,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],wordpress.deribit.com,3.8.61.26,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],xn--wvw-1yc.deribit.com,,,NOERROR,,,,,,,
