new,host,a,soa,status_code,aaaa,ns,cname,cdn,cdn-name,mx,txt,caa
[x],auth3.nominet.org.uk,213.219.13.194,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],autodiscover.nominet.org.uk,"40.99.157.8, 40.99.149.152, 40.99.157.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:828::8, 2603:1026:c0d:c2f::8, 2603:1026:c0d:c1c::8, 2603:1026:c0d:c06::8",,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
[x],b12.nominet.org.uk,213.248.211.22,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,apt-blade12.nominet.org.uk,,,,,
[x],b2.nominet.org.uk,213.248.211.12,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,apt-blade2.nominet.org.uk,,,,,
[x],b5.nominet.org.uk,213.248.211.15,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,apt-blade5.nominet.org.uk,,,,,
[x],bayern.epp.nominet.uk,213.248.242.75,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:92a:fc1a:32b:7971,,,,,,,
[x],bbc.epp.nominet.uk,213.248.243.108,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::9,,,,,,,
[x],bentley.epp.nominet.uk,213.248.243.110,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::b,,,,,,,
[x],beta-abogado.epp.nominet.uk,213.248.233.11,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-beer.epp.nominet.uk,213.248.233.13,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-boston.epp.nominet.uk,213.248.233.14,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-casa.epp.nominet.uk,213.248.233.18,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-cooking.epp.nominet.uk,213.248.233.19,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-dragon.nominet.org.uk,213.248.232.222,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-fashion.epp.nominet.uk,213.248.233.21,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-fishing.epp.nominet.uk,213.248.233.22,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-fit.epp.nominet.uk,213.248.233.23,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-horse.epp.nominet.uk,213.248.233.26,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-law.epp.nominet.uk,213.248.233.28,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-london.epp.nominet.uk,213.248.233.29,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-miami.epp.nominet.uk,213.248.233.31,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-opm.nominet.uk,213.248.233.89,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-rodeo.epp.nominet.uk,213.248.233.32,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-salesapi.nominet.uk,213.248.232.88,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:a94f:e883:422:4d5c,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],beta-testbed-abogado.epp.nominet.uk,213.248.233.55,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:ac80:6767:6e67,,,,,,,
[x],beta-testbed-abogado.whois.nominet.uk,213.248.233.55,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:ac80:6767:6e67,,,,,,,
[x],beta-testbed-bayern.epp.nominet.uk,213.248.233.56,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:aa46:d602:317c:a4d9,,,,,,,
[x],beta-testbed-bayern.whois.nominet.uk,213.248.233.56,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-testbed-bentley.epp.nominet.uk,213.248.233.125,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:14a2:da59:fe2c:2d7a,,,,,,,
[x],beta-testbed-boston.whois.nominet.uk,213.248.233.58,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7778:d358:1b02:4983,,,,,,,
[x],beta-testbed-broadway.epp.nominet.uk,213.248.233.70,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:14d:9d6a:f2cc:cab9,,,,,,,
[x],beta-testbed-broadway.whois.nominet.uk,213.248.233.70,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:14d:9d6a:f2cc:cab9,,,,,,,
[x],beta-testbed-budapest.epp.nominet.uk,213.248.233.71,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7776:5949:2e12:3fda,,,,,,,
[x],beta-testbed-budapest.whois.nominet.uk,213.248.233.71,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7776:5949:2e12:3fda,,,,,,,
[x],beta-testbed-comcast.whois.nominet.uk,213.248.233.91,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:abd3:fe3b:9b12,,,,,,,
[x],beta-testbed-cooking.epp.nominet.uk,213.248.233.60,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7785:4fa5:6b78:a61c,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],beta-testbed-cooking.whois.nominet.uk,213.248.233.60,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7785:4fa5:6b78:a61c,,,,,,,
[x],beta-testbed-cymru.epp.nominet.uk,213.248.233.123,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:e071:281a:43b0:977b,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],beta-testbed-dds.whois.nominet.uk,213.248.233.62,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7780:4f22:882:9988,,,,,,,
[x],beta-testbed-fashion.epp.nominet.uk,213.248.233.63,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:146:722b:5526:6de,,,,,,,
[x],beta-testbed-fashion.whois.nominet.uk,213.248.233.63,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:146:722b:5526:6de,,,,,,,
[x],beta-testbed-fishing.whois.nominet.uk,213.248.233.64,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:24ee:3e02:76f0:9a77,,,,,,,
[x],beta-testbed-garden.epp.nominet.uk,213.248.233.38,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7777:1140:4610:cebf,,,,,,,
[x],beta-testbed-garden.whois.nominet.uk,213.248.233.38,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7777:1140:4610:cebf,,,,,,,
[x],beta-testbed-gop.epp.nominet.uk,213.248.233.68,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:acf5:d43c:a9c9,,,,,,,
[x],beta-testbed-gop.whois.nominet.uk,213.248.233.68,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:acf5:d43c:a9c9,,,,,,,
[x],beta-testbed-horse.whois.nominet.uk,213.248.233.78,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7776:dac7:324c:6939,,,,,,,
[x],beta-testbed-law.epp.nominet.uk,213.248.233.44,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-testbed-luxe.epp.nominet.uk,213.248.233.45,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:1236:5f62:2adf:c478,,,,,,,
[x],beta-testbed-luxe.whois.nominet.uk,213.248.233.45,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:1236:5f62:2adf:c478,,,,,,,
[x],beta-testbed-miami.epp.nominet.uk,213.248.233.80,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:ac24:3a9c:cda7,,,,,,,
[x],beta-testbed-miami.whois.nominet.uk,213.248.233.80,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:ac24:3a9c:cda7,,,,,,,
[x],beta-testbed-rodeo.epp.nominet.uk,213.248.233.81,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:14d:2bd2:2a58:32d9,,,,,,,
[x],beta-testbed-rodeo.whois.nominet.uk,213.248.233.81,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:14d:2bd2:2a58:32d9,,,,,,,
[x],beta-testbed-surf.epp.nominet.uk,213.248.233.82,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:abe1:4ddc:c78a,,,,,,,
[x],beta-testbed-surf.whois.nominet.uk,213.248.233.82,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:abe1:4ddc:c78a,,,,,,,
[x],beta-testbed-wales.epp.nominet.uk,213.248.233.96,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:1469:6f3e:8005:e178,,,,,,,
[x],beta-testbed-wales.whois.nominet.uk,213.248.233.96,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:1469:6f3e:8005:e178,,,,,,,
[x],beta-testbed-wedding.epp.nominet.uk,213.248.233.85,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:777d:76ca:25ba:a9d4,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],beta-testbed-wedding.whois.nominet.uk,213.248.233.85,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:777d:76ca:25ba:a9d4,,,,,,,
[x],beta-testbed-work.epp.nominet.uk,213.248.233.86,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7779:2d31:9f8:f6f3,,,,,,,
[x],beta-testbed-work.whois.nominet.uk,213.248.233.86,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7779:2d31:9f8:f6f3,,,,,,,
[x],beta-testbed-xfinity.epp.nominet.uk,213.248.233.92,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:145c:abca:5414:81ed,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],beta-testbed-xfinity.whois.nominet.uk,213.248.233.92,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-testbed-yoga.whois.nominet.uk,213.248.233.87,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8000:0:7778:4e11:ca6d:e8f4,,,,,,,
[x],beta-vip.epp.nominet.uk,213.248.233.34,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-vodka.epp.nominet.uk,213.248.233.35,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-wedding.epp.nominet.uk,213.248.233.40,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-work.epp.nominet.uk,213.248.233.41,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta-xfinity.epp.nominet.uk,213.248.232.15,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],beta1-droplists.nominet.uk,"104.16.146.38, 104.16.145.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9126, 2606:4700::6810:9226",,beta1-droplists.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],beta2-droplists.nominet.uk,"104.16.145.38, 104.16.146.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9226, 2606:4700::6810:9126",,beta2-droplists.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],blog1.nominet.org.uk,213.248.210.52,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],blog2.nominet.org.uk,213.248.242.86,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],boston.epp.nominet.uk,213.248.242.77,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:92b:71f5:c10a:c1,,,,,,,
[x],bradesco.epp.nominet.uk,213.248.243.113,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::e,,,,,,,
[x],broadway.epp.nominet.uk,213.248.243.114,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::f,,,,,,,
[x],buy.epp.nominet.uk,213.248.243.116,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::11,,,,,,,
[x],career.epp.nominet.uk,213.248.243.118,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::13,,,,,,,
[x],cgi.nic.uk,213.248.242.17,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,2a01:618:8009:0:914:d81:cba6:e142,,nom-cgi.nic.uk,,,,,
[x],circle.epp.nominet.uk,213.248.243.119,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],cooking.epp.nominet.uk,213.248.242.107,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:25f7:d750:4fdd:430f,,,,,,,
[x],cymru.epp.nominet.uk,213.248.243.121,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::16,,,,,,,
[x],dac.nic.uk,213.248.242.125,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,2a01:618:8009:0:929:bb74:d5df:c589,,,,,,,
[x],dac.nominet.org.uk,213.248.242.125,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,,,dac.nic.uk,,,,,
[x],data.nominet.uk,"18.132.27.123, 3.8.30.204","ns1.actionverb.com, info.actionverb.com",NOERROR,,,s-nominet.di.app.brickftp.com,,,,,
[x],db.nominet.org.uk,162.159.134.42,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,"2606:4700:7::a29f:862a, 2606:4700:7::a29f:872a","dns3.nominetdns.uk, dns4.nominetdns.uk, dns1.nominetdns.uk, dns2.nominetdns.uk, dnsc.nominetdns.uk, dnsb.nominetdns.uk, dnsa.nominetdns.uk, dnsd.nominetdns.uk",nominet.org.uk,True,cloudflare,"mx2.nominet.org.uk, mx1.nominet.org.uk","oSIXir6tc5HE5aoZVYMKkGi4QKvEMqDJx7ll9Jmb8V+Clfo9LC55byTdNXOHoztY56tPvyVQ/SINIjsmBX1brg==, ciscocidomainverification=37c4ecdf66af3a84c5ed0d9d421e5d0274f28ae9036d6bcbd5b623b4e29130ec, v=spf1 mx ip4:213.248.242.48/24 ip4:213.248.242.49/24 ip6:2a01:618:8009:0:264f:3ac4:83a1:f047/64 ip6:2a01:618:8009:0:20fa:1a15:82ff:e618/64 ?all, ca3-2fde43d3f98a4c058406344dc3308735, @ MS=ms16796801 3600, 999406e9dd754e9dac0efdc929582142",
[x],dbaux1.nominet.org.uk,213.248.199.13,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dc1nombgprp01-ae0.nominet.org.uk,213.248.252.3,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:80ff::3,,,,,,,
[x],dc1nombgprp01-lo0.nominet.org.uk,213.248.253.1,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dc1nomswcp01-lo0.nominet.org.uk,213.248.253.11,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:80ff:ffff::b,,,,,,,
[x],dc2nombgprp01-linx.nominet.org.uk,195.66.236.61,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dc2nombgprp01-lo0.nominet.org.uk,213.248.253.2,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:80ff:ffff::2,,,,,,,
[x],dc2nombgprp01-pc2.nominet.org.uk,213.248.252.4,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],dc2nomswcp01-lo0.nominet.org.uk,213.248.253.12,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:80ff:ffff::c,,,,,,,
[x],dc2nomswcp01-vl413.nominet.org.uk,213.248.252.19,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:80ff:1::3,,,,,,,
[x],debian.nominet.org.uk,213.248.204.250,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dev-members.nominet.uk,"104.16.145.38, 104.16.146.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9126, 2606:4700::6810:9226",,dev-members.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],dns-in.nominet.uk,213.248.242.139,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dns.service.nominet.org.uk,"188.114.96.3, 188.114.97.3","lila.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::3, 2a06:98c1:3120::3","lila.ns.cloudflare.com, tony.ns.cloudflare.com",,True,cloudflare,"mx1.nominet.org.uk, mx2.nominet.org.uk","19362c86386c47eda9476d1b8d51f019, @ MS=ms24733758 3600, v=spf1 mx ip4:213.248.242.48/24 ip4:213.248.242.49/24 ip6:2a01:618:8009:0:264f:3ac4:83a1:f047/64 ip6:2a01:618:8009:0:20fa:1a15:82ff:e618/64 ?all",
[x],dns1.nic.uk,"213.248.216.1, 156.154.100.3, 156.154.101.3, 156.154.102.3, 156.154.103.3, 103.49.80.1, 213.248.220.1, 43.230.48.1","dns1.nic.uk, hostmaster.nic.uk",NOERROR,"2001:502:ad09::3, 2001:502:2eda::3, 2610:a1:1009::3, 2610:a1:1010::3, 2a01:618:400::1, 2401:fd80:400::1, 2a01:618:404::1, 2401:fd80:404::1","nsa.nic.uk, nsb.nic.uk, nsc.nic.uk, nsd.nic.uk, dns1.nic.uk, dns2.nic.uk, dns3.nic.uk, dns4.nic.uk",,,,,,
[x],dns2.nic.uk,103.49.80.1,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,,,,,,,,
[x],dns2.nominet.uk,213.248.242.122,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:929:8e58:6912:647a,,,,,,,
[x],dns3.nic.uk,213.248.220.1,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,2a01:618:404::1,,,,,,,
[x],dns4.nic.uk,43.230.48.1,"dns1.nic.uk, hostmaster.nic.uk",NOERROR,2401:fd80:404::1,,,,,,,
[x],dnsa.nominet.uk,156.154.100.3,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2001:502:ad09::3,,,,,,,
[x],dnsb.nominet.uk,156.154.101.3,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dnssec-resolv.nominet.org.uk,213.248.202.152,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dnssec.nominet.org.uk,213.248.202.150,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],dnssupport.nominet.uk,"104.16.146.38, 104.16.145.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9126, 2606:4700::6810:9226",,dnssupport.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],dnstestpage.nominet.uk,"104.16.145.38, 104.16.146.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9226, 2606:4700::6810:9126",,dnstestpage.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],domainhealth-api.nominet.uk,,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],download.nominet.org.uk,"104.18.213.66, 104.18.212.66","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:d542, 2606:4700::6812:d442",,download.nominet.org.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],dragon.nominet.uk,213.248.243.101,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::2,,,,,,,
[x],droplists.nominet.uk,"104.16.145.38, 104.16.146.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9226, 2606:4700::6810:9126",,droplists.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],dsc.nominet.org.uk,213.248.199.126,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,"dns1.nominetdns.uk, dns2.nominetdns.uk, dns3.nominetdns.uk, dns4.nominetdns.uk, dnsa.nominetdns.uk, dnsb.nominetdns.uk, dnsc.nominetdns.uk, dnsd.nominetdns.uk",,,,,,
[x],ebero.nominet.org.uk,213.248.242.13,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],eberowhois.nominet.uk,213.248.242.251,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:92b:6b68:133e:e70,,,,,,,
[x],education.nominet.org.uk,89.185.150.156,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],enterpriseenrollment.betaad.nominet.org.uk,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",True,azure,,,
[x],enterpriseenrollment.nominet.uk,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com",,,,,
