new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa
[x],segment-cdn.workatastartup.com,"52.222.214.60, 52.222.214.68, 52.222.214.102, 52.222.214.33","2600:9000:223d:fe00:5:c45e:5640:93a1, 2600:9000:223d:2600:5:c45e:5640:93a1, 2600:9000:223d:4c00:5:c45e:5640:93a1, 2600:9000:223d:200:5:c45e:5640:93a1, 2600:9000:223d:2000:5:c45e:5640:93a1, 2600:9000:223d:1a00:5:c45e:5640:93a1, 2600:9000:223d:dc00:5:c45e:5640:93a1, 2600:9000:223d:8e00:5:c45e:5640:93a1","ns-395.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d12nxy5q96qrtl.cloudfront.net,,"ns-916.awsdns-50.net, ns-1488.awsdns-58.org, ns-1736.awsdns-25.co.uk, ns-395.awsdns-49.com",,
[x],sso-auth.workatastartup.com,"188.114.96.0, 188.114.97.0","2a06:98c1:3120::, 2a06:98c1:3121::","merlin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],startupschool.org,"52.25.14.200, 44.241.96.60, 205.251.192.126, 205.251.194.163, 205.251.196.111, 205.251.199.99",,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-126.awsdns-15.com, ns-1891.awsdns-44.co.uk, ns-1135.awsdns-13.org, ns-675.awsdns-20.net","v=spf1 include:mailgun.org ~all, google-site-verification=nCIQY8PmzwWjXpAHO_Z81aTIR4nhTv4UjDgTMI3GM0g, google-site-verification=lVA1QWOlGnevFb3kJjeUGxhg_wglHe_IVLHVTyhxuuk, google-site-verification=PQQM_k1p35PR6pl2fYswgR0wn-8WkctnPbPEO9x8jIo",
[x],wivsdl5.ycombinator.com,54.144.128.85,,,NOERROR,,,,,,,
[x],workatastartup.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","merlin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"merlin.ns.cloudflare.com, nora.ns.cloudflare.com","v=spf1 -all, google-site-verification=cqnDQZ8DxrB_psn4PKEhgN9MLr6fxvPfI9dwQEXCcn0, Wayback verify for support request 741082",
[x],world.ycombinator.com,"172.67.5.232, 104.22.7.236, 104.22.6.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,world.ycombinator.com.cdn.cloudflare.net,,,,
[x],www.startupschool.org,"172.67.29.212, 104.22.37.157, 104.22.36.157","2606:4700:10::6816:249d, 2606:4700:10::6816:259d, 2606:4700:10::ac43:1dd4","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,www.startupschool.org.cdn.cloudflare.net,,,,
[x],www.ycombinator.com,"172.67.5.232, 104.22.6.236, 104.22.7.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,www.ycombinator.com.cdn.cloudflare.net,,,,
[x],ycblog.ycombinator.com,"172.67.5.232, 104.22.7.236, 104.22.6.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,ycblog.ycombinator.com.cdn.cloudflare.net,,,,
[x],ychealthandbiosummit2022.ycombinator.com,"151.101.2.133, 151.101.66.133, 151.101.130.133, 151.101.194.133",,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,d.sni.global.fastly.net,,,,
[x],ycombinator.com,"13.32.27.123, 13.32.27.80, 13.32.27.51, 13.32.27.47",,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx4.googlemail.com","ns-1411.awsdns-48.org, ns-1914.awsdns-47.co.uk, ns-225.awsdns-28.com, ns-556.awsdns-05.net","Wayback verify for support request 741082, ZOOM_verify_2ndw8KZxSRa8PT8NmdyXvw, apple-domain-verification=WG0sP5Alm7N6h1Te, ca3-4861b957e83847c188e45d04ec314ee3, google-site-verification=GJKdQskycEclAGPua3yXB9m_nVhxbrsVps_y-t9SXV0, google-site-verification=KsI69Y_jEVkp4eXqSQ9R9gwxjIpZznvuvrus6UolB9Y, google-site-verification=rivq8jKu6AADGtbbEzJhmOpcqq08B7QxIzXxYV8DtyU, v=spf1 include:_spf.google.com include:mailgun.org a:rsweb1-36.investorflow.com include:_spf.createsend.com include:servers.mcsv.net -all",
