new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,caa,ns,txt
[x],explorer.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],faucet.celo.org,"172.64.145.88, 104.18.42.168",,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],forno.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],forum.celo.org,184.105.99.75,2602:fd3f:3:ff02::4b,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,celo.hosted-by-discourse.com,mx-corp1.discoursemail.com,letsencrypt.org,,
[x],funding.celo.org,"172.64.145.88, 104.18.42.168",,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],hackathon.celo.org,54.144.128.85,,,NOERROR,,,,,,,
[x],kuneco.celo.org,"188.114.99.234, 188.114.98.234","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],news.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],nft.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],old-safe.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],openpgpkey.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],safe.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],stats-server.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],stats.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],transfer.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],transferanalytics.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],validators.celo.org,"172.64.145.88, 104.18.42.168","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],wiki.celo.org,"172.64.154.24, 104.18.33.232","2606:4700:4400::ac40:9a18, 2606:4700:4400::6812:21e8","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,celoplatform.notion.site,,,,
[x],www.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.dev.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.docs.celo.org,"34.159.168.235, 34.141.103.251","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,celo-docs.netlify.app,,,,
