new,host,a,soa,status_code,ns,cname,mx,txt,caa,has_internal_ips,internal_ips,cdn,cdn-name,aaaa
[x],authwww-test-static-clients-stats-corp.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],avid.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],backupgcp.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],backuphelporigin.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bcg3et.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],beap.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],beta.doc.bunq.com,"104.18.3.117, 104.18.2.117","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"hosting.gitbook.com, hosting.gitbook.io",,,"digicert.com, letsencrypt.org, pki.goog",,,True,cloudflare,"2606:4700::6812:375, 2606:4700::6812:275"
[x],bid463d.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid46cz.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid46qm.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid471l.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47ol.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],bid47r1.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47u5.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47zo.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bifrost-baked-cookies.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bitdefender.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],biz-tst1.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],blog.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],blog.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],brx.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bucket-status-awspaymentsstorage.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bucketalpha-awslb.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bunq.com,"99.83.190.102, 75.2.70.75","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net, ns-1189.awsdns-20.org",,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","MS=ms69649055, apple-domain-verification=taWpyi84W5KB3KE2, google-site-verification= i7o6acgDR3jbQkgvKViLkspG3vb3r4mbVemiMZ2w9TE, google-site-verification=19A4UnfnhaseWQ-KiiZsFEte8z4BHgiPtikIrIF_hMo, google-site-verification=EWuAKBK2b-yCEdfzS1vpCSm3CRAoqPKcW-WjZ56k5l8, google-site-verification=QuAOwHz0IaPpNQmT1f_B21Yb6es3F1fWtAIpnXnoJfs, google-site-verification=v3wmm3nxME6OdeOElMknRDvINCFiGh9wJBxKbIkazCQ, have-i-been-pwned-verification=9a47b423ec3c4dca5912e2242f41c0f4, mixpanel-domain-verify=13c115bc-74cf-40f4-af82-5c4c5d4c82ad, v=spf1 ip4:80.69.67.60 ip4:80.69.69.100 ip4:149.210.210.23 ip4:149.210.210.20 ip4:80.69.67.2 ip4:109.234.108.0/22 , ip4:149.210.143.173 , ip4:185.40.109.45 ip4:185.40.111.45 ip4:35.156.90.172 include:spf.peoplexs.com include:servers.mcsv.net include:_spf.salesforce.com include:spf.mandrillapp.com include:_spf.google.com -all, INTERNET-ARCHIVE-VERIFICATION-REQUEST-744403",,,,,,
[x],bunqme.sandbox.bunq.com,"18.185.253.164, 52.28.235.10, 54.93.154.10","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bunqto.sandbox.bunq.com,"54.93.154.10, 18.185.253.164, 52.28.235.10","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],button.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cache-dockerintra-backups-www-test.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ccitutil.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],chat.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],chefbid460x.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cinema4dr12.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],clicks.bunq.com,"143.204.215.16, 143.204.215.118, 143.204.215.56, 143.204.215.15","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,True,cloudfront,
[x],clone2.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cmrj.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cms-enassets-defaultproduction.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cms-nwc-afpc14.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cms-sales-my-external-domain.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],conf.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],config-515g15.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],configcustomers.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],confirmation.bunq.com,"18.185.205.39, 3.125.112.45, 3.120.54.191","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],confluence-engineering-temp-media-proxy-vpn.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],core-qa.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cp-vn.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],crafting-and-building.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],createpdf.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],csdemo.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cta-fra04-origin.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],customers-newgcplbmiembros.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],customerswiki.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cx-edc.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],d03xproxy125y.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],d23app02.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],debug-eventintra-backups-www-test.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],default.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],demo-cache.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],demo-downloads-v2.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],demosystem-data-log-b2bsystem.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev-accountvpn-new-oceania.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev-mobile.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev-together-files.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],develop.bunq.com,149.210.143.173,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],developer.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,google-site-verification=ML0Z9MOPWaopSJGCCb3Qttxfj216Z0r5_4k7JpOH_lk,,,,,,
[x],developermirror.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],developers.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
