input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url,tls_expired,tls_self_signed
fcss.alaskaair.com,,404,18,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,fcss.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-03-13T21:13:27Z,2024-03-12T21:13:27Z,"CN=bomgar.test.alaskaair.com, OU=ITS, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",bomgar.test.alaskaair.com,,"CN=airgroup-TUKPRCAISS01-CA, DC=airgroup, DC=alaskaair, DC=com, DC=airgroup, DC=alaskaair, DC=com",airgroup-TUKPRCAISS01-CA,,dcd82d3d2a0505d1d29933520effc02e,8eebe7c5cab09f3a91711b0103a4b92b0820531253d36b03485e446d9cf64d85,,ctls,fcss.alaskaair.com,,443,https://fcss.alaskaair.com:443,https,Apache,text/html,GET,159.49.241.21,/,471241532,159.49.241.21,HSTS,1,False,,,"Alaska Airlines, Inc.",,,
fd.test.sdp.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,,,,,,,,,,,,,,,,,,,,,80,http://fd.test.sdp.alaskaair.com:80,http,,,GET,13.107.237.45,/,-1840324437,2620:1ec:27::cafe:1993,Azure Front Door,1,False,,,,,,
fedauth.bc.alaskaair.com,Error,403,1438,AS10966,ALASKA-AIR,US,159.49.46.0/23,fedauth.bc.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-01-24T10:04:59Z,2024-02-03T10:04:57Z,"CN=fedauth.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",fedauth.alaskaair.com,www.fedauth.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",5da22e889eb7041b6b4e54a53e7e2ac3,45b9469d9d5a00f041ebdc6ee29e7eb55da1c18a468a6704323224040ea54324,,ctls,fedauth.bc.alaskaair.com,,443,https://fedauth.bc.alaskaair.com:443,https,,text/html,GET,159.49.47.26,/,1115653873,159.49.47.26,,49,False,,,"Alaska Airlines, Inc.",,,
fedauth.qa.alaskaair.com,Error,403,1438,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,fedauth.qa.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-12T17:07:05Z,2023-07-17T17:07:05Z,"CN=fedauth.qa.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",fedauth.qa.alaskaair.com,fedauth.qa.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bd831bf21cf30d6b9f8ec0c5a3bfcd37,ba18c78ddfc93c60f91c73770eadd677422bd000357ad2e2aed090a41d8c5b4a,,ctls,fedauth.qa.alaskaair.com,,443,https://fedauth.qa.alaskaair.com:443,https,,text/html,GET,159.49.241.89,/,1115653873,159.49.241.89,,49,False,,,"Alaska Airlines, Inc.",,,
feedback.alaskaair.com,,200,4999,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,feedback.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-13T00:00:00Z,2023-11-07T23:59:59Z,"CN=akamaisecure2.qualtrics.com, O=Qualtrics International Inc., L=Provo, ST=Utah, C=US",akamaisecure2.qualtrics.com,legacy.qvanitydomainauto.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7932e0a980b7f262ec947ea9f98c4902,a6bcce542ae7c30b5493f745402069c7001bb084454e39cbc329f2a326a23691,,ctls,feedback.alaskaair.com,,443,https://feedback.alaskaair.com:443,https,,text/html,GET,104.102.47.15,/,1497376729,104.102.47.15,HSTS,27,False,,https://sjc1.qualtrics.com/csp-report,Qualtrics International Inc.,https://feedback.alaskaair.com/login,,
finuat.alaskaair.com,Alaska Airlines / Horizon Air,200,8686,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.122.0/24,fedauth.qa.alaskasworld.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-20T10:38:27Z,2024-03-23T10:38:27Z,"CN=ids.qa.alaskasworld.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",ids.qa.alaskasworld.com,fedauth.qa.alaskasworld.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3266972a11d0c61975187ce00509b9fe,1b67b0ebf00e1c55d4b59e23e37244b289227bdb9c6599161d58e668c551b81a,,ctls,fedauth.qa.alaskasworld.com,,80,http://finuat.alaskaair.com:80,http,,text/html,GET,159.49.122.16,/,-2113408924,159.49.122.16,,233,False,,,"Alaska Airlines, Inc.",https://fedauth.qa.alaskasworld.com/as/authorization.oauth2?response_type=code&client_id=PA_WAM&redirect_uri=https%3A%2F%2Ffinuat.alaskaair.com%2Fpa%2Foidc%2Fcb&state=eyJ6aXAiOiJERUYiLCJhbGciOiJkaXIiLCJlbmMiOiJBMTI4Q0JDLUhTMjU2Iiwia2lkIjoiWGZwcnFUQnUyRC1TaHpLLUJLY3ZBNFVvREl3Iiwic3VmZml4IjoiMFM3VDU5LjE2ODM5OTE1MDQifQ..CG-vWvIEUH4whPYaMwxC8Q.FkCc4Xm8XpAQsj6G37Oy7lmZrGdFx7X8t3yi_zz4K56mZhSwD9JEsRKcjertZuKcfw7N06BGCvuaXngHoW36jYcBcOAY2T8m4S6waDB-_Pu8vqtKYsC64tET-kHmWTiP.6KE_9pzjf5DK-Q5gRpYlBQ&nonce=aIL7cr89B70DdALgPuve-OmSJsJxmihnqWleliefJVA&acr_values=aag%3Amfagroup%20mfa&scope=openid%20profile%20address%20email%20phone&vnd_pi_requested_resource=https%3A%2F%2Ffinuat.alaskaair.com%2F&vnd_pi_application_name=PeopleSoft+Financials,,
flex.v.alaskaair.com,,200,265,AS16509,AMAZON-02,US,18.66.102.0/24,flex.v.alaskaair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-28T00:00:00Z,2024-05-26T23:59:59Z,CN=yana-acceptance-client-placeholder.volantio.com,yana-acceptance-client-placeholder.volantio.com,*.v.volaris.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ca1ab9b32ba704363df7716626e07b51,343d31e89104fc36e8f5ca675ab6c98956fcf8bd8245fca184b16a8b7831403d,True,ctls,flex.v.alaskaair.com,cloudfront,443,https://flex.v.alaskaair.com:443,https,AmazonS3,text/html,GET,18.66.97.32,/,-1737340278,18.66.97.37,Amazon Web Services,11,False,True,,,,,
flexibleapi.w2.ecomm-qa-aks.alaskaair.com,,200,14,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,flexibleapi.w2.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-18T13:33:18Z,2023-06-16T13:33:17Z,CN=flexibleapi.w2.ecomm-qa-aks.alaskaair.com,flexibleapi.w2.ecomm-qa-aks.alaskaair.com,flexibleapi.w2.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8bed6d0e8f906c8e98864d9308dc1c6e,87340abcae3bc4381670d64ca59e09cf896960adf257048d66fa49de32f209ca,,ctls,flexibleapi.w2.ecomm-qa-aks.alaskaair.com,azure,443,https://flexibleapi.w2.ecomm-qa-aks.alaskaair.com:443,https,,application/json,GET,40.64.101.169,/,28889482,40.64.101.169,HSTS,1,False,True,,,,,
flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T17:16:37Z,2023-06-19T17:16:36Z,CN=flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6dba7c786cdc8eaa29467aefc8ad540f,0d7e8f549a340ba468d4ccaa1d5a8384b788d5086be65ad24996e79c1df32a15,,ctls,flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com,azure,443,https://flightchanges-cache.w2.ecomm-qa-aks.alaskaair.com:443,https,,,GET,40.64.101.169,/,-1840324437,40.64.101.169,HSTS,1,False,True,,,,,
flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,Swagger UI,200,4763,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-19T13:14:23Z,2023-06-17T13:14:22Z,CN=flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6ba4e09ee54cf218ef1e2ea1d6ec3320,5c2db44c5d5754b01a24033a4284d4a9e65bc7a4eec535238340ffbb3bf55a62,,ctls,flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com,,443,https://flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,20.69.115.140,/,-1840324437,20.69.115.140,HSTS,118,False,,,,https://flightchanges-microservice.w2.ecomm-prod-aks.alaskaair.com/index.html,,
flightpass.alaskaair.com,Alaska Airlines - Flight Pass,200,36113,AS16509,AS16509,Unknown,34.240.0.0/12,flightpass.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-15T16:32:43Z,2023-12-15T16:32:43Z,"CN=flightpass.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",flightpass.alaskaair.com,url2778.flightpass.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ceb686c447db4d44dffef4ddd0bc19d5,b16be964a6e09717009d0029b43129c476d7d1a6b4dcc44c0e528929d1e773f4,,ctls,flightpass.alaskaair.com,,443,https://flightpass.alaskaair.com:443,https,Apache,text/html,GET,34.254.220.132,/,1080768317,34.254.220.132,PHP,408,False,,,"Alaska Airlines, Inc.",https://flightpass.alaskaair.com:443/asa/subscriptions,,
flightreferencetimes.w2.its-test-aks.alaskaair.com,503 Service Temporarily Unavailable,503,190,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,,,,,,,,,,,,,,,,,,,,80,http://flightreferencetimes.w2.its-test-aks.alaskaair.com:80,http,,text/html,GET,20.98.88.164,/,1457316476,20.98.88.164,,8,False,,,,,,
flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,Alaska Airlines Flight Search,200,2094,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-05T12:53:59Z,2023-08-03T12:53:58Z,CN=flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cac3bd04a9855203c6a533736e1c37c2,42e0d6dce688beaae9f6459988a1c9a1f498751dd9b17b7502cb1673cb5570ff,,ctls,flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com,,443,https://flightsearch-lem.w2.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,20.69.115.140,/,1115653873,20.69.115.140,HSTS,62,False,,*.demdex.net,,,,
fs-lem-11.w2.ecomm-test-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,fs-lem-11.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-13T07:16:20Z,2023-12-13T07:16:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,8f918e10321834542395a9cb1bb3c3bb,1ab5149808db10710d18d5303c6d1fd4eed0e586a587634155b6cf52c4de5bcb,,ctls,fs-lem-11.w2.ecomm-test-aks.alaskaair.com,azure,443,https://fs-lem-11.w2.ecomm-test-aks.alaskaair.com:443,https,,text/html,GET,40.64.90.136,/,586998417,40.64.90.136,HSTS,14,False,True,,Acme Co,,,True
fs-lem-12.w2.ecomm-test-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,fs-lem-12.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-16T20:40:14Z,2023-11-16T20:40:14Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,42ef34c563e67d69d6d2e6d5590b2f93,48a800bb9c9b4b524416c8cf1860c85ad43a46744750150863a7c45cfeddcc12,,ctls,fs-lem-12.w2.ecomm-test-aks.alaskaair.com,azure,443,https://fs-lem-12.w2.ecomm-test-aks.alaskaair.com:443,https,,text/html,GET,40.64.90.136,/,-1561873722,40.64.90.136,HSTS,8,False,True,,Acme Co,,,True
fs-lem-20.w2.ecomm-test-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,fs-lem-20.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-23T02:51:04Z,2023-11-23T02:51:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f0a09bf4be5a9af62250105a472abc80,d2974c756f6150cbe57207c1e6d047666a82828ce3036a675e196e28dcec60d0,,ctls,fs-lem-20.w2.ecomm-test-aks.alaskaair.com,azure,443,https://fs-lem-20.w2.ecomm-test-aks.alaskaair.com:443,https,,text/html,GET,40.64.90.136,/,-1561873722,40.64.90.136,HSTS,8,False,True,,Acme Co,,,True
fs-ndc.wc.ecomm-prod-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,fs-ndc.wc.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-07T20:59:36Z,2023-06-05T20:59:35Z,CN=fs-ndc.wc.ecomm-prod-aks.alaskaair.com,fs-ndc.wc.ecomm-prod-aks.alaskaair.com,fs-ndc.wc.ecomm-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b922bfd23ddbf408318bca047ebf8805,0175f52a5680058c3015da214d601caa00cd51bff7eaeb19a2e24ad6e03644ac,,ctls,fs-ndc.wc.ecomm-prod-aks.alaskaair.com,azure,443,https://fs-ndc.wc.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,13.78.230.197,/,586998417,13.78.230.197,,14,False,True,,,,,
fs-ndc.wc.ecomm-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,fs-ndc.wc.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-06T23:55:36Z,2023-06-04T23:55:35Z,CN=fs-ndc.wc.ecomm-qa-aks.alaskaair.com,fs-ndc.wc.ecomm-qa-aks.alaskaair.com,fs-ndc.wc.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bb7d4ad5a2bb1986adcf5b474d829193,2791689056bab189b5e25de5a12b25949c6ba2442fb9e758ba486005d67c688a,,ctls,fs-ndc.wc.ecomm-qa-aks.alaskaair.com,azure,443,https://fs-ndc.wc.ecomm-qa-aks.alaskaair.com:443,https,,text/html,GET,52.159.16.168,/,586998417,52.159.16.168,,14,False,True,,,,,
gate.v.alaskaair.com,,200,265,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,gate.v.alaskaair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-28T00:00:00Z,2024-05-26T23:59:59Z,CN=yana-acceptance-client-placeholder.volantio.com,yana-acceptance-client-placeholder.volantio.com,*.v.volaris.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ca1ab9b32ba704363df7716626e07b51,343d31e89104fc36e8f5ca675ab6c98956fcf8bd8245fca184b16a8b7831403d,True,ctls,gate.v.alaskaair.com,cloudfront,443,https://gate.v.alaskaair.com:443,https,AmazonS3,text/html,GET,108.156.60.55,/,-1737340278,108.156.60.44,Amazon Web Services,11,False,True,,,,,
gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-01T14:19:56Z,2023-06-30T14:19:55Z,CN=gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a02c7d0dbcf1b7ece304913c0f9412d8,bc9e993d6ca60c3ac30f23623c43820bfa264c5b19b5aa0447de7000afd0b9ed,,ctls,gdsminutestoboarding.wc.its-prod-aks.alaskaair.com,azure,443,https://gdsminutestoboarding.wc.its-prod-aks.alaskaair.com:443,https,,text/html,GET,13.77.222.64,/,-1561873722,13.77.222.64,HSTS,8,False,True,,,,,
geoservice.alaskaair.com,Geo Service,200,23441,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,23.102.0.0/16,,,,,,,,,,,,,,,,,,,,azure,80,http://geoservice.alaskaair.com:80,http,Microsoft-IIS/10.0,text/html,GET,23.101.207.250,/,-20275242,23.101.207.250,Windows Server,369,False,True,,,,,
geoservice.test.alaskaair.com,Geo Service,200,23439,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,geoservice.test.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-09T06:04:19Z,2023-12-09T06:04:19Z,"CN=geoservice.test.alaskaair.com, OU=ITS, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",geoservice.test.alaskaair.com,geoservice.test.alaskaair.com,"CN=airgroup-TUKPRCAISS01-CA, DC=airgroup, DC=alaskaair, DC=com, DC=airgroup, DC=alaskaair, DC=com",airgroup-TUKPRCAISS01-CA,,8c8fdd19faef95133f3f6c12a7fd8f0d,93df7ece2c37bfd559be87c50a3a5907b0e42c0094395e6e084abd4abf13467e,,ctls,geoservice.test.alaskaair.com,azure,443,https://geoservice.test.alaskaair.com:443,https,Microsoft-IIS/10.0,text/html,GET,104.42.231.5,/,-20275242,104.42.231.5,Windows Server,369,False,True,,"Alaska Airlines, Inc.",,,
groundeventsinformation.w2.its-test-aks.alaskaair.com,503 Service Temporarily Unavailable,503,190,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,groundeventsinformation.w2.its-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-28T16:38:57Z,2024-04-27T16:38:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,6f2aa7955f9e6eedf36240498c65d6b0,173f75c1ad9d12870e61e659e074a56e59bc56bca01036f55987757f4509fead,,ctls,groundeventsinformation.w2.its-test-aks.alaskaair.com,,443,https://groundeventsinformation.w2.its-test-aks.alaskaair.com:443,https,,text/html,GET,20.98.88.164,/,1457316476,20.98.88.164,HSTS,8,False,,,Acme Co,,,True
h-135-207-183-55.its-qa-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,,,,,,,,,,,,,,,,,,,,,80,http://h-135-207-183-55.its-qa-aks.alaskaair.com:80,http,,text/html,GET,13.107.237.45,/,-1561873722,2620:1ec:27::cafe:1799,HSTS,8,False,,,,,,
headerdemo.w2.ecomm-test-aks.alaskaair.com,Welcome to nginx!,200,615,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,headerdemo.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-18T11:56:03Z,2023-07-17T11:56:02Z,CN=headerdemo.w2.ecomm-test-aks.alaskaair.com,headerdemo.w2.ecomm-test-aks.alaskaair.com,headerdemo.w2.ecomm-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0ff5ad7e95b2cd36c0839bce0d40da0,7794bd75e5f0ba2e7278685bc1870d4436c6f1dce1702880804840b48516358a,,ctls,headerdemo.w2.ecomm-test-aks.alaskaair.com,azure,80,http://headerdemo.w2.ecomm-test-aks.alaskaair.com:80,http,,text/html,GET,40.64.90.136,/,-2084782407,40.64.90.136,HSTS,24,False,True,,,https://headerdemo.w2.ecomm-test-aks.alaskaair.com,,
hello-world.w2.its-test-aks.alaskaair.com,503 Service Temporarily Unavailable,503,592,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,hello-world.w2.its-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-28T16:38:57Z,2024-04-27T16:38:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,6f2aa7955f9e6eedf36240498c65d6b0,173f75c1ad9d12870e61e659e074a56e59bc56bca01036f55987757f4509fead,,ctls,hello-world.w2.its-test-aks.alaskaair.com,,443,https://hello-world.w2.its-test-aks.alaskaair.com:443,https,,text/html,GET,20.98.88.164,/,1131193170,20.98.88.164,HSTS,14,False,,,Acme Co,,,True
home.bc.alaskaair.com,Alaska Airlines / Horizon Air,200,9005,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.192.0/18,fedauth.alaskasworld.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-27T09:56:13Z,2024-03-01T09:56:13Z,"CN=fedauth.alaskasworld.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",fedauth.alaskasworld.com,www.fedauth.alaskasworld.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",cfd9cf6723911b7dc15433f1c19d2512,64b3102028ac95d84b04a7948ad97698dccb61b5f80fe2ac59313ea5607909eb,,ctls,fedauth.alaskasworld.com,,443,https://home.bc.alaskaair.com:443,https,,text/html,GET,159.49.253.53,/,819926927,159.49.253.53,,234,False,,,"Alaska Airlines, Inc.",https://fedauth.alaskasworld.com/idp/prp.wsf?client-request-id=a11f211a-2e30-4b1c-2222-b600db1599c9&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE_bBJhGMb5OHpKtZY0cTEmxotT48H9oXcHSRMPKBCIpSAcUGPIx_0px3F89O44KA27Yx3LposJxsXBmGqiMS52YnCqi2ND0saYDh2FuDj2GZ48yTu8T37PKkYH6egD6p8Ycu4kpWk0Kavz9J-slcXAnfv3XlLBu1mCeO_5efvw-wgswRa0DQh1KygjcwyIhuN07GgohLpOCyEjiDRNl1WWW5vfQ6gHQx8AmABwCsDYy3OsQEdYJkJFBJ5nWF6gg2GeU_kwo5CRWQUyDJU6WacphWQZSK2pAmRlTjnxLufErtNg5oYsfaD-8fo1ZJm1DrKdEWYnZJvfQOJOQowVqJgTTuyJ-Uw6LgtxQ1a2m4Vet1sPmwxb1k1aNyRkxBtZM83GStmYgVC85FaZUsyu5ItlI1HMFdSiVskn8jCllYuplrVbVtitQVWQK-6eNhCUHYbvC2PsShjfYfgMhInaxxiOOmpbVyY-8MsHpj4vhV36wKuFGeeN809fD19cPBoF3Nfn30ae44VQLtNWKNUqiwKUBlKySDXEflvazSSlPtdrmvmE1HVFVs3xXGmdjdIHODjA8SPcfx0LeAgsvkWf4uA3Dp5f8xz5rzDS5AY4uRlexOUW1E17ZXWf0JWagwy1TUT3ib5p12R5nlzY6qo2EX1KzF4Qz4bD4Zclz-Wtz9OLj2_e_jhLT5cfcnJys2E9dp_0C2anrFeVeK-ZYnkdppxI0ZYc2ujx21XH7Wza638B0,,
https://sjc1.qualtrics.com/csp-report,Error,404,149,AS20940,AKAMAI-ASN1,NL,72.247.0.0/16,sjc1.qualtrics.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-07T00:00:00Z,2024-03-26T23:59:59Z,"CN=*.qualtrics.com, O=Qualtrics International Inc., L=Provo, ST=Utah, C=US",*.qualtrics.com,*.sr.qualtrics.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb4fe0e032ed2bad845a2d0b25e2ad17,f2265e02b2b56f8cde5b89b6a79cda4bbeec8b0ec3a6b5a724781fbe13c2e3cf,True,ctls,sjc1.qualtrics.com,,443,https://sjc1.qualtrics.com:443/csp-report,https,,text/html,GET,72.246.169.123,/csp-report,1497376729,72.246.169.123,HSTS,11,False,,https://sjc1.qualtrics.com/csp-report,Qualtrics International Inc.,,,
