new,host,a,soa,status_code,mx,ns,txt,cname,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],00000-okta-idp-support.api.auth.ftp-ns.claiming.com.au,"13.32.99.78, 13.32.99.31, 13.32.99.76, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.api.device2064563.claiming.com.au,"108.156.60.117, 108.156.60.77, 108.156.60.3, 108.156.60.101","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.cloudfront.claiming.com.au,"13.227.173.76, 13.227.173.75, 13.227.173.117, 13.227.173.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.helpdesk.claiming.com.au,"108.157.229.48, 108.157.229.67, 108.157.229.123, 108.157.229.127","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.internal.api.auth.ftp-ns.claiming.com.au,"13.227.173.75, 13.227.173.31, 13.227.173.76, 13.227.173.117","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.redir-api.ghcpi.claiming.com.au,"13.32.99.31, 13.32.99.114, 13.32.99.78, 13.32.99.76","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-supportcert.claiming.com.au,"13.32.99.31, 13.32.99.78, 13.32.99.76, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-webconf.231.ns.e.claiming.com.au,"13.32.99.78, 13.32.99.114, 13.32.99.76, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-www-api.www.promo.claiming.com.au,"18.173.233.86, 18.173.233.83, 18.173.233.39, 18.173.233.42","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp.administration.claiming.com.au,"18.173.233.39, 18.173.233.86, 18.173.233.83, 18.173.233.42","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
