new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,has_internal_ips,internal_ips,caa,txt
,meet.bigcommerce.com,"52.1.10.65, 54.82.94.141, 54.204.178.190","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,"acdd81b0-598a-4e14-abfb-5f5c3d9b6695.outrch.com, app2a.outrch.com",,,,,,letsencrypt.org,
,microapp-cdn.gcp.bigcommerce.net,34.117.232.248,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,microapps.bigcommerce.com,34.117.232.248,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,microapp-cdn.gcp.bigcommerce.net,,,,,,,
,na-montreal-pritunl-01.corp.bigcommerce.net,35.203.107.199,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,nagios.gcp.bigcommerce.net,35.232.187.119,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,nagios1-p.jfk1do.bigcommerce.net,,,NOERROR,,,,,,,,,,
,next.bigcommerce.com,34.102.196.0,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,ns1.bigcommerce.com,35.226.211.142,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,ns2.bigcommerce.com,35.238.43.68,"dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,ns3.bigcommerce.com,35.238.121.104,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,o1.newsletter.bigcommerce.com,173.193.132.20,"dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
,o1.ptr1206.bigcommerce.com,149.72.173.132,"dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
,o2.ptr9100.bigcommerce.com,149.72.227.211,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,oauth.bigcommerce.com,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-lb1.gcp.bigcommerce.net,,,,,,,
,omni-checkout.bigcommerce.com,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-global-lb1.gcp.bigcommerce.net,,,,,,,
,p.bigcommerce.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u2787339.wl090.sendgrid.net,,,mx.sendgrid.net,,,,v=spf1 include:sendgrid.net ~all
,partners.bigcommerce.com,209.170.205.68,"ns-732.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1958.awsdns-52.co.uk, ns-212.awsdns-26.com, ns-732.awsdns-27.net, ns-1059.awsdns-04.org",,,,,v=spf1 mx ip4:206.71.93.0/25 ip4:206.71.77.1/25 ip4:206.71.94.128/25 include:sparkpostmail.com ~all
,payments.bigcommerce.com,"35.244.136.81, 35.201.91.13, 35.244.244.155","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,payments-lb.gcp.bigcommerce.net,,,,,,,
,science.bigcommerce.net,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-global-lb1.gcp.bigcommerce.net,,,,,,,
,shared-lb-global-lb1.gcp.bigcommerce.net,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,shared-lb-lb1.gcp.bigcommerce.net,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,shop.bigcommerce.com,192.200.160.23,"ns1.bigcommerce.com, serverops.bigcommerce.com",NOERROR,,,store-vke3dp31fl.mybigcommerce.com,,,,,,,
,smtp-out.gcp.bigcommerce.net,"104.195.127.8, 104.195.127.1, 104.195.127.10, 104.195.127.9, 104.195.127.13, 104.195.127.0, 104.195.127.5, 104.195.127.6, 104.195.127.2, 104.195.127.4, 104.195.127.7, 104.195.127.12, 104.195.127.15, 104.195.127.11, 104.195.127.3, 104.195.127.14","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
,smtp.gcp.bigcommerce.net,35.232.71.182,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,smtp57.bigcommerce.net,,,NOERROR,,,,,,,,,,
,staff.bigcommerce.net,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-global-lb1.gcp.bigcommerce.net,,,,,,,
,stage-blog.bigcommerce.com,216.70.116.29,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,start.bigcommerce.com,34.139.118.111,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,startbigcomprd.wpengine.com,,,,,,,
,static.bigcommerce.com,127.0.0.1,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,True,127.0.0.1,,
,status.bigcommerce.com,18.234.32.149,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,qbn4dyd29jby.stspg-customer.com,,,,,,"letsencrypt.org, globalsign.com;",
,stencil-bundle.bigcommerce.net,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-global-lb1.gcp.bigcommerce.net,,,,,,,
,stencil.bigcommerce.com,34.98.114.7,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,sydvpn.corp.bigcommerce.net,60.241.132.198,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
,www-cdn.bigcommerce.com,"192.200.160.253, 63.141.128.3","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,www-cdn.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,www.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,www.bigcommerce.com.cdn.cloudflare.net,,,,,,,
