new,host,a,cname,soa,ns,status_code,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],421e33712366402f96e73bd927998d3b.waf.huaweicloud.com,"117.78.24.39, 117.78.24.35, 117.78.24.40",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],4844db59f02844f1aeeaee8660714e20.waf.huaweicloud.com,"117.78.24.43, 117.78.24.34, 117.78.24.42",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],4d4195eae6474e1cabcd27b9d633c1aa.waf.huaweicloud.com,"122.112.208.33, 122.112.208.34, 122.112.208.37",,,,NOERROR,,,,,,,
[x],502ddc066836401496cbb022a9cb92fb.waf.huaweicloud.com,"117.78.24.36, 117.78.24.38, 117.78.24.40",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],5172c1884bd54d16a5643b0e109214d0.waf.huaweicloud.com,"122.112.208.225, 122.112.208.224, 122.112.208.226",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],584e67e0d2024673a52dcec82e4c2053.waf.huaweicloud.com,,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,"2407:c080:803:1000::17, 2407:c080:803:1000::c6",,,
[x],59502930503e4052bbea32bbccfc868f.apigw.cn-east-2.huaweicloud.com,122.112.208.128,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],5ebb082eee92495caf0de14792262221.apigw.cn-north-1.huaweicloud.com,43.254.0.94,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],5f5985ca3639468aaee408ca6d10cc60.waf.huaweicloud.com,"117.78.24.37, 117.78.24.40, 117.78.24.35",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],61688e4e92ec4cc099983bae6a3ef5d1.waf.huaweicloud.com,122.112.207.26,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],630e26d0cf314811bb42ec6fdc05abcd.waf.huaweicloud.com,"139.159.208.106, 116.205.146.2, 116.205.146.24",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],68c22c99ad4f4171a18e55886c93c501.waf.huaweicloud.com,49.4.53.200,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],6d8014b76c474555ab9fea9604637939.apigw.cn-north-4.huaweicloud.com,"49.4.112.58, 49.4.112.59",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],6f922018c6524f98a570bd8bba55b997.waf.huaweicloud.com,"139.159.208.112, 139.159.208.100, 139.159.208.109",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],7204a7424776429b823d20ddbccfa2e7.waf.huaweicloud.com,"49.4.56.37, 117.78.24.41",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,"2407:c080:803:1000::3, 2407:c080:803:1000::b",,,
[x],7d0c8da262b84d50adf39300fcfde4eb.waf.huaweicloud.com,"119.3.116.123, 119.3.116.109, 122.112.208.36, 122.112.208.32",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],896342d78b594fecb2990f3a8eab3b03.waf.huaweicloud.com,"117.78.24.39, 117.78.24.38, 117.78.24.40",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],950506e1c59d40989b48afcff89ee124.waf.huaweicloud.com,"159.138.195.110, 159.138.195.104, 159.138.195.106",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],99119a135fdf441a832c31d92e152568.waf.huaweicloud.com,82.157.14.15,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],9d6d5cb6b6ce42eea3ffb4c0856d62e0.waf.huaweicloud.com,49.4.92.207,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-ae.huawei.com,185.193.152.190,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-au.huawei.com,119.8.177.122,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-bh.huawei.com,88.201.29.180,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-de.huawei.com,,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-hk.huawei.com,119.8.242.163,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-id.huawei.com,14.137.157.198,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-in.huawei.com,"159.138.188.36, 124.71.94.46, 14.137.135.143",,"nsall.huawei.com, root.nsall.huawei.com","nsallsec.huawei.com, nsall3rd.huawei.cn, nsall.huawei.com, nsall4th.huawei.cn",NOERROR,,,,"2407:c080:17ef:ffff::7274:d7c6, 2407:c080:17ef:ffff::7274:d55d",,,
[x],a.edoc-jp.huawei.com,14.137.153.200,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-mx.huawei.com,110.238.88.209,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-my.huawei.com,14.137.161.208,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-ng.huawei.com,14.137.173.200,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-ph.huawei.com,159.138.188.5,,,,NOERROR,,,,,,,
[x],a.edoc-ru.huawei.com,159.138.218.27,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-sa.huawei.com,164.215.46.41,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-sg.huawei.com,119.8.177.143,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.edoc-uk.huawei.com,14.137.135.175,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],a.vmall.com,"49.4.39.46, 121.36.118.247",wap1.hispace.hicloud.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],abuy.vmall.com,121.36.78.108,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],abuyauto.test.vmall.com,124.70.73.198,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],account-intl.huaweicloud.com,"159.138.80.134, 159.138.16.122",,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],account-ru1.huaweicloud.com,159.138.195.51,,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],account.huaweicloud.com,"117.78.12.122, 49.4.112.122",,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],account.jrzq.huaweicloud.com,124.70.227.253,,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],achievement-dre.things.hicloud.com,80.158.41.130,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],acs.huaweicloud.com,117.78.24.89,,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],act.vmall.com,121.36.48.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],activity-intl.huaweicloud.com,"2.17.100.195, 2.17.100.178","dsasslv6.huaweicloud.com.edgekey.net, e39493.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"2a02:26f0:1700:5::5f65:1b63, 2a02:26f0:1700:5::5f65:1b47",,,
[x],activity.cdnsrc.huaweicloud.com,"124.71.88.42, 117.78.12.122, 49.4.112.122",,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],activity.huaweicloud.com,"95.101.74.147, 95.101.74.159","dsasslv6.huaweicloud.com.edgekey.net, e39493.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"2a02:26f0:c900:9::5f65:4a9f, 2a02:26f0:c900:9::5f65:4a93",,,
[x],addr.vmall.com,121.36.48.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],ads.huawei.com,"43.152.44.81, 43.152.28.31, 46.46.151.2, 46.46.151.6","ads.huawei.com.cdn.dnsv1.com, 2a2y44oq.ovslegodl.sched.ovscdns.com, ads.huawei.com.edgekey.net, e113553.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com, ns1.ovscdns.com, webmaster.ovscdns.com",,NOERROR,,,,,,,
[x],adx-dra.op.hicloud.com,,"adx-dra-op-hicloud-com-dra.appacc.dbankedge.cn, dxzc1o98vrjl6.cloudfront.net","ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com","ns-1219.awsdns-24.org, ns-1924.awsdns-48.co.uk, ns-462.awsdns-57.com, ns-796.awsdns-35.net",NOERROR,True,cloudfront,,,,,
[x],aeasy.vmall.com,121.36.48.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq, v=spf1 -all",,,,
[x],af-east-201-console-dev.huaweicloud.com,14.137.169.33,,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],af-south-1-console-static.huaweicloud.com,"23.53.42.106, 23.53.42.154","dsasslv6.huaweicloud.com.edgekey.net, e39493.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"2a02:26f0:64::214:84d9, 2a02:26f0:64::214:84cc",,,
[x],af-south-1-console.huaweicloud.com,159.138.44.235,,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],af-south-1-static.huaweicloud.com,,,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],af-west-202-console-dev-intl.huaweicloud.com,14.137.173.49,,"ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com, vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],af-west-202-console-dev.huaweicloud.com,14.137.173.49,,"ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com, vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],agenda-beta.events.huawei.com,163.171.128.148,"agenda-beta.events.huawei.com.c.cdnhwc1.com, agenda-beta.events.huawei.com.wsglb0.com","dns1.wsglb0.org, webmaster.glb0.lxdns.com",,NOERROR,,,,,,,
[x],agenda.events.huawei.com,"90.84.161.27, 90.84.161.25, 90.84.161.24, 23.90.149.107, 23.90.149.109, 90.84.161.28","agenda.events.huawei.com.c.cdnhwc1.com, hcdnw120.dft.global.cdnhwckfz116.com","ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],air.huawei.com,185.176.76.124,"air.web.huawei.akadns.net, air-uk.failover.web.huawei.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],aisee.huawei.com,127.0.0.1,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,True,127.0.0.1,
[x],analytics.devcloud.cn-north-1.huaweicloud.com,124.70.105.193,,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],aom.huaweicloud.com,"124.70.126.196, 124.70.126.212, 124.70.125.209, 124.70.125.201",69b72e47f51f4accb8f0c1151dc3b1ea.vip1.huaweicloudwaf.com,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],ap-southeast-1-modelarts-label.huaweicloud.com,119.13.124.183,,"ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],ap-southeast-3-console-static.huaweicloud.com,"23.217.116.152, 23.217.116.209","dsasslv6.huaweicloud.com.edgekey.net, e39493.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"2600:1408:9000::17d9:74d1, 2600:1408:9000::17d9:7498",,,
[x],ap-southeast-3-console.huaweicloud.com,159.138.80.68,,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],ap-southeast-3-modelarts-label.huaweicloud.com,114.119.187.226,,"vip3.alidns.com, hostmaster.hichina.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],api-cn-northeast-1.devcloud.huaweicloud.com,218.61.208.247,,"ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com, vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],api-consup.huawei.com,119.8.242.30,"api-consup.web01.huawei.akadns.net, api-consup-hkg.failover.web01.huawei.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],api-dra.music.hicloud.com,"99.86.91.56, 99.86.91.48, 99.86.91.57, 99.86.91.83","api-dra-music-hicloud-com.appacc.dbankedge.cn, d1vuy90o7vhwyk.cloudfront.net","ns-1528.awsdns-63.org, awsdns-hostmaster.amazon.com","ns-1528.awsdns-63.org, ns-1550.awsdns-01.co.uk, ns-405.awsdns-50.com, ns-680.awsdns-21.net",NOERROR,True,cloudfront,,,,,
[x],api-drcn.music.hicloud.com,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],api-dre.music.hicloud.com,"14.137.137.105, 14.137.137.115","api-dre-music-hicloud-com-dre.appacc.dbankedge.cn, api-dre-music-hicloud-com-dre.edge.dbankedge.cn, de001.edge.dbankedge.cn","ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],api-drru.music.hicloud.com,159.138.200.136,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],api-skytone-1.vmall.com,119.8.245.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com","ns3.dnsv5.com, ns4.dnsv5.com",NOERROR,,,"globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq, v=spf1 -all",,,,
[x],api-skytone-100.vmall.com,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com","ns3.dnsv5.com, ns4.dnsv5.com",NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],api-skytone-3.vmall.com,119.8.245.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],api-skytone-5.vmall.com,119.8.245.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq, v=spf1 -all",,,,
[x],api-skytone-6.vmall.com,119.8.245.86,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],api.apistore.huaweicloud.com,"49.4.112.59, 49.4.112.58",46becd6605c44837ac99dcd247903bbe.apig.cn-north-4.huaweicloudapis.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],api.cloud.huawei.com,"80.158.20.227, 160.44.207.213",,,,NOERROR,,,,,,,
[x],api.devcloud.huaweicloud.com,49.4.121.50,,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],api.gamma2.adscloud.huawei.com,"121.36.235.6, 121.36.235.7, 121.36.235.0, 121.36.235.1",b9b50803d96b4452b6f2502c7166e467.vip3.huaweicloudwaf.com,"vip3.alidns.com, hostmaster.hichina.com",,NOERROR,,,,,,,
[x],api.vmall.com,"121.36.117.176, 49.4.32.31",,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq, v=spf1 -all",,,,
[x],api.welink.huaweicloud.com,103.143.19.130,c1ef3805c672e86b.huaweisafedns.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],api1.cloud.huawei.com,"49.4.35.235, 121.36.118.182",,,,NOERROR,,,,"2407:c080:1400:32:637f:e0fc:271d:f2ab, 2407:c080:1400:32:cf5f:3ef7:70c:111a",,,
[x],api3.vmall.com,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"v=spf1 -all, globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq",,,,
[x],api5.cloud.hicloud.com,159.138.84.22,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com, ns1.huaweicloud-dns.org, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],api7.cloud.hicloud.com,"160.44.207.213, 80.158.20.227",,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],apidev.vmall.com,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,"globalsign-domain-verification=rrg__eCa8hfaHD1HwozjG4eYl5ARV-aYuATwFjPPBq, v=spf1 -all",,,,
[x],apierrorcenter.developer.huaweicloud.com,"117.78.24.40, 117.78.24.39, 117.78.24.34",24cba03100ba45379f6a9b58aa3d3ea5.vip1.huaweicloudwaf.com,"vip3.alidns.com, hostmaster.hichina.com, ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],apiexplorer.developer.huaweicloud.com,"117.78.24.38, 117.78.24.40, 117.78.24.37",a1e6c269a0b445319d307ed54a74cf5a.vip1.huaweicloudwaf.com,"vip3.alidns.com, hostmaster.hichina.com, ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],apigw-01.huawei.com,,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],apigw.ap-southeast-1.huaweicloud.com,,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com","ns1.hwclouds-dns.com, ns1.hwclouds-dns.net",NOERROR,,,,,,,
[x],apigw.ap-southeast-2.huaweicloud.com,,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com","ns1.hwclouds-dns.com, ns1.hwclouds-dns.net",NOERROR,,,,,,,
[x],apigw.ap-southeast-3.huaweicloud.com,,,"ns1.hwclouds-dns.com, apig.example.com","ns1.hwclouds-dns.net, ns1.hwclouds-dns.com",NOERROR,,,,,,,
[x],apigw.cn-east-2.huaweicloud.com,,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com","ns1.hwclouds-dns.com, ns1.hwclouds-dns.net",NOERROR,,,,,,,
[x],apigw.cn-north-1.huaweicloud.com,,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com","ns1.hwclouds-dns.net, ns1.hwclouds-dns.com",NOERROR,,,,,,,
[x],apigw.cn-north-9.huaweicloud.com,,,"ns1.hwclouds-dns.com, apig.example.com","ns1.hwclouds-dns.com, ns1.hwclouds-dns.net",NOERROR,,,,,,,
[x],apigw.cn-south-1.huaweicloud.com,,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],apigw.huawei.com,103.218.216.165,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],apistore.apistore.huaweicloud.com,43.254.0.94,1916156becdc40528dadaf4e2fd43bf1.apigw.cn-north-1.huaweicloud.com,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],apitest.apistore.huaweicloud.com,43.254.0.94,06b0fbbfcfbc4848b298174b22ca5033.apigw.cn-north-1.huaweicloud.com,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],apitest.vmall.com,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
[x],app-211.huawei.com,119.8.242.11,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-301.huawei.com,14.137.135.235,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-401.huawei.com,159.138.223.234,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-ba.huawei.com,185.193.152.190,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-de.huawei.com,185.176.78.228,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-eu.huawei.com,185.176.78.228,"app-eu.web01.huawei.akadns.net, app-eu.failover.web01.huawei.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],app-img.huaweicloud.com,"111.206.187.117, 101.72.224.20, 153.35.100.134, 125.39.223.194, 116.162.78.186, 61.243.13.130, 101.72.224.29, 116.178.78.205, 101.72.224.72, 122.190.64.51, 211.90.133.155, 157.148.128.59, 218.60.37.189","app-img.huaweicloud.com.cdn.dnsv1.com, cdn-hqvw98ox.sched.skalego.tdnsstic1.cn","ns1.stc2.tdnsstic1.cn, webmaster.skalego.tdnsstic1.cn",,NOERROR,,,,,,,
[x],app-in.huawei.com,"115.110.175.28, 124.71.94.46, 14.137.135.143",,"nsall.huawei.com, root.nsall.huawei.com","nsall4th.huawei.cn, nsall.huawei.com, nsall3rd.huawei.cn, nsallsec.huawei.com",NOERROR,,,,"2407:c080:17ef:ffff::7274:d7c6, 2407:c080:17ef:ffff::7274:d55d",,,
[x],app-jp.huawei.com,14.137.153.220,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-mx.huawei.com,110.238.88.209,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-ng.huawei.com,"14.137.173.200, 124.71.94.46, 14.137.135.143",,"nsall.huawei.com, root.nsall.huawei.com","nsall.huawei.com, nsall3rd.huawei.cn, nsallsec.huawei.com, nsall4th.huawei.cn",NOERROR,,,,"2407:c080:17ef:ffff::7274:d7c6, 2407:c080:17ef:ffff::7274:d55d",,,
[x],app-o.huawei.com,"121.37.49.186, 124.71.94.46, 14.137.135.143",,"nsall.huawei.com, root.nsall.huawei.com","nsall.huawei.com, nsall3rd.huawei.cn, nsallsec.huawei.com, nsall4th.huawei.cn",NOERROR,,,,"2407:c080:17ef:ffff::7274:d7c6, 2407:c080:17ef:ffff::7274:d55d",,,
[x],app-sa.huawei.com,164.215.46.32,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-static.huaweicloud.com,"122.190.64.51, 218.60.37.189, 116.178.78.205, 125.39.223.194, 111.206.187.117, 157.148.128.59, 101.72.224.72, 61.243.13.130, 211.90.133.155, 101.72.224.29, 153.35.100.134, 116.162.78.186, 101.72.224.20","app-static.huaweicloud.com.cdn.dnsv1.com, kkqt3t3m.sched.skalego.tdnsstic1.cn","ns1.stc2.tdnsstic1.cn, webmaster.skalego.tdnsstic1.cn",,NOERROR,,,,,,,
[x],app-tr.huawei.com,182.160.37.238,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-uk.huawei.com,14.137.135.193,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-us.huawei.com,206.16.17.127,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app-za.huawei.com,159.138.178.9,,"nsall.huawei.com, root.nsall.huawei.com",,NOERROR,,,,,,,
[x],app.hicloud.com,"49.4.34.28, 121.36.119.11",,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,NOERROR,,,,,,,
