input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,content_type,tls_subject_org_,final_url,tls_self_signed,tls_mismatched,csp_domains_
https://dynamodb.us-east-1.amazonaws.com,,200,42,dynamodb.us-east-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=dynamodb.us-east-1.amazonaws.com,dynamodb.us-east-1.amazonaws.com,*.ddb.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,433891d3224574c24c921f127b2b6176,55ad0ecc6e3ef13aa36ee58a8318bb10578cea3569c68952335507f7136eb00c,ctls,dynamodb.us-east-1.amazonaws.com,,443,https://dynamodb.us-east-1.amazonaws.com:443,https,Server,GET,52.119.228.162,/,-117403857,52.119.228.162,,1,False,,True,text/plain,,,,,
https://events.launchdarkly.com,,401,,events.launchdarkly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-09-16T23:59:59Z,CN=events.launchdarkly.com,events.launchdarkly.com,mobile.launchdarkly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0b7e0df8fb8fc574fb26b61bbfb61dd6,5e2fd6614191a944efda7250734dbfadc48b091c7fbbe9cfb0d8a95362dea2ef,ctls,events.launchdarkly.com,,443,https://events.launchdarkly.com:443,https,,GET,34.198.76.125,/,-1840324437,23.22.56.62,HSTS,1,False,,,application/json,,,,,
https://fastly-staging.tilestream.net,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,fastly-staging.tilestream.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=fastly-staging.tilestream.net,fastly-staging.tilestream.net,fastly-staging.tilestream.net,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,c1b51d058868ecedaea1d079e3a03514,1f330de0702c022da488e89c4b8a54f19b107a10c74b7d964a74749c1f5ad486,ctls,fastly-staging.tilestream.net,fastly,443,https://fastly-staging.tilestream.net:443,https,,GET,151.101.2.217,/,2140160603,151.101.194.217,Webflow,2201,False,True,,text/html,,,,,http://*.webflow.com
https://gtrk.s3.amazonaws.com,,403,243,gtrk.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,gtrk.s3.amazonaws.com,,443,https://gtrk.s3.amazonaws.com:443,https,AmazonS3,GET,52.92.192.177,/,520655779,52.92.248.113,Amazon Web Services,2,False,,True,application/xml,,,,,
https://i2.wp.com/www.mapbox.com/*,,400,37,i2.wp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-14T00:00:00Z,2023-12-15T23:59:59Z,CN=*.wp.com,*.wp.com,wp.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,4775b24db1a893d4f4d315cd85f88b72,89d47737cdf3be58bd98d70d7dc9bd5dc1cb4f94c0df1f13be1f84371015ee37,ctls,i2.wp.com,,443,https://i2.wp.com:443/www.mapbox.com/,https,nginx,GET,192.0.77.2,/www.mapbox.com/,-178729288,192.0.77.2,Nginx,1,False,,True,text/html,,,,,
https://ib.adnxs.com,,404,,ib.adnxs.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.adnxs.com, O=Xandr Inc., L=New York, ST=New York, C=US",*.adnxs.com,adnxs.com,"CN=GeoTrust ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust ECC CA 2018,DigiCert Inc,ff4755a60dbee0f07f67cedc8c272005,2337bd5ee4be3f42822efc81a3c918daff82a7d8c23731be9035faf9cc40fa2e,ctls,ib.adnxs.com,,443,https://ib.adnxs.com:443,https,nginx/1.21.3,GET,37.252.171.52,/,-1840324437,37.252.171.84,Nginx:1.21.3,1,False,,True,text/html,Xandr Inc.,,,,
https://idsync.rlcdn.com,,404,19,idsync.rlcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-03T23:59:59Z,CN=*.rlcdn.com,*.rlcdn.com,rlcdn.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3fc8fa523a85a5bb10ff986aa04b9bd5,8c8ca7a08ef7d057ed7958bd3015c8d4ee06c3b7f1e3ecfb9b70ab0ed214d00f,ctls,idsync.rlcdn.com,google,443,https://idsync.rlcdn.com:443,https,,GET,35.244.174.68,/,-1654464406,35.244.174.68,HTTP/3,2,False,True,True,text/plain,,,,,
https://pixel.rubiconproject.com,,404,,pixel.rubiconproject.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-05T00:00:00Z,2024-04-03T23:59:59Z,"CN=*.rubiconproject.com, O=Magnite\, Inc., L=Los Angeles, ST=California, C=US",*.rubiconproject.com,rubiconproject.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,028b9726d0f993c7475e2eae74d0fb86,19d85b7eed6b7671607f27c694a888728646814bfe110a5828067c04f3948738,ctls,pixel.rubiconproject.com,,443,https://pixel.rubiconproject.com:443,https,,GET,69.173.144.139,/,-1840324437,69.173.144.138,,1,False,,True,,"Magnite, Inc.",,,,
https://player.vimeo.com,Features and Tools | Vimeo,200,139805,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,ctls,vimeo.com,cloudflare,443,https://player.vimeo.com:443,https,cloudflare,GET,162.159.138.60,/,1154390870,162.159.128.61,Varnish,1061,False,True,True,text/html,"Cloudflare, Inc.",https://vimeo.com/features,,,https:
https://s.adroll.com,,403,243,s.adroll.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-01T23:59:59Z,CN=s.adroll.com,s.adroll.com,s.adroll.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0ad9280dbc71d1b5f196848d1bad00b0,a5de50839470f70c8a7c3ef5ebdd70cdb98044d8817c870afce7b5b185e2eada,ctls,s.adroll.com,cloudfront,443,https://s.adroll.com:443,https,AmazonS3,GET,18.66.147.101,/,1151358500,2600:9000:225e:9400:6:9280:1080:93a1,Amazon Web Services,2,False,True,,application/xml,,,,,
