new,host,soa,txt,status_code,ns,a,aaaa,has_internal_ips,internal_ips,cdn,cdn-name,mx,cname,caa
,contact.mapbox.com,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,NOERROR,,"44.229.61.123, 54.69.225.157, 52.89.74.32",,,,,,,"mapbox.outrch.com, 03da7598-df62-4a8c-980a-0d8958e1242a.outrch.com, app1c.outrch.com",letsencrypt.org
,covid19-india.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net","108.138.17.99, 108.138.17.24, 108.138.17.78, 108.138.17.25",,,,True,cloudfront,,,
,d.api.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,,,,,,
,d.tiles.mapbox.com,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,13.224.191.114,,,,True,cloudfront,,d1vrt33i2pfivz.cloudfront.net,
,debugpreferences-proxydevel-vpn.events.mapbox.com,"fake-for-negative-caching.adguard.com, hostmaster.debugpreferences-proxydevel-vpn.events.mapbox.com",,NOERROR,,0.0.0.0,::,True,0.0.0.0,,,,,
,demos.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"18.154.63.103, 18.154.63.123, 18.154.63.46, 18.154.63.5",,,,True,cloudfront,,,
,docs.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"52.222.214.126, 52.222.214.15, 52.222.214.104, 52.222.214.82",,,,True,cloudfront,,,
,e.live.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,email.mapbox.com,"ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",,NOERROR,"ns-150.awsdns-18.com, ns-1891.awsdns-44.co.uk, ns-822.awsdns-38.net, ns-1472.awsdns-56.org","18.66.97.39, 18.66.97.110, 18.66.97.60, 18.66.97.129","2600:9000:223c:dc00:6:3283:2780:93a1, 2600:9000:223c:9c00:6:3283:2780:93a1, 2600:9000:223c:6e00:6:3283:2780:93a1, 2600:9000:223c:3800:6:3283:2780:93a1, 2600:9000:223c:1000:6:3283:2780:93a1, 2600:9000:223c:2000:6:3283:2780:93a1, 2600:9000:223c:8400:6:3283:2780:93a1, 2600:9000:223c:0:6:3283:2780:93a1",,,True,cloudfront,,d2lpixbthg0qzi.cloudfront.net,
,eu-west-1.sites.mapbox.com,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",,NOERROR,,"54.154.122.47, 52.210.146.123, 18.202.190.153",,,,,,,,
,events.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",swb44h4dbzcbb8mmrzmtn3vj608z4fwt,NOERROR,,"54.229.162.177, 52.49.157.120, 99.80.85.235",,,,,,,,
,fleet.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"143.204.89.64, 143.204.89.8, 143.204.89.117, 143.204.89.119",,,,True,cloudfront,,,
,go.mapbox.com,"bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"104.17.73.206, 104.17.72.206, 104.17.71.206, 104.17.74.206, 104.17.70.206",,,,True,cloudflare,,"mapbox.mktoweb.com, ab22.mktossl.com",
,hello.mapbox.com,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,NOERROR,,"54.69.225.157, 52.89.74.32, 44.229.61.123",,,,,,,"03da7598-df62-4a8c-980a-0d8958e1242a.outrch.com, app1c.outrch.com",letsencrypt.org
,helpscout-production.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,hey.mapbox.com,"ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,"ns-167.awsdns-20.com, ns-1739.awsdns-25.co.uk, ns-1437.awsdns-51.org, ns-690.awsdns-22.net","18.202.190.153, 52.210.146.123, 54.154.122.47",,,,,,,,
,internal.mapbox.com,"ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com",,NOERROR,"ns-1597.awsdns-07.co.uk, ns-7.awsdns-00.com, ns-809.awsdns-37.net, ns-1336.awsdns-39.org",,,,,,,,,
,jp.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,locate.mapbox.com,"justin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"104.18.120.155, 104.18.119.155, 104.18.117.155, 104.18.116.155, 104.18.118.155","2606:4700::6812:779b, 2606:4700::6812:749b, 2606:4700::6812:789b, 2606:4700::6812:769b, 2606:4700::6812:759b",,,True,cloudflare,,sites.cloudcannon.com,
,m-tmatma.events.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net","151.101.0.143, 151.101.128.143, 151.101.192.143, 151.101.64.143",,,,True,fastly,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com",,
,osmcha.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"52.71.81.65, 54.84.181.223",,,,,,,,
,platform-docs-feedback-staging.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"34.234.209.228, 34.197.81.16, 52.73.226.143",,,,,,,,
,platform-okta.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,platform-staging.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,platform.mapbox.com,"ns-448.awsdns-56.com, awsdns-hostmaster.amazon.com",,NOERROR,"ns-1436.awsdns-51.org, ns-1880.awsdns-43.co.uk, ns-448.awsdns-56.com, ns-549.awsdns-04.net","54.145.199.194, 18.211.14.133, 34.206.112.61, 52.5.169.80",,,,,,,,
,pong.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
,production.bob-the-builder.mapbox.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,"54.164.243.222, 18.232.228.72, 23.21.178.122",,,,,,,d-3uulcqwdq6.execute-api.us-east-1.amazonaws.com,
,restricted.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
,sites.mapbox.com,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",,NOERROR,"ns-591.awsdns-09.net, ns-1964.awsdns-53.co.uk, ns-47.awsdns-05.com, ns-1371.awsdns-43.org","54.145.199.194, 34.206.112.61, 18.211.14.133, 52.5.169.80, 205.251.192.47, 205.251.194.79, 205.251.197.91, 205.251.199.172",,,,,,,,
