new,host,a,soa,status_code,aaaa,txt,cname,mx,ns,cdn,cdn-name
[x],s5.nextcloud.com,95.216.247.163,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::2,,,,,,
[x],s6.nextcloud.com,95.217.44.166,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::2,,,,,,
[x],s7.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],s8.nextcloud.com,135.181.115.41,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:1b1f::2,,,,,,
[x],scan.nextcloud.com,95.217.53.149,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::149,,,,,,
[x],sentry.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::148,,,,,,
[x],sermo.nextcloud.com,95.217.64.180,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::180,,,,,,
[x],services.nextcloud.com,135.181.142.32,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:3a:161f::2,,,,,,
[x],staging.cloud.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],staging.collabora.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],staging.nextcloud.com,95.217.53.148,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::148,,,,,,
[x],staging.push.cloud.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],stalebot.bots.nextcloud.com,176.9.217.58,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],static.apps.nextcloud.com,54.144.128.85,,NOERROR,,,,,,,
[x],stats2.nextcloud.com,88.198.160.129,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],stun.nextcloud.com,159.69.191.124,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:c17:8f74::1,,,,,,
[x],surveyserver.nextcloud.com,176.9.217.55,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::55,,,,,,
[x],talk.nebula.nextcloud.com,95.217.64.179,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::179,,,,,,
[x],tech-preview.nextcloud.com,95.217.64.177,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],transifex-sync.nextcloud.com,95.217.53.152,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::152,,,,,,
[x],turn.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],updates.nextcloud.com,95.217.64.181,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::181,v=spf1 -all,,,,,
[x],usercontent.apps.nextcloud.com,95.217.64.181,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::181,,,,,,
[x],whiteboard.tech-preview.nextcloud.com,95.217.64.177,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],www.nextcloud.com,95.217.53.155,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::155,,,,,,
[x],xmpp.nextcloud.com,88.198.160.138,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
