new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx
,delivery.hello.ovo.id,34.117.197.73,"ns11.constellix.com, dns.constellix.com",NOERROR,lnk.pepipost.net,True,google,,,,,"mailru-verification: 0849f61424c0e3d1, _globalsign-domain-verification=NYR_u6XJobjrCWnD4RgHfIeDZ18s2Q5xtsUiLbQqPF, v=spf1 exists:%{ir}._spf.netcorecloud.net -all",envmx.pepipost.net
,dev-admin.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,dev-lender.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,dev-vcc.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,dev.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,developer.taralite.com,173.194.73.128,"ns1.google.com, dns-admin.google.com",NOERROR,c.storage.googleapis.com,,,2a00:1450:4010:c05::80,,,,,
,digisign.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,dnstest.cp1.ovo.id,"18.66.147.89, 18.66.147.5, 18.66.147.16, 18.66.147.18","ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,dggiw32ky11z1.cloudfront.net,True,cloudfront,"2600:9000:225e:1e00:11:4f74:8f40:93a1, 2600:9000:225e:2400:11:4f74:8f40:93a1, 2600:9000:225e:8200:11:4f74:8f40:93a1, 2600:9000:225e:d600:11:4f74:8f40:93a1, 2600:9000:225e:6e00:11:4f74:8f40:93a1, 2600:9000:225e:7e00:11:4f74:8f40:93a1, 2600:9000:225e:ea00:11:4f74:8f40:93a1, 2600:9000:225e:a00:11:4f74:8f40:93a1","ns-1065.awsdns-05.org, ns-1949.awsdns-51.co.uk, ns-312.awsdns-39.com, ns-617.awsdns-13.net",,,,
,esb-spring.ovo.id,10.40.192.34,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.40.192.34,,
,esb.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,esb.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,finserve.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,finserve.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,foreman.ovo.id,139.255.74.200,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,funding.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,gateway.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,go.ovo.id,"54.169.255.19, 18.136.136.201","ns-1300.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1300.awsdns-34.org, ns-1824.awsdns-36.co.uk, ns-816.awsdns-38.net, ns-261.awsdns-32.com",,,,
,grafana.aws.ovo.id,"18.66.122.101, 18.66.122.50, 18.66.122.51, 18.66.122.60","ns-148.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,dlgbvygjs6ed3.cloudfront.net,True,cloudfront,"2600:9000:2250:200:16:9b35:8dc0:93a1, 2600:9000:2250:9400:16:9b35:8dc0:93a1, 2600:9000:2250:4800:16:9b35:8dc0:93a1, 2600:9000:2250:5a00:16:9b35:8dc0:93a1, 2600:9000:2250:6e00:16:9b35:8dc0:93a1, 2600:9000:2250:be00:16:9b35:8dc0:93a1, 2600:9000:2250:9000:16:9b35:8dc0:93a1, 2600:9000:2250:7800:16:9b35:8dc0:93a1","ns-148.awsdns-18.com, ns-888.awsdns-47.net, ns-1890.awsdns-44.co.uk, ns-1407.awsdns-47.org",,,,
,grafana.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,graylog.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,,,
,gtnvpn10.ovo.id,172.65.208.240,"brenda.ns.cloudflare.com, dns.cloudflare.com, ns1.cloudflare.net",NOERROR,"gtnvpn10.ovo.id.cdn.cloudflare.net, 02b3e1202c254e2aaebe7796e8c213f8.pacloudflare.com",True,cloudflare,,,,,,
,gtnvpn21.ovo.id,172.65.202.209,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"gtnvpn21.ovo.id.cdn.cloudflare.net, 881382c286434b558bf530b348de4205.pacloudflare.com",True,cloudflare,,,,,,
,gtnvpn22.ovo.id,172.65.242.53,"brenda.ns.cloudflare.com, dns.cloudflare.com, ns1.cloudflare.net",NOERROR,"gtnvpn22.ovo.id.cdn.cloudflare.net, deffacd77a714a01a976072f9b3a5461.pacloudflare.com",True,cloudflare,,,,,,
,helpcenter.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,helpcenter.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,hermes.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,homepage-dududev.ovo.id,13.213.133.38,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,images-loyalty.ovo.id,"99.84.108.112, 99.84.108.38, 99.84.108.70, 99.84.108.126, 205.251.192.33, 205.251.194.76, 205.251.196.181, 205.251.198.243","ns-1205.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,d156daaijepnof.cloudfront.net,True,cloudfront,"2600:9000:20e2:7400:7:3b7:87c0:93a1, 2600:9000:20e2:9400:7:3b7:87c0:93a1, 2600:9000:20e2:5000:7:3b7:87c0:93a1, 2600:9000:20e2:5e00:7:3b7:87c0:93a1, 2600:9000:20e2:e000:7:3b7:87c0:93a1, 2600:9000:20e2:ca00:7:3b7:87c0:93a1, 2600:9000:20e2:9000:7:3b7:87c0:93a1, 2600:9000:20e2:6000:7:3b7:87c0:93a1","ns-588.awsdns-09.net, ns-1205.awsdns-22.org, ns-1779.awsdns-30.co.uk, ns-33.awsdns-04.com",,,,
,images.ovo.id,"52.222.236.20, 52.222.236.43, 52.222.236.91, 52.222.236.93","ns-1802.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d2hy1qbywvmq47.cloudfront.net,True,cloudfront,"2600:9000:223e:2a00:11:e283:2dc0:93a1, 2600:9000:223e:4800:11:e283:2dc0:93a1, 2600:9000:223e:5c00:11:e283:2dc0:93a1, 2600:9000:223e:8800:11:e283:2dc0:93a1, 2600:9000:223e:a600:11:e283:2dc0:93a1, 2600:9000:223e:d600:11:e283:2dc0:93a1, 2600:9000:223e:1200:11:e283:2dc0:93a1, 2600:9000:223e:2800:11:e283:2dc0:93a1","ns-467.awsdns-58.com, ns-1011.awsdns-62.net, ns-1385.awsdns-45.org, ns-1802.awsdns-33.co.uk",,,,
,insurance.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,insurance.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,insurance.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,investment.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,investment.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,jenkins.taralite.com,149.129.242.210,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,kafka.taralite.com,149.129.217.29,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,kb.ovo.id,139.255.74.210,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,,,
,kibana.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,kibana.taralite.com,172.31.235.221,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,172.31.235.221,,
,kibana01.ovo.id,"10.46.6.59, 10.46.7.124","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,internal-kibana02-ovo-id-67241393.ap-southeast-1.elb.amazonaws.com,,,,,True,"10.46.6.59, 10.46.7.124",,
,lender-api.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,lending.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,link.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,link.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,logs.dev.taralite.com,149.129.249.163,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mail238.hello.ovo.id,202.162.239.238,"ns-1946.awsdns-51.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
