input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,tls_expired
apigw01.aws.ovo.id,"OVO | Join the rOVOlution in Payment, Points & Priority!",200,28401,www.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,www.ovo.id,cloudflare,443,https://apigw01.aws.ovo.id:443,https,cloudflare,text/html,GET,104.18.43.236,/,-723800446,2606:4700:4400::ac40:9014,ZURB Foundation,574,False,True,,https://www.ovo.id,
application.taralite.com,,521,,application.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.taralite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2c6c74ab20f4c38802577e6e1dd0576d,bb7dea28aa83b98d08b1d7060a9589ac2b8662e82a277273474452e4131ccd6e,True,ctls,application.taralite.com,cloudflare,443,https://application.taralite.com:443,https,cloudflare,,GET,104.18.42.151,/,-1840324437,2606:4700:4400::ac40:9169,Cloudflare,1,False,True,,,
atlantis.taralite.com,,403,16,atlantis.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.taralite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2c6c74ab20f4c38802577e6e1dd0576d,bb7dea28aa83b98d08b1d7060a9589ac2b8662e82a277273474452e4131ccd6e,True,ctls,atlantis.taralite.com,cloudflare,443,https://atlantis.taralite.com:443,https,cloudflare,text/plain,GET,172.64.145.105,/,1253481126,2606:4700:4400::ac40:9169,Cloudflare,1,False,True,,,
auth.dev.taralite.com,,521,,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://auth.dev.taralite.com:80,http,cloudflare,,GET,172.64.145.105,/,-1840324437,2606:4700:4400::ac40:9169,Cloudflare,1,False,True,,,
billpay.ovo.id,,403,243,billpay.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,billpay.ovo.id,cloudfront,443,https://billpay.ovo.id:443,https,AmazonS3,application/xml,GET,143.204.215.69,/,-1981735908,143.204.215.111,Amazon Web Services,2,False,True,,,
business.ovo.id,OVO for Business,200,7986,business.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,business.ovo.id,cloudflare,443,https://business.ovo.id:443,https,cloudflare,text/html,GET,104.17.58.20,/,366328891,2606:4700::6811:3914,jQuery,283,False,True,,https://business.ovo.id/index.html;jsessionid=B9B198F127A54088C2E9986782DA6F1D,
cb.ovo.id,OVO,200,651,cb.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,cb.ovo.id,cloudflare,443,https://cb.ovo.id:443,https,cloudflare,text/html,GET,104.17.57.20,/,750547019,2606:4700::6811:3a14,Google Cloud Storage,1,False,True,,,
cdn01.ovo.id,The page you were looking for doesn't exist (404),404,1722,cdn01.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,cdn01.ovo.id,cloudfront,443,https://cdn01.ovo.id:443,https,,text/html,GET,18.66.147.82,/,-1840324437,2600:9000:225e:fe00:c:90c8:4ac0:93a1,Amazon Web Services,68,False,True,,,
commander.ovo.id,,400,39,commander.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,commander.ovo.id,cloudflare,443,https://commander.ovo.id:443,https,cloudflare,application/json,GET,104.17.57.20,/,2119343310,2606:4700::6811:3a14,Cloudflare,1,False,True,,,
cybvpn20.ovo.id,,200,315,cybvpn20.ovo.id,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,cybvpn20.ovo.id,cloudflare,443,https://cybvpn20.ovo.id:443,https,,text/html,GET,172.65.207.41,/,1878261793,172.65.207.41,HSTS,9,False,True,,,
