new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
,matrixl-pri-azams.alb.xiaomi.com,20.47.115.118,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,max.ad.xiaomi.com,"183.84.7.187, 120.133.33.137, 124.251.34.42, 183.84.7.4",,extranet-alllines-pub-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mazu.sec.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mb-milink.market.xiaomi.com,"65.0.142.55, 13.234.6.142",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,mb.milink.g.mi.com,"3.6.74.43, 3.7.163.51",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mcc-intl.inf.miui.com,"8.214.88.90, 8.219.219.212, 8.219.228.95, 8.214.39.79",,extranet-ipv4-pub-alisgp.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns4.dnsv5.com, ns3.dnsv5.com",,,,
,mcc.intl.inf.miui.com,"8.219.246.161, 8.219.247.27, 47.241.97.200",,matrix-pri-alisgp.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns4.dnsv5.com, ns3.dnsv5.com",,,,
,mcc.russia.inf.miui.com,"107.155.51.204, 107.155.53.1",,matrix-pri-ksmos-epc.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mdc.mi.com,"3.127.227.23, 18.194.222.150",,"mdc.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com, aws-fr-sec-midun-nlb-8db12722d067e399.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,me.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,medial7.pandora.xiaomi.com,"183.84.5.15, 120.92.65.93, 124.251.101.50",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,metok.sys.miui.com,124.251.100.14,,bigdata-lbs-pri-c3.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
