input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,lines,webserver,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
5-c3.mishop.bgp.neo.xiaomi.com,,,21,5-c3.mishop.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T09:55:34Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mishop.bgp.neo.xiaomi.com,443,https://5-c3.mishop.bgp.neo.xiaomi.com:443,https,text/html,GET,58.83.177.131,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mishop.ctc.neo.xiaomi.com,,,21,5-c3.mishop.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T09:55:34Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mishop.ctc.neo.xiaomi.com,443,https://5-c3.mishop.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.201,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.misite.bgp.neo.xiaomi.com,,,21,5-c3.misite.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:22:42Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.misite.bgp.neo.xiaomi.com,443,https://5-c3.misite.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.233,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mixms.bgp.neo.xiaomi.com,,,21,5-c3.mixms.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T10:06:52Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mixms.bgp.neo.xiaomi.com,443,https://5-c3.mixms.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.236,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.sales.bgp.neo.xiaomi.com,,,21,5-c3.sales.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-11T03:53:48Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.sales.bgp.neo.xiaomi.com,443,https://5-c3.sales.bgp.neo.xiaomi.com:443,https,text/html,GET,120.133.33.16,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.sales.ctc.neo.xiaomi.com,,,21,5-c3.sales.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T08:37:01Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.sales.ctc.neo.xiaomi.com,443,https://5-c3.sales.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.197,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.snsdev.bgp.neo.xiaomi.com,,,21,5-c3.snsdev.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-06T02:07:38Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.snsdev.bgp.neo.xiaomi.com,443,https://5-c3.snsdev.bgp.neo.xiaomi.com:443,https,text/html,GET,120.133.33.73,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.snsdev.ctc.neo.xiaomi.com,,,21,5-c3.snsdev.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-06T02:07:38Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.snsdev.ctc.neo.xiaomi.com,443,https://5-c3.snsdev.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.232,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.xmstore.bgp.neo.xiaomi.com,,,21,5-c3.xmstore.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-27T11:41:36Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.xmstore.bgp.neo.xiaomi.com,443,https://5-c3.xmstore.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.28,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.xmstore.ctc.neo.xiaomi.com,,,21,5-c3.xmstore.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T09:55:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.xmstore.ctc.neo.xiaomi.com,443,https://5-c3.xmstore.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.208,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
