new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips
[x],enginsoft.my.onetrust.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],enrollment.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],enterpriseenrollment.onetrust.com,20.91.147.72,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,,,
[x],eo.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],epartsservices-privacy.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],epartsservices.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],epharma-privacy.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ethics.my.onetrust.com,"172.64.144.98, 104.18.43.158",,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ethics.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],eur.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],evertonfc-privacy.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],evertonfc.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],everytable-privacy.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
