new,host,a,cname,soa,status_code,ns,aaaa,has_internal_ips,internal_ips,cdn,cdn-name,caa,txt
[x],uploads-accessastridkhairina.pr.topechelon.com,"3.213.127.70, 54.88.68.203, 23.22.98.227, 35.173.62.202",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],uploadsecure.pr.topechelon.com,"54.88.68.203, 3.213.127.70, 35.173.62.202, 23.22.98.227",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],userdevusers-cache-clients-stats-corp.pr.topechelon.com,"3.213.127.70, 23.22.98.227, 35.173.62.202, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],usersaccess-downloadsbeta-clients-git.pr.topechelon.com,"35.173.62.202, 3.213.127.70, 54.88.68.203, 23.22.98.227",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],userslave-config.pr.topechelon.com,"35.173.62.202, 23.22.98.227, 3.213.127.70, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],usersresearchbackups.pr.topechelon.com,"35.173.62.202, 23.22.98.227, 54.88.68.203, 3.213.127.70",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],uss10zmtaibw1.pr.topechelon.com,"54.88.68.203, 3.213.127.70, 23.22.98.227, 35.173.62.202",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],uversecentral2a.pr.topechelon.com,"35.173.62.202, 3.213.127.70, 23.22.98.227, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v1-api-prodapps-b2bsystem.pr.topechelon.com,"3.213.127.70, 23.22.98.227, 35.173.62.202, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v1-errorredirect-archive.pr.topechelon.com,"23.22.98.227, 35.173.62.202, 3.213.127.70, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v1-tracking.pr.topechelon.com,"35.173.62.202, 54.88.68.203, 23.22.98.227, 3.213.127.70",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v1alpharemote.pr.topechelon.com,"23.22.98.227, 3.213.127.70, 35.173.62.202, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v4-remote-sso-miembros.pr.topechelon.com,"35.173.62.202, 54.88.68.203, 3.213.127.70, 23.22.98.227",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],v4root-mediaconfig-helpdesk.pr.topechelon.com,"54.88.68.203, 23.22.98.227, 35.173.62.202, 3.213.127.70",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
