new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],gam.fitbit.com,"104.16.66.50, 104.16.65.50",gam.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],gcp02-nf-01.corp.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,jmkdpmmd4fqv4v5m970jnl17d3cwwj8y,,,,
[x],gcs-assets.fitbit.com,"104.16.65.50, 104.16.66.50",gcs-assets.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],globalvpn.corp.fitbit.com,45.126.246.104,sac0101-nf-03.ftbt.aads1.net,"nsb1.aads1.net, hostmaster.corp.aryaka.com",NOERROR,,,,,,,,,
[x],google2fitbit.site-ops.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],gradle-enterprise-devel-gcp.site-ops.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],gsemail.fitbit.com,,u2688900.wl151.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:198.37.159.181 -all,mx.sendgrid.net,,,
[x],gslink.fitbit.com,"167.89.118.83, 167.89.123.54, 167.89.123.124, 167.89.118.52",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,"ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com","p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","mx.sendgrid.net, mx2.sendgrid.net",,,"amazonaws.com, godaddy.com"
[x],health-admin.fitbit.com,"104.16.65.50, 104.16.66.50",health-admin.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],healthsolutions.fitbit.com,"141.193.213.10, 141.193.213.11",wp.wpenginepowered.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],healthypet.fitbit.com,"151.101.1.195, 151.101.65.195",,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,fastly,,,,,,,
[x],help.fitbit.com,,d16bxpzqcbkvkc.cloudfront.net,"ns-19.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],hms-static.fitbit.com,"104.16.66.50, 104.16.65.50",hms-static.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
