new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name
[x],0-checkpoint.thomsonreuters.com.com-okta-olinkserver.kinepolis.fr,"23.55.163.5, 23.55.163.8","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a1-67.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805",,
[x],0-checkpoint.thomsonreuters.com.olinkserver.kinepolis.fr,"95.101.54.211, 95.101.54.114","2a02:26f0:780::5f65:36d3, 2a02:26f0:780::5f65:3672",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a13-66.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805",,
[x],0-customimages.webofknowledge.com.biblio.kinepolis.fr,"95.101.74.200, 95.101.74.196","2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a5-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-customimages17-secure.okta.com.employee-specialsurvey.kinepolis.ch,"104.126.119.106, 104.126.119.91, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67","2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net, a24-67.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
[x],0-customimages4-okta.com.employee-specialsurvey.kinepolis.ch,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
[x],0-d194ekacf8mn8t.17.okta.com.employee-specialsurvey3.kinepolis.ch,"23.76.204.145, 23.76.204.149","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
[x],0-d194ekacf8mn8t.cloudfront.net-github-okta.skyline.kinepolis.fr,"184.24.77.31, 184.24.77.27","2a02:26f0:6c00::210:ba09, 2a02:26f0:6c00::210:ba11",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a13-66.akam.net, a1-67.akam.net, a5-66.akam.net","MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-d194ekacf8mn8t.cloudfront.net.skyline.kinepolis.fr,"184.25.50.176, 184.25.50.136","2a02:26f0:64::210:6a98, 2a02:26f0:64::210:6a9b",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all",,
[x],0-global.mjrtheatres.com,,,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,
[x],0-journalarchives.jisc.ac.uk-4-okta.pugwash.lib.kinepolis.fr,"88.221.132.193, 88.221.132.82","2a02:26f0:4600::213:cd1a, 2a02:26f0:4600::213:cce9",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a1-67.akam.net, a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a13-66.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-journalarchives.jiscgithub-okta.ac.uk.pugwash.lib.kinepolis.fr,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-journalarchives.okta.com.employee-specialsurvey.kinepolis.ch,"2.19.198.178, 2.19.198.170","2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a5-66.akam.net, a1-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
[x],0-login.15-okta.thomsonreuters.com.wncln.kinepolis.fr,"2.16.238.24, 2.16.238.23","2a02:26f0:480:3::210:ee8d, 2a02:26f0:480:3::210:ee94",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a24-67.akam.net, a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a13-66.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
[x],0-login.4-okta.com.employee-specialsurvey.kinepolis.ch,"23.55.163.8, 23.55.163.5","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all",,
[x],0-login.incites.4-okta.com.wncln.kinepolis.fr,"95.101.54.114, 95.101.54.211","2a02:26f0:780::210:ca3b, 2a02:26f0:780::5f65:36e8",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a4-67.akam.net, a5-66.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-login.incites.thomsonreuters.com.com-okta.kinepolis.fr,"185.225.250.26, 185.225.250.74, 193.108.91.67, 72.246.46.67, 23.211.133.66, 2.22.230.66","2a02:26f0:a600::b9e1:fa4a, 2a02:26f0:a600::b9e1:fa1a, 2600:1401:2::43, 2600:1401:1::42",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-login.incites.thomsonreuters.com.wncln.kinepolis.fr,"184.24.77.207, 184.24.77.189","2a02:26f0:480:3::210:ee8d, 2a02:26f0:480:3::210:ee94",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net, a13-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-login.incitgithub-okta.thomsonreuters.com.wncln.kinepolis.fr,"23.77.197.10, 23.77.197.40","2a02:26f0:9100:15::6010:7a91, 2a02:26f0:9100:15::6010:7a98",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a24-67.akam.net, a13-66.akam.net, a4-67.akam.net, a6-66.akam.net, a1-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805",,
[x],0-login.okta.com.employee-specialsurvey.kinepolis.ch,"95.101.74.200, 95.101.74.196","2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a6-66.akam.net, a1-67.akam.net","v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
[x],0-login.okta.comwww5-6.employee-specialsurvey.kinepolis.ch,"104.126.119.106, 104.126.119.91, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67","2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a24-67.akam.net, a4-67.akam.net, a6-66.akam.net, a1-67.akam.net, a5-66.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
[x],0-ulrichsweb-15-okta.serialssolutions.com.iii-server.kinepolis.fr,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-ulrichsweb.15-okta.com.libraries.kinepolis.fr,"23.76.204.145, 23.76.204.149","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a24-67.akam.net, a5-66.akam.net, a6-66.akam.net, a1-67.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-ulrichsweb.17-secure.okta.com.employee-specialsurvey.kinepolis.ch,"2.16.241.5, 2.16.241.19","2a02:26f0:3100::1735:2950, 2a02:26f0:3100::1735:296a",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,,"MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
[x],0-ulrichsweb.serialssolutions.co15-okta.libraries.kinepolis.fr,"88.221.132.82, 88.221.132.193","2a02:26f0:4600::213:cce9, 2a02:26f0:4600::213:cd1a",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a6-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
[x],0-ulrichsweb.serialssolutions.com.iii-server.kinepolis.fr,"2.16.186.9, 2.16.186.17","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-ulrichsweb.serialssolutions.com.libraries.kinepolis.fr,"2.19.198.178, 2.19.198.170","2a02:26f0:64::210:6b89, 2a02:26f0:64::210:6bc2",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a13-66.akam.net, a4-67.akam.net, a5-66.akam.net, a24-67.akam.net, a6-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-ulrichswebanalytics-okta-com.serialssolutions.com.libraries.kinepolis.fr,"23.55.163.8, 23.55.163.5","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805",,
[x],0-wcs-15-okta.maskan-com.employee-specialsurvey.kinepolis.ch,"95.101.54.211, 95.101.54.114","2a02:26f0:780::5f65:36d3, 2a02:26f0:780::5f65:3672",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a1-67.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
[x],0-wcs.webofknowledge.cocom-okta.dewey2.library.kinepolis.fr,"2.16.238.23, 2.16.238.24","2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all",,
[x],0-wcs.webofknowledge.com.dewey2.library.kinepolis.fr,"23.77.197.10, 23.77.197.40",,kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,"a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a1-67.akam.net, a5-66.akam.net",,,
[x],0-wcs.webofknowledgeanalytics-okta.com.dewey2.library.kinepolis.fr,"95.101.74.200, 95.101.74.196","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a5-66.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all",,
[x],0-wellcomelibrary.on.worldcat-okta.org.catalogue.kinepolis.fr,"104.126.119.91, 104.126.119.106, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67","2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a24-67.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-wellcomelibrary.on.worldcat.org-analytics-okta.catalogue.kinepolis.fr,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
