input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_
fremont-23-7.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-23-7.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.28,Nginx,21,,
fremont-23-8.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-23-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.92,Nginx,21,,
fremont-23-9.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-23-9.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.68,Nginx,21,,
fremont-23.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-23.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.68,Nginx,21,,
fremont-33-0.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-33-0.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.29.100,Nginx,21,,
fremont-33-1.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-33-1.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.29.4,Nginx,21,,
fremont-35-5.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-35-5.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.20.20,Nginx,21,,
fremont-35-6.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-35-6.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.20.108,Nginx,21,,
fremont-35-7.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-35-7.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.12,Nginx,21,,
fremont-35-8.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-35-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.28,Nginx,21,,
fremont-35-9.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-35-9.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.20,Nginx,21,,
fremont-staging.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-staging.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.39.4,Nginx,21,,
help.caffeine.tv,Support Home Page,,48122,caffeine.custhelp.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,"CN=*.custhelp.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.custhelp.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,caffeine.custhelp.com,443,https://help.caffeine.tv:443,https,,text/html,GET,18.66.171.71,HSTS,607,True,Oracle Corporation
hls.caffeine.tv,503 Backend is unhealthy,,458,hls.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,hls.caffeine.tv,443,https://hls.caffeine.tv:443,https,Varnish,text/html,GET,151.101.2.49,Varnish,18,True,
