new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,fremont-3-4.rtcdn.caffeine.tv,,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,fremont-32-28.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-33-1.rtcdn.caffeine.tv,173.237.29.4,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-0.rtcdn.caffeine.tv,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-1.rtcdn.caffeine.tv,173.237.19.68,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-2.rtcdn.caffeine.tv,173.237.19.4,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-3.rtcdn.caffeine.tv,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-4.rtcdn.caffeine.tv,173.237.19.36,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-5.rtcdn.caffeine.tv,173.237.20.20,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1515.awsdns-61.org, ns-2007.awsdns-58.co.uk, ns-292.awsdns-36.com, ns-785.awsdns-34.net",
,fremont-35-6.rtcdn.caffeine.tv,173.237.20.108,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-7.rtcdn.caffeine.tv,173.237.19.12,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-8.rtcdn.caffeine.tv,173.237.19.28,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-35-9.rtcdn.caffeine.tv,173.237.19.20,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1515.awsdns-61.org, ns-2007.awsdns-58.co.uk, ns-292.awsdns-36.com, ns-785.awsdns-34.net",
,fremont-35.rtcdn.caffeine.tv,"173.237.19.76, 173.237.19.68, 173.237.19.4, 173.237.19.28, 173.237.20.20, 173.237.19.12, 173.237.19.20, 173.237.19.36, 173.237.20.108",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-37-6.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-5-0.rtcdn.caffeine.tv,52.33.2.145,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-5-26.rtcdn.caffeine.tv,,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,fremont-5-9.rtcdn.caffeine.tv,54.144.128.85,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,fremont-6-15.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-7-13.rtcdn.caffeine.tv,54.144.128.85,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,fremont-8-3.rtcdn.caffeine.tv,54.144.128.85,,,NOERROR,,,,,,,
,fremont-staging.rtcdn.caffeine.tv,"173.237.39.4, 173.237.29.4",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremontv2.rtcdn.caffeine.tv,"173.237.13.12, 173.237.14.204, 173.237.15.12, 173.237.15.236, 173.237.19.92, 173.237.19.100, 173.237.19.116, 173.237.19.132, 173.237.19.140, 173.237.19.148, 173.237.19.220, 173.237.19.244, 173.237.29.28, 173.237.29.44, 173.237.29.172, 173.237.29.252, 173.237.39.36, 173.237.39.44, 173.237.39.60, 173.237.39.68, 173.237.39.92, 173.237.39.100, 173.237.39.108, 173.237.39.124, 173.237.39.140, 173.237.39.148, 173.237.39.164, 173.237.39.188, 173.237.39.196, 173.237.39.212, 173.237.39.236, 173.237.40.164",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremontv3.rtcdn.caffeine.tv,"173.237.39.196, 173.237.40.164, 173.237.39.36, 173.237.39.44, 173.237.39.108, 173.237.39.60, 173.237.19.100, 173.237.19.132, 173.237.19.244, 173.237.19.140, 173.237.39.164, 173.237.39.148, 173.237.39.68, 173.237.39.124, 173.237.39.140, 173.237.29.172, 173.237.15.12, 173.237.39.92, 173.237.19.116, 173.237.39.188, 173.237.29.44, 173.237.39.212, 173.237.29.252, 173.237.19.92, 173.237.29.28, 173.237.19.220, 173.237.13.12, 173.237.15.236, 173.237.14.204, 173.237.19.148, 173.237.39.100, 173.237.39.236",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,help.caffeine.tv,"108.156.60.111, 108.156.60.115, 108.156.60.27, 108.156.60.118",,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2394:800:9:4def:61c0:93a1, 2600:9000:2394:8a00:9:4def:61c0:93a1, 2600:9000:2394:5200:9:4def:61c0:93a1, 2600:9000:2394:6800:9:4def:61c0:93a1, 2600:9000:2394:6600:9:4def:61c0:93a1, 2600:9000:2394:e200:9:4def:61c0:93a1, 2600:9000:2394:6c00:9:4def:61c0:93a1, 2600:9000:2394:2400:9:4def:61c0:93a1",,,,
