new,host,a,aaaa,soa,txt,status_code,cdn,cdn-name,mx,cname,ns,caa
[x],iclass.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-849a32f5874548ba894ad2186875e78a, ca3-bcdf9b65c90d412d968be69999d8da67",NOERROR,True,cloudflare,,,,
[x],iclass2.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],ilabs.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-98e09d6f221d4808a498640bf589acd2, ca3-a2fe7766bed64d76a8933ce7a047ec0b",NOERROR,True,cloudflare,,,,
[x],itgnosis.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],justonesolutionllc.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],madgicx.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],masterclass.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],mct.eccouncil.org,34.222.139.196,2600:1f14:d24:7f00:d8e0:c87b:5b57:aadc,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],mdtechsolutions.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],membership.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],membershipadmin.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
