new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],vatapi.payoneer.com,35.190.33.81,vatapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],vatapi.sandbox.payoneer.com,"108.138.17.64, 108.138.17.51, 108.138.17.88, 108.138.17.128",decxc26gke21z.cloudfront.net,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-50.awsdns-06.com, ns-1520.awsdns-62.org, ns-1896.awsdns-45.co.uk, ns-911.awsdns-49.net",,,,,,
[x],verification.payoneer.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-775.awsdns-32.net, ns-304.awsdns-38.com",,"google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,,,
[x],vmp.sandbox.payoneer.com,34.76.58.197,vmp-sandbox-payoneer-com.payoneerxstg.prod2.reblaze.com,"ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],vpn.payoneer.com,208.127.65.237,payoneer1.gpcloudservice.com,"ns-1840.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,GPaaS-FQDN-for-customer-payoneerresearchanddevelopmentltd-125643003,,,,
[x],webbo.payoneer.com,,,,NOERROR,,,,,,,,,
[x],wiki.payoneer.com,212.150.25.7,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],www.payoneer.com,35.190.33.81,www-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],www1.payoneer.com,35.190.33.81,www1-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],www12.payoneer.com,94.188.139.12,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],www2.payoneer.com,35.190.33.81,www2.payoneer.prod2.reblaze.com,"ns-468.awsdns-58.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],xero.payoneer.com,35.190.33.81,xero-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],zendesk1.payoneer.com,"162.159.138.6, 162.159.128.7",mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,,
[x],zendesk2.payoneer.com,,mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,,,,
[x],zendesk4.payoneer.com,,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,,,,
