new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname,caa
[x],inside.alasco.de,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,"dns1.p05.nsone.net, hostmaster.nsone.net",,,NOERROR,,,alasco-tech.github.io,"digicert.com, letsencrypt.org"
[x],insightvm.alasco.rocks,172.104.135.188,,,,"c1dns1.p81zero.safersoftware.net, c1dns2.p81zero.safersoftware.net, c1dns3.p81zero.safersoftware.net, c1dns6.p81zero.safersoftware.net, c1dns7.p81zero.safersoftware.net, c1dns8.p81zero.safersoftware.net",,NOERROR,,,cj57qbed2r.pzero.perimeter81.com,
[x],internal.alasco.rocks,,,,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],login.alasco.rocks,"104.17.171.55, 104.17.235.88","2606:4700::6811:eb58, 2606:4700::6811:ab37",,"kara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,alasco-staging-cd-oaz4fr13intuikxr.edge.tenants.eu.auth0.com,letsencrypt.org
[x],login.app-pr9061-pcf-4057-mfa.dev.alasco.rocks,,,,,,,NOERROR,,,,
[x],login.dev.alasco.rocks,,2602:fcbc:0:3::11,,,,,NOERROR,,,,
[x],lp.alasco.de,"199.60.103.29, 199.60.103.227","2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,"5181082.group32.sites.hubspot.net, group32.sites.hscoscdn30.net",
[x],maintenance.alasco.de,"172.67.21.239, 104.22.75.141, 104.22.74.141","2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],metabase.internal.alasco.rocks,"35.157.162.54, 18.198.69.176, 18.197.177.228",,,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com","ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,NOERROR,,,metabase-alb-935726812.eu-central-1.elb.amazonaws.com,
[x],o1.n.alasco.de,149.72.79.54,,,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],static-pr9633-ala-4762-budgetle7v.dev.alasco.rocks,,2602:fcbc:0:3::11,,,,,NOERROR,,,,
[x],static-pr9637-hotfix-invitatio3r3u.dev.alasco.rocks,,2602:fcbc:0:3::11,,,,,NOERROR,,,,
[x],static-staging.alasco.rocks,"172.67.69.253, 104.26.5.79, 104.26.4.79","2606:4700:20::681a:44f, 2606:4700:20::681a:54f, 2606:4700:20::ac43:45fd",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],static.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],support.alasco.de,"104.16.53.111, 104.16.51.111",,mail-pod-28.int.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,"pod=28, v=spf1 include:mail.zendesk.com ~all",NOERROR,True,cloudflare,alasco.zendesk.com,
[x],www.alasco.rocks,"104.26.4.79, 104.26.5.79, 172.67.69.253","2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f, 2606:4700:20::681a:54f",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],zendesk1.alasco.de,"162.159.128.7, 162.159.138.6",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail1.zendesk.com,
[x],zendesk2.alasco.de,"162.159.128.7, 162.159.138.6",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail2.zendesk.com,
[x],zendesk3.alasco.de,"162.159.138.6, 162.159.128.7",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail3.zendesk.com,
[x],zendesk4.alasco.de,"162.159.128.7, 162.159.138.6",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail4.zendesk.com,
