new,host,a,aaaa,cname,soa,status_code,txt,ns,cdn,cdn-name,mx,caa
[x],17-121-122-91.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-123-15.zurich.muslimpro.com,142.250.185.243,2a00:1450:4001:813::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-123-21.zurich.muslimpro.com,142.250.186.115,2a00:1450:4001:80e::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-123-51.zurich.muslimpro.com,142.250.185.243,2a00:1450:4001:82a::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-123-7.zurich.muslimpro.com,142.250.186.211,,ghs.googlehosted.com,,NOERROR,,,,,,
[x],17-121-124-23.zurich.muslimpro.com,216.58.212.179,2a00:1450:4001:812::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-124-24.zurich.muslimpro.com,172.217.16.19,2a00:1450:401b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-124-28.zurich.muslimpro.com,142.250.186.51,2a00:1450:4001:82a::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-124-72.zurich.muslimpro.com,142.250.187.115,2a00:1450:400a:802::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-124-91.zurich.muslimpro.com,142.250.186.211,2a00:1450:401b:80d::2013,ghs.googlehosted.com,,NOERROR,,,,,,
[x],17-121-125-14.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-125-19.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-125-58.zurich.muslimpro.com,142.251.41.83,2607:f8b0:400b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-125-77.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c1b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-15.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-17.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-34.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-43.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-63.zurich.muslimpro.com,142.250.185.115,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-69.zurich.muslimpro.com,216.58.212.179,2a00:1450:4001:802::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-126-73.zurich.muslimpro.com,172.217.18.19,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-127-92.zurich.muslimpro.com,74.125.205.121,2a00:1450:4010:c0f::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-121-127-93.zurich.muslimpro.com,64.233.162.121,2a00:1450:4010:c1e::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-100-72.zurich.muslimpro.com,142.250.186.51,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-102-56.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-102-87.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c0b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-103-55.zurich.muslimpro.com,172.253.122.121,2607:f8b0:4004:c09::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-106-95.zurich.muslimpro.com,142.250.185.211,2a00:1450:4001:806::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-97-16.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-97-6.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-97-65.zurich.muslimpro.com,172.217.16.147,2a00:1450:4001:813::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-97-89.zurich.muslimpro.com,142.250.181.243,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-98-86.zurich.muslimpro.com,172.217.16.19,2a00:1450:401b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-98-91.zurich.muslimpro.com,142.250.185.179,2a00:1450:4001:812::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],17-58-99-79.zurich.muslimpro.com,142.250.187.115,2a00:1450:4017:80d::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],2.zurich.muslimpro.com,142.250.186.211,,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],20-courier2.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],25-courier2.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],29.zurich.muslimpro.com,142.251.41.83,2607:f8b0:400b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],2tvizjzldf.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c1b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],351-si1.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],365posters.zurich.muslimpro.com,142.250.185.115,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],37ce.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],39-courier.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],3aee3.zurich.muslimpro.com,142.250.186.83,2a00:1450:4001:828::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],3lewi-45-32.zurich.muslimpro.com,142.250.184.211,2a00:1450:4001:830::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],41-courier.zurich.muslimpro.com,172.217.18.19,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],48.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c1b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],488igt.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:80f::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],602b.zurich.muslimpro.com,142.250.186.83,2a00:1450:4001:82f::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],66-220-157-71.zurich.muslimpro.com,216.58.212.179,2a00:1450:4001:802::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],66-220-157-80.zurich.muslimpro.com,172.217.18.19,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],69-171-244-73.zurich.muslimpro.com,64.233.164.121,2a00:1450:4010:c08::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7-20.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkbf.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c0b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkcl.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkd1.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkd3.zurich.muslimpro.com,172.217.16.211,2a00:1450:4001:80e::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkdd.zurich.muslimpro.com,172.217.16.211,2a00:1450:4001:813::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkdv.zurich.muslimpro.com,172.217.16.19,2a00:1450:401b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkdz.zurich.muslimpro.com,142.250.186.51,2a00:1450:4001:82a::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkf0.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],7wkf6.zurich.muslimpro.com,142.251.41.83,2607:f8b0:400b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],90e1.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],95-40.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],987f.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],9eae.zurich.muslimpro.com,142.250.184.211,2a00:1450:4001:802::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],9f28.zurich.muslimpro.com,172.217.18.19,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-118-10-49.zurich.muslimpro.com,173.194.220.121,2a00:1450:4010:c1e::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-118-31-46.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-118-40-76.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-118-54-51.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-108-70.zurich.muslimpro.com,142.250.186.147,2a00:1450:4001:806::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-15-80.zurich.muslimpro.com,172.217.16.211,2a00:1450:4001:830::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-169-16.zurich.muslimpro.com,172.217.16.19,2a00:1450:401b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-21-42.zurich.muslimpro.com,142.250.186.51,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-38-29.zurich.muslimpro.com,172.217.168.51,,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-41-56.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-96-119-44-99.zurich.muslimpro.com,142.251.41.83,2607:f8b0:400b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a-egle-anls.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a1-1-78-9.zurich.muslimpro.com,142.250.74.211,2a00:1450:4001:806::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a2.zurich.muslimpro.com,142.250.184.243,2a00:1450:4001:831::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a23-0-216-15.zurich.muslimpro.com,216.58.212.147,2a00:1450:4001:830::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a84.zurich.muslimpro.com,209.85.233.121,2a00:1450:4010:c08::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],a99.zurich.muslimpro.com,142.250.186.51,2a00:1450:4001:803::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
[x],aa-dnsbl-cmc-v2.zurich.muslimpro.com,142.251.163.121,2607:f8b0:4004:c0b::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
