input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,webserver,tech_,cdn,final_url,location
login.alasco.rocks,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://login.alasco.rocks:443,https,text/html,GET,104.17.235.88,/,-738705486,2606:4700::6811:eb58,266,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Yoast SEO:20.1,True,https://www.alasco.de/,
lp.alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://lp.alasco.de:443,https,text/html,GET,199.60.103.227,/,-1093120491,2606:2c40::c73c:671d,266,False,"Cloudflare, Inc.",True,,cloudflare,Yoast SEO:20.1,,https://www.alasco.de/,
maintenance.alasco.de,Wartungsarbeiten - Alasco,200,9348,maintenance.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,maintenance.alasco.de,443,https://maintenance.alasco.de:443,https,text/html,GET,104.22.75.141,/,973531386,2606:4700:10::6816:4b8d,120,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
static-staging.alasco.rocks,404 Not Found,404,345,static-staging.alasco.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-27T23:59:59Z,"CN=alasco.rocks, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",alasco.rocks,*.alasco.rocks,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5a7eb36d4d27fd3fa0527b313c8e7e94,aa608d61d0dedfb4e115bd5aea501bddf7c820150e2419f3271ab00b4cf78241,ctls,static-staging.alasco.rocks,443,https://static-staging.alasco.rocks:443,https,text/html,GET,104.26.5.79,/,1387901333,2606:4700:20::681a:54f,15,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
static.alasco.de,404 Not Found,404,345,static.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,static.alasco.de,443,https://static.alasco.de:443,https,text/html,GET,104.22.75.141,/,-2024212642,2606:4700:10::6816:4b8d,15,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
support.alasco.de,Security check,403,7722,support.alasco.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T23:43:03Z,2023-08-02T23:43:02Z,CN=support.alasco.de,support.alasco.de,support.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ae2b6d5c39b77423f279ec92c79358fe,210973e878ea1ec376b23eddefcb4f3e295c77f752ef0542fd74fcb0b4d5e9c5,ctls,support.alasco.de,443,https://support.alasco.de:443,https,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,103,False,,,cloudflare,cloudflare,Cloudflare,True,https://support.alasco.de/hc/de,
www.alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://www.alasco.de:443,https,text/html,GET,172.67.21.239,/,-1840324437,2606:4700:10::6816:4a8d,266,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Yoast SEO:20.1,True,,
zendesk2.alasco.de,,403,16,zendesk2.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,zendesk2.alasco.de,443,https://zendesk2.alasco.de:443,https,text/plain,GET,162.159.128.7,/,,162.159.138.6,1,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
zendesk3.alasco.de,,403,16,zendesk3.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,zendesk3.alasco.de,443,https://zendesk3.alasco.de:443,https,text/plain,GET,162.159.138.6,/,,162.159.128.7,1,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
zendesk4.alasco.de,,403,16,zendesk4.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,zendesk4.alasco.de,443,https://zendesk4.alasco.de:443,https,text/plain,GET,162.159.138.6,/,,162.159.128.7,1,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
