new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips,aaaa
[x],result3-ireland.cdn.magisto.com,"99.86.4.50, 99.86.4.102, 99.86.4.21, 99.86.4.28","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result3.cdn.magisto.com,"13.227.219.43, 13.227.219.115, 13.227.219.79, 13.227.219.4","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result4-frankfurt.cdn.magisto.com,"52.222.139.24, 52.222.139.123, 52.222.139.85, 52.222.139.67","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result4-ireland.cdn.magisto.com,"13.227.219.36, 13.227.219.106, 13.227.219.116, 13.227.219.96","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result4.cdn.magisto.com,"13.227.219.43, 13.227.219.4, 13.227.219.79, 13.227.219.115","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],sandbox.magisto.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],services.magisto.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],source.cdn.magisto.com,"108.157.229.27, 108.157.229.14, 108.157.229.88, 108.157.229.10","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],source.magisto.com,"143.204.215.41, 143.204.215.27, 143.204.215.93, 143.204.215.69","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],source1.cdn.magisto.com,"18.244.102.125, 18.244.102.51, 18.244.102.18, 18.244.102.108","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],source1.magisto.com,"13.224.189.105, 13.224.189.90, 13.224.189.3, 13.224.189.128","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],source3.cdn.magisto.com,"18.66.122.68, 18.66.122.60, 18.66.122.10, 18.66.122.73","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],source3.magisto.com,"13.32.99.57, 13.32.99.68, 13.32.99.78, 13.32.99.120","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],splunk.magisto.com,"18.215.217.56, 54.211.157.132","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],splunktest.magisto.com,"54.85.172.44, 52.70.232.205","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],stage-api.test.magisto.com,"54.86.183.138, 52.5.72.92","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,tfront-stage-lb-1118734890.us-east-1.elb.amazonaws.com,,,,,,,
[x],stage-internal.test.magisto.com,"10.4.10.170, 10.4.10.191","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,internal-tfront-int-stage-lb-927152518.us-east-1.elb.amazonaws.com,,,,,True,"10.4.10.170, 10.4.10.191",
[x],stage.test.magisto.com,"52.5.72.92, 54.86.183.138","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,tfront-stage-lb-1118734890.us-east-1.elb.amazonaws.com,,,,,,,
[x],staging.magisto.com,"3.232.169.65, 52.73.207.97","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],static.magisto.com,"52.222.139.39, 52.222.139.106, 52.222.139.87, 52.222.139.103","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],timeline-new.cdn.magisto.com,"18.155.129.127, 18.155.129.17, 18.155.129.100, 18.155.129.65","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],timeline.cdn.magisto.com,,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],timeline3-new.cdn.magisto.com,"18.67.76.73, 18.67.76.23, 18.67.76.6, 18.67.76.108","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],timeline4-new.cdn.magisto.com,"52.85.242.14, 52.85.242.114, 52.85.242.103, 52.85.242.55","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],timeline4.cdn.magisto.com,"65.9.55.21, 65.9.55.26, 65.9.55.59, 65.9.55.104","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vimeo-b.magisto.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,vimeo-b.magisto.com.cdn.cloudflare.net,,,,,,,
[x],vimeo.magisto.com,"104.18.19.84, 104.18.18.84","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,vimeo.magisto.com.cdn.cloudflare.net,,,,,,,
[x],zendesk2.magisto.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,,,,,,
[x],zendesk3.magisto.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,,,
[x],zendesk4.magisto.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,,,
