new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],autodiscover.ciis.canon.com,,,NOERROR,,,"2603:1036:302:4836::8, 2603:1036:302:4050::8, 2603:1036:302:4157::8, 2603:1036:302:4158::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.cvi.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],autodiscover.domino.ciis.canon.com,"40.99.149.104, 40.99.157.56, 40.99.149.136, 52.97.189.104, 40.99.149.184, 40.99.157.8, 52.97.188.72, 40.99.157.24","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"2603:1026:c0d:6a::8, 2603:1026:c0d:73::8, 2603:1026:c0d:2a::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],avs.mycanon.usa.canon.com,34.102.160.245,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],azsrprd.usa.canon.com,146.184.152.127,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],azsrqa.usa.canon.com,146.184.152.128,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],b2cweb.cusa.canon.com,146.184.161.19,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,usa.canon.com,"svadns4.cusa.canon.com, nydns08.cusa.canon.com, nydns07.cusa.canon.com, svadns3.cusa.canon.com","google-site-verification=Q8F5Ew9HWFO8ZLb-u7oAY6EVuvxcszmLATuYgS3klos, pardot1009522=bec410025fdac3994fc15d8af7968af5a41998c2c50a391b8d595cd97349dcf5",,,,
[x],b2cweb.usa.canon.com,146.184.161.19,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,usa.canon.com,"nydns07.cusa.canon.com, svadns4.cusa.canon.com, svadns3.cusa.canon.com, nydns08.cusa.canon.com","pardot1009522=bec410025fdac3994fc15d8af7968af5a41998c2c50a391b8d595cd97349dcf5, google-site-verification=Q8F5Ew9HWFO8ZLb-u7oAY6EVuvxcszmLATuYgS3klos",,,,
[x],beready.usa.canon.com,166.78.250.193,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],blog.cbps.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
