input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
mylinks.websitebuilder.com,,,,mylinks.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,mylinks.websitebuilder.com,443,https://mylinks.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,1,True
news.websitebuilder.com,Websitebuilder.com,,8703,news.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:24:27Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,news.websitebuilder.com,443,https://news.websitebuilder.com:443,https,UploadServer,text/html,GET,142.250.186.176,HTTP/3,166,
preview.websitebuilder.com,,,,preview.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,preview.websitebuilder.com,443,https://preview.websitebuilder.com:443,https,cloudflare,,GET,104.17.9.84,HSTS,1,True
re-api.websitebuilder.com,,,,re-api.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,re-api.websitebuilder.com,443,https://re-api.websitebuilder.com:443,https,cloudflare,,GET,104.17.8.84,HSTS,1,True
signup.websitebuilder.com,WebsiteBuilder,,5454,app.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app.websitebuilder.com,443,https://signup.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,29,True
st-edit.websitebuilder.com,WebsiteBuilder,,185662,st-edit.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,st-edit.websitebuilder.com,443,https://st-edit.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,4,True
st-onboarding.websitebuilder.com,WebsiteBuilder,,111913,st-onboarding.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,st-onboarding.websitebuilder.com,443,https://st-onboarding.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,10,True
status.websitebuilder.com,Websitebuilder Status - Page Inactive,,31053,websitebuilder.statuspage.io,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-08T00:00:00Z,"CN=*.statuspage.io, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",*.statuspage.io,"Atlassian, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,websitebuilder.statuspage.io,443,https://status.websitebuilder.com:443,https,,text/html,GET,52.215.192.132,HSTS,693,
store-api.websitebuilder.com,Web App - Unavailable,,2242,store-api.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,store-api.websitebuilder.com,443,https://store-api.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,75,True
store.websitebuilder.com,Origin DNS error | store.websitebuilder.com | Cloudflare,,6223,store.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,store.websitebuilder.com,443,https://store.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,Cloudflare,93,True
websitebuilder.com,Cloudflare Captcha Page | Web.com,,255766,www.web.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,CN=*.web.com,*.web.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,www.web.com,443,https://websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,130,True
www-test.websitebuilder.com,,,207,www-test.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www-test.websitebuilder.com,443,https://www-test.websitebuilder.com:443,https,cloudflare,application/xml,GET,104.17.8.84,HSTS,4,True
www.websitebuilder.com,Cloudflare Captcha Page | Web.com,,255609,www.web.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,CN=*.web.com,*.web.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,www.web.com,443,https://www.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,130,True
your.websitebuilder.com,,,,,,,,,,,,,,,,,80,http://your.websitebuilder.com:80,http,Viewer,,GET,23.236.50.90,,1,True
yourapps.websitebuilder.com,WebsiteBuilder,,10568,yourapps.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,yourapps.websitebuilder.com,443,https://yourapps.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,60,True
