input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,tls_subject_org_,csp_domains_
api-staging.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,api-staging.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,api-staging.builds.wealthsimple.com,,443,https://api-staging.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
api.sandbox.wealthsimple.com,,401,155,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.sandbox.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,api.sandbox.wealthsimple.com,cloudflare,443,https://api.sandbox.wealthsimple.com:443,https,cloudflare,application/json,GET,104.18.18.16,/,149904666,104.18.19.16,Cloudflare,1,False,True,,,,
api.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,api.wealthsimple.com,cloudflare,443,https://api.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,924769457,104.18.19.16,Cloudflare,39,False,True,,https://api.wealthsimple.com/app/,,
app.simpletax.ca,SimpleTax / ImpotSimple,403,504691,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,app.simpletax.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T10:07:27Z,2023-06-15T10:07:26Z,CN=simpletax.ca,simpletax.ca,www.simpletax.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3634f711e0cf04e503228999d8b49c3e,d65291e347ddf18af9270b94d10f1a1da7396c2153f9dea91172b815ae3f4cf6,,ctls,app.simpletax.ca,cloudflare,443,https://app.simpletax.ca:443,https,cloudflare,text/html,GET,104.18.29.32,/,1494302000,104.18.28.32,Cloudflare,97,False,True,,,,
app.wealthsimple.com,,404,16,AS16509,AS16509,Unknown,99.80.0.0/15,app.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-08T10:49:05Z,2023-07-07T10:49:04Z,CN=app.wealthsimple.com,app.wealthsimple.com,app.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b7aa7556c7482aacf035fbf85778d2e,9a7359627a38c149a36d7ce0f91fc3b0b1f43fe510672914f103897b304259d8,,ctls,app.wealthsimple.com,,443,https://app.wealthsimple.com:443,https,,text/plain,GET,99.80.227.4,/,786476039,34.246.127.31,,2,False,,,,,
assets-staging.wealthsimple.com,Wealthsimple | Smart investing,200,2423,AS16509,AMAZON-02,US,18.66.132.0/24,assets-staging.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-07T23:59:59Z,CN=assets-staging.wealthsimple.com,assets-staging.wealthsimple.com,assets-staging.wealthsimple.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5e1bef3994fb5c7f044be283b428cea1,7dab22fea658fd0b5fdb468c9a2565ecd545b1cb472617b25125f2b9a571cf01,,ctls,assets-staging.wealthsimple.com,cloudfront,443,https://assets-staging.wealthsimple.com:443,https,AmazonS3,text/html,GET,18.66.122.6,/,913507264,18.66.122.66,Amazon Web Services,39,False,True,,,,
assets.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS16509,AMAZON-02,US,52.222.236.0/23,assets.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-07T23:59:59Z,CN=assets.wealthsimple.com,assets.wealthsimple.com,assets.wealthsimple.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c6759184be6c977652628d5dbfbd95ed,537362e2e0f0b0bbf3ef1a83558cee04dcb9e0c271d711d18f77613cde3b5de0,,ctls,assets.wealthsimple.com,cloudfront,443,https://assets.wealthsimple.com:443,https,AmazonS3,text/html,GET,52.222.236.87,/,199811221,52.222.236.19,Amazon Web Services,39,False,True,,,,
builds.wealthsimple.com,,200,4,AS14618,AMAZON-AES,US,54.167.0.0/17,builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,builds.wealthsimple.com,,443,https://builds.wealthsimple.com:443,https,nginx,application/octet-stream,GET,54.164.107.211,/,-711393818,35.169.89.129,Nginx,1,False,,,,,
clicks.cdn.wealthsimple.com,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,clicks.cdn.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-11T00:00:00Z,2023-07-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,clicks.cdn.wealthsimple.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",84f0991abbc7d53b0a554c9fdabfd0ab,418d1af6a3700a2ed95620f8ff005458af258f6989d17d7d61401ec2fea377aa,,ctls,clicks.cdn.wealthsimple.com,cloudflare,443,https://clicks.cdn.wealthsimple.com:443,https,cloudflare,application/xml,GET,104.18.18.100,/,-1726972282,104.18.19.100,Cloudflare,2,False,True,,,"Cloudflare, Inc.",
clicks.wealthsimple.com,404 Not Found,404,150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,clicks.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,clicks.wealthsimple.com,cloudflare,443,https://clicks.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,-1840324437,104.18.19.16,Cloudflare,8,False,True,,,,
client.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,client.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,client.builds.wealthsimple.com,,443,https://client.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
code.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,code.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,code.builds.wealthsimple.com,,443,https://code.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
code.wealthsimple.com,"Wealthsimple: Investing, Regulated Crypto, Stocks & ETFs",200,101438,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,cloudflare,443,https://code.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,-1840324437,104.18.19.16,webpack,46,False,True,,https://www.wealthsimple.com/en-ca/,,https://my.wealthsimple.com
compliance-documents.cdn.wealthsimple.com,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,compliance-documents.cdn.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-01-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,compliance-documents.cdn.wealthsimple.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d4a767277598da8d94a5d84156860dca,7eff90ef89e00e017fc39622924b50acfff9c4fd9b551f98215b64c0353db671,,ctls,compliance-documents.cdn.wealthsimple.com,cloudflare,443,https://compliance-documents.cdn.wealthsimple.com:443,https,cloudflare,application/xml,GET,104.18.18.100,/,-1287148372,104.18.19.100,Cloudflare,2,False,True,,,"Cloudflare, Inc.",
compute.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,compute.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,compute.builds.wealthsimple.com,,443,https://compute.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
crypto.wealthsimple.com,Wealthsimple: The simple way to buy and sell crypto in Canada,200,143411,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,cloudflare,443,https://crypto.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.19.16,/,-1840324437,104.18.18.16,webpack,13,False,True,,https://www.wealthsimple.com/en-ca/invest/crypto,,https://my.wealthsimple.com
cs-tools-staging.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cs-tools-staging.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,cs-tools-staging.wealthsimple.com,cloudflare,443,https://cs-tools-staging.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,1253481126,104.18.19.16,Cloudflare,1,False,True,,,,
cs-tools.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cs-tools.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,cs-tools.wealthsimple.com,cloudflare,443,https://cs-tools.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,1253481126,104.18.19.16,Cloudflare,1,False,True,,,,
dashboard.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,dashboard.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,dashboard.builds.wealthsimple.com,,443,https://dashboard.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
developer.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,developer.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,developer.builds.wealthsimple.com,,443,https://developer.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
discourse.wealthsimple.com,Wealthsimple - Sign In,200,21290,AS6939,HURRICANE,US,216.66.8.0/22,wealthsimple.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,wealthsimple.okta.com,,443,https://discourse.wealthsimple.com:443,https,nginx,text/html,GET,216.66.8.75,/,-1840324437,2602:fd3f:2:ff02::4b,Nginx,499,False,,,https://wealthsimple.okta.com/oauth2/v1/authorize?client_id=0oa1ld2gz10EmWujb0h8&nonce=1bfd710ad85bc17f43daf880623e1d1e6a3b0eabf71a22ba1016c7b496bc7e42&redirect_uri=https%3A%2F%2Fdiscourse.wealthsimple.com%2Fauth%2Foidc%2Fcallback&response_type=code&scope=openid+email&state=77cd700da4b005959b52f690a48c606279ff65f250084ec7,"Okta, Inc.",fonts.gstatic.com
dites-nous.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dites-nous.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,dites-nous.wealthsimple.com,cloudflare,443,https://dites-nous.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,1253481126,104.18.19.16,Cloudflare,1,False,True,,,,
em-link.wealthsimple.com,404 Not Found,404,564,AS14618,AMAZON-AES,US,34.202.28.0/23,em-link.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-15T10:02:38Z,2023-06-13T10:02:37Z,CN=*.wealthsimple.com,*.wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,61faaea794c9587f612382fb55fd4270,94f4bfa7ff81a32a148c302936ea35c1ca900a3f06f36c6b8aa9adbcc713f15e,True,ctls,em-link.wealthsimple.com,,443,https://em-link.wealthsimple.com:443,https,nginx,text/html,GET,34.196.91.245,/,1506877856,34.231.224.226,Nginx,14,False,,,,,
email-assets.cdn.wealthsimple.com,,403,255,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,email-assets.cdn.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-01-31T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a158b19d97d48339db49af347dfed581,4aa7f89fa2716321954edbcf4b3a8b22214adbf53b92359f19b73e6c17001637,,ctls,email-assets.cdn.wealthsimple.com,cloudflare,443,https://email-assets.cdn.wealthsimple.com:443,https,cloudflare,application/xml,GET,104.18.18.100,/,744964841,104.18.19.100,Cloudflare,2,False,True,,,"Cloudflare, Inc.",
