new,host,a,soa,status_code,cname,aaaa,ns,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
[x],api-stg.semiconductor.samsung.com,"43.200.215.41, 3.38.66.75, 52.79.209.70","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,stg-api-ext-elb-388458213.ap-northeast-2.elb.amazonaws.com,,,,,,,,,
[x],api.cfpd.bdp.samsung.com,,"auth01.sam.ic, ssdomain.samsung.com, auth01.awskr.ic, auth01.nhn.ic, gm.sam.ic",NOERROR,,,,,,,,,,
[x],api.led.samsung.com,88.221.168.51,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"api.led.samsung.com.edgekey.net, e1722.x.akamaiedge.net",,,,,,,,,
[x],api.samsung.com,23.212.206.96,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"api.samsung.com.edgekey.net, aem.samsung.com.akadns.net, e6576.x.akamaiedge.net",,,,,,,,,
[x],api.semiconductor.samsung.com,173.223.112.47,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"api.semiconductor.samsung.com.edgekey.net, e1722.dscx.akamaiedge.net","2a02:26f0:c900:286::6ba, 2a02:26f0:c900:298::6ba",,,,,,,,
[x],api.shop.samsung.com,72.247.69.77,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"api.shop.samsung.com.edgekey.net, e11982.x.akamaiedge.net",,,,,,,,,
[x],apps.samsung.com,163.171.128.27,"ns1.cdngc.net, webmaster.cdngc.net, ns11.cdnetworks.net, dnsadmin.cdnetworks.com",NOERROR,"apps.gw.samsungapps.com, apps.samsung.com.gslb.cdnetworks.net, apps.samsung.com.cdngc.net",,,,,,,,,
[x],ars.samsung.com,210.118.63.158,"auth01.sam.ic, ssdomain.samsung.com, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],as2.sea.samsung.com,206.67.236.27,"ns.sdsamerica.net, postmaster.sea.samsung.com",NOERROR,,,,,,,,,,
[x],assets.ecom.us.samsung.com,"108.138.17.42, 108.138.17.82, 108.138.17.6, 108.138.17.97","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,d2304uuphoko1d.cloudfront.net,"2600:9000:2394:9800:1b:1730:ac40:93a1, 2600:9000:2394:9000:1b:1730:ac40:93a1, 2600:9000:2394:1000:1b:1730:ac40:93a1, 2600:9000:2394:4a00:1b:1730:ac40:93a1, 2600:9000:2394:4c00:1b:1730:ac40:93a1, 2600:9000:2394:b400:1b:1730:ac40:93a1, 2600:9000:2394:a200:1b:1730:ac40:93a1, 2600:9000:2394:3e00:1b:1730:ac40:93a1","ns-1462.awsdns-54.org, ns-1808.awsdns-34.co.uk, ns-487.awsdns-60.com, ns-920.awsdns-51.net",True,cloudfront,,,,,
[x],astsend.samsung.com,,"dns02.cst.ic, ssdomain.samsung.com, auth01.awskr.ic",NOERROR,,,,,,,,,,
[x],au1-fetx-p01.eng.sarc.samsung.com,8.40.240.156,"ns5.dnsmadeeasy.com, sarcit.samsung.com",NOERROR,,,,,,,,,,
[x],au1-fetx-p02.eng.sarc.samsung.com,8.40.240.157,"ns5.dnsmadeeasy.com, sarcit.samsung.com",NOERROR,,,,,,,,,,
[x],au2-images.shop.samsung.com,23.52.120.67,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"au2-images.shop.samsung.com.edgekey.net, e1722.b.akamaiedge.net",,,,,,,,,
[x],autodiscover.dev.samsung.com,182.195.49.96,"dns02.slg.ic, ssdomain.samsung.com, auth01.nhn.ic, dns02.cst.ic",NOERROR,,,,,,,,,,
[x],autodiscover.kmobile.samsung.com,182.193.11.78,"auth01.sam.ic, ssdomain.samsung.com, auth01.awskr.ic, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],autodiscover.partner.samsung.com,112.107.220.250,"auth01.awskr.ic, ssdomain.samsung.com, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],autodiscover.samsung.com,112.107.220.250,"dns02.cst.ic, ssdomain.samsung.com",NOERROR,,,,,,,,,,
[x],autodiscover.sea.samsung.com,206.67.236.125,"ns.sdsamerica.net, postmaster.sea.samsung.com",NOERROR,m.sea.samsung.com,,,,,,,,,
[x],b2bindia.samsung.com,142.0.160.10,"auth01.awskr.ic, ssdomain.samsung.com, auth01.sam.ic, gm.sam.ic",NOERROR,,,,,,,,s227779645.m.en25.com,v=spf1 include:_netblocks.eloqua.com -all,
[x],b2bshop.samsung.com,23.212.208.133,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"b2bshop.samsung.com.edgekey.net, e7691.x.akamaiedge.net",,,,,,,,,
[x],bada.samsung.com,213.71.30.166,"auth01.sam.ic, ssdomain.samsung.com, gm.sam.ic",NOERROR,,,,,,,,,,
[x],banner.sea.samsung.com,"52.84.93.64, 52.84.93.68, 52.84.93.56, 52.84.93.88","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d3hvtjlw8iqlac.cloudfront.net,"2600:9000:2046:8800:10:fa68:1100:93a1, 2600:9000:2046:de00:10:fa68:1100:93a1, 2600:9000:2046:1a00:10:fa68:1100:93a1, 2600:9000:2046:2c00:10:fa68:1100:93a1, 2600:9000:2046:c00:10:fa68:1100:93a1, 2600:9000:2046:4600:10:fa68:1100:93a1, 2600:9000:2046:2800:10:fa68:1100:93a1, 2600:9000:2046:e200:10:fa68:1100:93a1","ns-1344.awsdns-40.org, ns-1896.awsdns-45.co.uk, ns-224.awsdns-28.com, ns-913.awsdns-50.net",True,cloudfront,,,,,
[x],beta.api.wallet.samsung.com,,,NOERROR,fci3.cif.us1.stg.vip.wallet.samsung.com,,,,,,,,,
[x],bigdata.samsung.com,35.241.38.197,"dns02.slg.ic, ssdomain.samsung.com",NOERROR,bp1.bigdata.samsung.com,,,True,google,,,,,
[x],bixby.apps.samsung.com,88.221.63.46,"n0ce.akamaiedge.net, hostmaster.akamai.com",NOERROR,e1722.ce.akamaiedge.net,,,,,,,,,
[x],bixby.samsung.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d1r9pqlfmmbd0m.cloudfront.net,,,,,,,,,
[x],black.samsung.com,203.241.132.85,"gm.sam.ic, ssdomain.samsung.com, auth01.sam.ic",NOERROR,,,,,,,,,,
[x],blockchain.samsung.com,,"gm.sam.ic, ssdomain.samsung.com",NOERROR,,,,,,,,,,
[x],blog.samsung.com,"92.122.101.24, 92.122.101.8","n0q.akamai.net, hostmaster.akamai.com",NOERROR,"global.samsungtomorrow.com.edgesuite.net, a122.q.akamai.net",,,,,,,,,
[x],blogs.samsung.com,"92.122.101.24, 92.122.101.8","n0q.akamai.net, hostmaster.akamai.com",NOERROR,"global.samsungtomorrow.com.edgesuite.net, a122.q.akamai.net",,,,,,,,,
[x],bp1.bigdata.samsung.com,35.241.38.197,"dns02.cst.ic, ssdomain.samsung.com",NOERROR,,,,True,google,,,,,
[x],brshoptemp.samsung.com,96.7.18.50,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"brshoptemp.samsung.com.edgekey.net, e11982.x.akamaiedge.net",,,,,,,,,
[x],btool.apps.samsung.com,"15.164.5.92, 3.38.65.11","ns-166.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-166.awsdns-20.com, ns-552.awsdns-05.net, ns-1359.awsdns-41.org, ns-2000.awsdns-58.co.uk",,,,,,,
[x],c-contactus.samsung.com,203.254.254.40,"auth01.sam.ic, ssdomain.samsung.com, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],campaign.samsung.com,,"dns02.slg.ic, ssdomain.samsung.com, auth01.awskr.ic, gm.sam.ic",NOERROR,,,,,,,,,,
[x],capital.samsung.com,211.45.30.71,"auth01.sam.ic, ssdomain.samsung.com, gm.sam.ic, dns02.slg.ic",NOERROR,,,,,,,,capital.samsung.com,,
[x],careers.ap.samsung.com,203.126.116.157,"gm.sam.ic, ssdomain.samsung.com, auth01.nhn.ic, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],careers.eu.samsung.com,,"dns02.cst.ic, ssdomain.samsung.com",NOERROR,,,,,,,,,,
[x],careers.us.samsung.com,,"dns02.cst.ic, ssdomain.samsung.com, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],ccpa.sea.samsung.com,105.1.17.70,"ns.sdsamerica.net, postmaster.sea.samsung.com",NOERROR,,,,,,,,,,
[x],cdn-api.membership.samsung.com,"2.19.204.186, 2.19.205.16","n0r.akamai.net, hostmaster.akamai.com",NOERROR,"cdn-api.membership.samsung.com.edgesuite.net, a649.r.akamai.net",,,,,,,,,
[x],cdn-gems.samsung.com,"23.32.238.80, 23.32.238.66","n0w12.akamai.net, hostmaster.akamai.com",NOERROR,"cdn-gems.samsung.com.edgesuite.net, gems.samsung.com.akadns.net, a1834.w12.akamai.net",,,,,,,,,
[x],cdn-qaapi.membership.samsung.com,,"n0r.akamai.net, hostmaster.akamai.com",NOERROR,"cdn-qaapi.membership.samsung.com.edgesuite.net, a1817.r.akamai.net",,,,,,,,,
[x],cdn.samsung.com,72.246.28.116,"n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,"cdn.samsung.com.edgekey.net, cdn.samsung.com.akadns.net, china-cdn.samsung.com.edgekey.net, china-cdn.samsung.com.edgekey.net.globalredir.akadns.net, e1722.g.akamaiedge.net",,,,,,,,,
[x],ce.sea.samsung.com,"18.220.227.155, 3.138.177.113, 18.116.121.211","ns-825.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,creative-engine-dev.3ci22rxkr8.us-east-2.elasticbeanstalk.com,,,,,,,,,
[x],ceoemail.webform.samsung.com,"52.72.196.231, 3.222.204.218","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"samsung-ceo-webform.sprinklr.com, prod-samsung-ceo-webform-1292593463.us-east-1.elb.amazonaws.com","2600:1f18:af:af00:ab49:568e:45bf:2d0b, 2600:1f18:af:af01:6b12:7edb:d94f:2bef","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,,
[x],chn.account.samsung.com,163.171.132.168,"NS11.cdnetworks.net, dnsadmin.cdnetworks.com, dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,"chn.account.samsung.com.gslb.cdnetworks.net, chn.account.samsung.com.wtxcdn.com",,,,,,,,,
[x],cih.samsung.com,112.106.186.80,"auth01.awskr.ic, ssdomain.samsung.com, dns02.cst.ic, auth01.sam.ic, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],cihdev.ecom-stg.samsung.com,51.105.202.154,"ns-592.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,azure,,,,,
[x],cihdev.samsung.com,112.106.187.161,"auth01.nhn.ic, ssdomain.samsung.com, auth01.awskr.ic, auth01.sam.ic",NOERROR,,,,,,,,,,
[x],cihus.samsung.com,206.67.236.230,"auth01.awskr.ic, ssdomain.samsung.com, gm.sam.ic, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],cii.samsung.com,121.253.80.24,"dns02.slg.ic, ssdomain.samsung.com",NOERROR,,,,,,,,,,
[x],ciscdm.samsung.com,,"dns02.slg.ic, ssdomain.samsung.com, auth01.sam.ic, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],clogin107.eng.sarc.samsung.com,8.40.240.155,"ns5.dnsmadeeasy.com, sarcit.samsung.com",NOERROR,,,,,,,,,,
[x],clubs.samsung.com,112.106.157.55,"auth01.awskr.ic, ssdomain.samsung.com, auth01.nhn.ic",NOERROR,,,,,,,,,,
[x],clubweixin.samsung.com,182.118.81.169,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,clubweixin.samsung.com.scdnpesk.com,,,,,,,,,
[x],cms.samsung.com,211.45.27.254,"dns02.cst.ic, ssdomain.samsung.com",NOERROR,,,,,,,,,,
[x],cn-gearapps.samsung.com,"157.185.179.91, 157.185.170.139, 157.185.177.248","ns1.cdngc.net, webmaster.cdngc.net",NOERROR,"cn-gearapps.gw.samsungapps.com, cn-gearapps.samsung.com.gslb.cdnetworks.net, cn-gearapps.samsung.com.cdngc.net",,,,,,,,,
[x],cn-utter.dev.samsung.com,,"ns11.cdnetworks.net, dnsadmin.cdnetworks.com",NOERROR,cn-utter.dev.samsung.com.gslb.cdnetworks.net,,,,,,,,,
[x],cockpit.shop.samsung.com,194.55.91.87,"auth01.nhn.ic, ssdomain.samsung.com, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],connect.dev.samsung.com,,"auth01.nhn.ic, ssdomain.samsung.com, auth01.sam.ic, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],contactus.samsung.com,112.106.187.149,"auth01.sam.ic, ssdomain.samsung.com, gm.sam.ic, auth01.nhn.ic, dns02.slg.ic",NOERROR,,,,,,,,,v=spf1 ip4:112.106.187.149 ip4:112.106.187.166 ip4:112.106.187.167 -all,
[x],content.samsung.com,,"n0b.akamai.net, hostmaster.akamai.com",NOERROR,"content.samsung.com.edgesuite.net, a1949.b.akamai.net",,,,,,,,,
[x],corning.samsung.com,203.254.192.142,"auth01.nhn.ic, ssdomain.samsung.com, auth01.awskr.ic",NOERROR,,,,,,,,corning.samsung.com,,
[x],corpmail.samsung.com,162.246.216.43,"dns02.cst.ic, ssdomain.samsung.com",NOERROR,sra.corpmail.samsung.com,,,,,,,,R+Z8B9WJhy/fLvyMnGC+Wtvk176dBnrNosto1X15XMVPpYURcyjIwK2B1IEvwfj8R30XT0jw/tsU7MXTRrRd9g==,
[x],corporate.samsung.com,208.229.231.19,"auth01.nhn.ic, ssdomain.samsung.com, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],csr.samsung.com,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,d1cdkxcaxt9oo6.cloudfront.net,,,True,cloudfront,,,,,
[x],cubig-cs.bigdata.samsung.com,182.192.253.61,"auth01.sam.ic, ssdomain.samsung.com, auth01.nhn.ic, gm.sam.ic, auth01.awskr.ic",NOERROR,,,,,,,,,,
[x],d-smartthings.developer.samsung.com,35.165.217.11,"auth01.nhn.ic, ssdomain.samsung.com, auth01.sam.ic, dns02.slg.ic",NOERROR,,,,,,,,,,
[x],d3245001.uspool.samsung.com,211.36.80.1,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245004.uspool.samsung.com,211.36.80.4,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245005.uspool.samsung.com,211.36.80.5,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"dns121.netops.sspdata.net, ns.sdsamerica.net, gate.samsung.com",,,,,,,
[x],d3245010.uspool.samsung.com,211.36.80.16,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"dns121.netops.sspdata.net, ns.sdsamerica.net, gate.samsung.com",,,,,,,
[x],d3245013.uspool.samsung.com,211.36.80.19,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245014.uspool.samsung.com,211.36.80.20,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245020.uspool.samsung.com,211.36.80.32,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245021.uspool.samsung.com,211.36.80.33,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245022.uspool.samsung.com,211.36.80.34,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245023.uspool.samsung.com,211.36.80.35,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245024.uspool.samsung.com,211.36.80.36,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245030.uspool.samsung.com,211.36.80.48,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245032.uspool.samsung.com,211.36.80.50,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245040.uspool.samsung.com,211.36.80.64,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245041.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245042.uspool.samsung.com,211.36.80.66,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245043.uspool.samsung.com,211.36.80.67,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"ns.sdsamerica.net, gate.samsung.com, dns121.netops.sspdata.net",,,,,,,
[x],d3245051.uspool.samsung.com,211.36.80.81,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245052.uspool.samsung.com,211.36.80.82,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245054.uspool.samsung.com,211.36.80.84,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245060.uspool.samsung.com,211.36.80.96,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245061.uspool.samsung.com,211.36.80.97,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245062.uspool.samsung.com,211.36.80.98,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245063.uspool.samsung.com,211.36.80.99,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245070.uspool.samsung.com,211.36.80.112,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245072.uspool.samsung.com,211.36.80.114,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245073.uspool.samsung.com,211.36.80.115,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"gate.samsung.com, dns121.netops.sspdata.net, ns.sdsamerica.net",,,,,,,
[x],d3245074.uspool.samsung.com,211.36.80.116,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245080.uspool.samsung.com,211.36.80.128,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"dns121.netops.sspdata.net, gate.samsung.com, ns.sdsamerica.net",,,,,,,
[x],d3245081.uspool.samsung.com,211.36.80.129,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245082.uspool.samsung.com,211.36.80.130,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245083.uspool.samsung.com,211.36.80.131,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245084.uspool.samsung.com,211.36.80.132,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245090.uspool.samsung.com,211.36.80.144,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245091.uspool.samsung.com,211.36.80.145,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245092.uspool.samsung.com,211.36.80.146,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245093.uspool.samsung.com,211.36.80.147,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245094.uspool.samsung.com,211.36.80.148,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450a1.uspool.samsung.com,211.36.80.161,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450a2.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450a3.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450a4.uspool.samsung.com,211.36.80.164,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450b0.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450b1.uspool.samsung.com,211.36.80.177,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450b2.uspool.samsung.com,211.36.80.178,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"dns121.netops.sspdata.net, gate.samsung.com, ns.sdsamerica.net",,,,,,,
[x],d32450c0.uspool.samsung.com,211.36.80.192,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450c1.uspool.samsung.com,211.36.80.193,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450c3.uspool.samsung.com,211.36.80.195,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450c4.uspool.samsung.com,211.36.80.196,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450d0.uspool.samsung.com,211.36.80.208,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450d1.uspool.samsung.com,211.36.80.209,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450d2.uspool.samsung.com,211.36.80.210,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450d3.uspool.samsung.com,211.36.80.211,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450d4.uspool.samsung.com,211.36.80.212,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450e0.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450e1.uspool.samsung.com,211.36.80.225,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450e2.uspool.samsung.com,211.36.80.226,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,"ns.sdsamerica.net, gate.samsung.com, dns121.netops.sspdata.net",,,,,,,
[x],d32450e3.uspool.samsung.com,211.36.80.227,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450e4.uspool.samsung.com,,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450f2.uspool.samsung.com,211.36.80.242,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450f3.uspool.samsung.com,211.36.80.243,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d32450f4.uspool.samsung.com,211.36.80.244,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245101.uspool.samsung.com,211.36.81.1,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245103.uspool.samsung.com,211.36.81.3,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245104.uspool.samsung.com,211.36.81.4,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245110.uspool.samsung.com,211.36.81.16,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
[x],d3245113.uspool.samsung.com,211.36.81.19,"gate.samsung.com, hostmaster.ssinoc.samsung.com",NOERROR,,,,,,,,,,
