input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url
https://api.friendlycaptcha.com/api/v1/puzzle,,400,46,AS13335,CLOUDFLARENET,US,188.114.100.0/24,api.friendlycaptcha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-26T00:00:00Z,2023-09-26T23:59:59Z,"CN=friendlycaptcha.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",friendlycaptcha.com,"Cloudflare, Inc.",*.friendlycaptcha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6ed1276080c4f3f28f60d6c7247a5b72,3ba36a347fe990adee2f3817317fc3d6f8f56d97b6884178ea57e82b6745e999,True,ctls,api.friendlycaptcha.com,cloudflare,443,https://api.friendlycaptcha.com:443/api/v1/puzzle,https,cloudflare,application/json,GET,188.114.97.3,/api/v1/puzzle,,2a06:98c1:3121::3,HTTP/3,1,False,True,,,
https://api.gem.co/institutions/coinify/supported_currencies,,200,26849,AS14618,AMAZON-AES,US,3.218.182.0/24,api.gem.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-04T08:03:28Z,2023-06-02T08:03:27Z,CN=api.gem.co,api.gem.co,,api.gem.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21d89c77e248da8c0e1f3a718e03dbf9,d432a9b3f291b62b95e0891967f9236b38f738bda2e2da1e2549a7f829fc2007,,ctls,api.gem.co,,443,https://api.gem.co:443/institutions/coinify/supported_currencies,https,nginx,application/json,GET,3.209.219.111,/institutions/coinify/supported_currencies,902494990,54.156.98.82,Nginx,1,False,,,,
https://api.gem.co/institutions/wyre/supported_currencies,,200,32768,AS14618,AMAZON-AES,US,3.218.182.0/24,api.gem.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-04T08:03:28Z,2023-06-02T08:03:27Z,CN=api.gem.co,api.gem.co,,api.gem.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21d89c77e248da8c0e1f3a718e03dbf9,d432a9b3f291b62b95e0891967f9236b38f738bda2e2da1e2549a7f829fc2007,,ctls,api.gem.co,,443,https://api.gem.co:443/institutions/wyre/supported_currencies,https,nginx,application/json,GET,3.209.219.111,/institutions/wyre/supported_currencies,902494990,54.156.98.82,Nginx,1,False,,,,
https://api.github.com/repos/yearn/yearn-assets/,,404,84,AS36459,GITHUB,US,140.82.120.0/21,api.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,"GitHub, Inc.",github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,True,ctls,api.github.com,,443,https://api.github.com:443/repos/yearn/yearn-assets/,https,GitHub.com,application/json,GET,140.82.121.6,/repos/yearn/yearn-assets/,1848946384,140.82.121.6,HSTS,5,False,,,,
https://api.gmp.axelarscan.io,,200,2008,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.gmp.axelarscan.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T16:31:29Z,2023-07-09T16:31:28Z,CN=api.gmp.axelarscan.io,api.gmp.axelarscan.io,,api.gmp.axelarscan.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2afe7104eec4c5bc67f802f26adea752,502c77368ddf54c941f37bce38596c71017fe4f430d375dd93386c203ce331d7,,ctls,api.gmp.axelarscan.io,cloudflare,443,https://api.gmp.axelarscan.io:443,https,cloudflare,application/json,GET,104.18.14.86,/,631524574,2606:4700::6812:f56,Cloudflare,1,False,True,,,
https://api.idle.finance,,401,36,AS51167,CONTABO,DE,213.136.64.0/19,api.idle.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:59:05Z,2023-06-12T00:59:04Z,CN=api.idle.finance,api.idle.finance,,api.idle.finance,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cc414dbff472ae119967816473d3d704,3d288a43979bb31d4630b8132b978cc05fcc3362506d711a33034d89c1182525,,ctls,api.idle.finance,,443,https://api.idle.finance:443,https,nginx/1.18.0 (Ubuntu),application/json,GET,213.136.76.8,/,194603016,213.136.76.8,Ubuntu,1,False,,,,
https://api.juno.finance/,,200,38,AS16509,AS16509,Unknown,35.160.0.0/13,api.juno.finance,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-17T23:59:59Z,CN=juno.finance,juno.finance,,*.juno.finance,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6454c172e3a9022769b9a1b54ba6e28f,383179bb59e25149b06d389103fec0dc7360d5d3fdef477384c912c789986ee9,True,ctls,api.juno.finance,,443,https://api.juno.finance:443,https,nginx,application/json,GET,35.163.95.158,/,1593207841,54.69.100.229,Nginx,1,False,,,,
https://api.litecoin.shapeshift.com,ShapeShift Litecoin API Docs,200,3043,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.litecoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,api.litecoin.shapeshift.com,cloudflare,443,https://api.litecoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.150.72,/,631524574,2606:4700::6810:9648,Node.js,81,False,True,,True,https://api.litecoin.shapeshift.com/docs/
https://api.mtpelerin.com/currencies/tokens,,200,11884,AS16509,AS16509,Unknown,18.224.0.0/13,api.mtpelerin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-05-07T23:59:59Z,CN=mtpelerin.com,mtpelerin.com,,*.mtpelerin.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3cde4013d5e3ef55acbf763414aed1ed,567849cead844385b0584e367322b601778262e11c2027ec45232c7940a4e178,True,ctls,api.mtpelerin.com,,443,https://api.mtpelerin.com:443/currencies/tokens,https,,application/json,GET,18.224.49.144,/currencies/tokens,96342579,3.141.185.21,Kong:0.12.3,1,False,,,,
https://api.rudderlabs.com,,404,9,AS0,Not routed,None,13.32.100.0/23,api.rudderlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-12T23:59:59Z,CN=*.rudderlabs.com,*.rudderlabs.com,,*.rudderlabs.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0f2e290aac4428f714d486cf948a406e,4ecafaf6d098ae178c07e7b346b826765b353cb56de45d50b40f5dab91ef4ba2,True,ctls,api.rudderlabs.com,cloudfront,443,https://api.rudderlabs.com:443,https,,text/plain,GET,13.32.99.98,/,-738705486,2600:9000:2251:a800:9:fddd:fc40:93a1,HTTP/3,1,False,True,,,
