new,host,a,soa,status_code,txt,aaaa,cdn,cdn-name,mx,ns,has_internal_ips,internal_ips,cname,caa
[x],acostanzo.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,v=spf1 ip4:184.173.239.119 ip4:10.50.26.144 a mx include:websitewelcome.com ~all,,,,acostanzo.staff.hostgator.com,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],africa.hostgator.com,162.215.231.71,"lee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"us2.mx1.mailhostbox.com, us2.mx2.mailhostbox.com, us2.mx3.mailhostbox.com","lee.ns.cloudflare.com, sarah.ns.cloudflare.com",,,,
[x],agros.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,v=spf1 +a +mx +ip4:192.185.2.136 ?all,,,,agros.staff.hostgator.com,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],alicelatrese.bcaine.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],amadisonroseevent.sgladney.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,v=spf1 ip4:184.173.239.119 +a +mx +ip4:192.185.2.136 ?all,,,,,,,,,
[x],amerikrem.msafovich.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],amigo.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],anaremore.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,v=spf1 ip4:184.173.239.119 ip4:10.50.26.144 a mx include:websitewelcome.com ~all,,,,anaremore.staff.hostgator.com,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],app-gateway-staging.hostgator.com,"104.21.17.214, 172.67.178.84","nile.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3035::6815:11d6, 2606:4700:3032::ac43:b254",True,cloudflare,,"nile.ns.cloudflare.com, sima.ns.cloudflare.com",,,,
[x],app-gateway.hostgator.com,"188.114.97.3, 188.114.96.3","nile.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,,"nile.ns.cloudflare.com, sima.ns.cloudflare.com",,,,
[x],app.hostgator.com,,"nile.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3031::6815:2f5, 2606:4700:3035::ac43:81d8",True,cloudflare,,"sima.ns.cloudflare.com, nile.ns.cloudflare.com",,,,
[x],assets-blog.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2826, 2606:4700:3108::ac42:2bda",True,cloudflare,,,,,,
[x],assets-blog.hostgator.mx,"172.66.43.244, 172.66.40.12","jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:280c, 2606:4700:3108::ac42:2bf4",True,cloudflare,,,,,,
[x],assets-guias.hostgator.com.br,"172.66.43.218, 172.66.40.38","ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2bda, 2606:4700:3108::ac42:2826",True,cloudflare,,,,,,
[x],assets-guias.hostgator.mx,"172.66.43.244, 172.66.40.12","jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:280c, 2606:4700:3108::ac42:2bf4",True,cloudflare,,,,,,
[x],atendimento.hostgator.com.br,"172.66.40.38, 172.66.43.218","ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2826, 2606:4700:3108::ac42:2bda",True,cloudflare,,,,,,
[x],auth.hostgator.cl,,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,,,,,,
[x],autodiscover.aboyd.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.amiyoshi.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.anaremore.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.awatkins.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.bcaine.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.bhoffart.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.cbothwell.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.cfoos.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.cheugel.staff.hostgator.com,,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.csanders.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],autodiscover.dcopley.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.dfoster.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.dharris.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.drakesmith.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.emarsh.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,"staff1.hostgator.com, staff2.hostgator.com",,,,
[x],autodiscover.glefferd.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.gpineda.staff.hostgator.com,192.185.13.139,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.hostgator.mx,"52.98.152.168, 40.99.150.88, 52.98.241.168, 52.98.241.184","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,"2603:1026:c0d:6b::8, 2603:1026:c0d:76::8, 2603:1026:c0d:75::8",,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",
[x],autodiscover.htran.staff.hostgator.com,192.185.2.136,,NOERROR,,,,,,,,,,
[x],autodiscover.idiaz.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.imackey.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.isaac.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.jbanks.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.jbell.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.jcook.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.jscanlon.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.lberquist.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.mbinner.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.msutherland.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,"staff1.hostgator.com, staff2.hostgator.com",,,,
[x],autodiscover.pharrison.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],autodiscover.rkonop.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.rterry.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.rwest.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.rwidger.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.scaffee.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.sdundon.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.shuddy.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.shussain.staff.hostgator.com,192.185.2.136,,NOERROR,,,,,,,,,,
[x],autodiscover.sladewig.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.stran.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.thoang.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.tmitchell.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, noreply.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.training.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.voipo.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],autodiscover.xsteavenson.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],awatkins.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],ayuda.hostgator.mx,"172.66.40.12, 172.66.43.244","jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2bf4, 2606:4700:3108::ac42:280c",True,cloudflare,,,,,,
[x],ba.hostgator.com,50.22.105.172,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],backend.isaac.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,v=spf1 +a +mx +ip4:192.185.2.136 ?all,,,,,,,,,
[x],backups.hostgator.com,67.18.2.226,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],baralicai.bcaine.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],basekit.sdundon.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],bcaine.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,bcaine.staff.hostgator.com,"staff1.hostgator.com, staff2.hostgator.com",,,,
[x],bees.msheldon.staff.hostgator.com,,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],bi.hostgator.com.br,108.179.193.158,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],billing.hostgator.co,"172.66.42.219, 172.66.41.37","jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2adb, 2606:4700:3108::ac42:2925",True,cloudflare,,,,,,
[x],billing.hostgator.com,,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bl.hostgator.com,184.172.179.128,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bladeedge.csanders.staff.hostgator.com,,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],blog-dev.hostgator.com,"104.18.0.71, 104.18.1.71","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
[x],blog-static.hostgator.com.br,162.240.81.19,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blog-static.hostgator.mx,162.240.81.19,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blog.hostgator.com,"104.18.1.71, 104.18.0.71","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
[x],blog.hostgator.com.br,"172.66.43.218, 172.66.40.38","ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,"2606:4700:3108::ac42:2bda, 2606:4700:3108::ac42:2826",True,cloudflare,,,,,,
[x],boca.hostgator.com,192.168.0.13,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,192.168.0.13,,
[x],br01.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip02.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip03.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip04.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br10-ip05.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br10-ip06.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip07.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip08.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip09.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br10-ip11.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br10.hostgator.com.br,192.185.176.104,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br100-ip04.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip06.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br100-ip08.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip09.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip10.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip11.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip12.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip14.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br100-ip15.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br100-ip16.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip17.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip18.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip19.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip20.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip21.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100-ip22.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br100.hostgator.com.br,192.185.176.144,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br1004.hostgator.com.br,162.241.203.87,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br1014.hostgator.com.br,162.241.203.142,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br1016.hostgator.com.br,162.241.203.147,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],br102-ip05.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip06.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip08.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip10.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip12.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip13.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
[x],br102-ip14.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,v=spf1 ip4:74.53.28.178 ip4:216.172.188.70 ip4:216.172.188.71 ip4:216.172.188.75  ip4:216.172.188.85 ip4:162.144.212.13 ip4:108.167.151.19 ip4:108.167.151.29  include:_spf.google.com include:mail.zendesk.com  ~all,,,,,,,,,
