input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,cdn_name,cdn,csp_domains_
0-summaryervicestaging-files.cnosf.deezer.com,,403,272,0-summaryervicestaging-files.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2023-07-17T23:59:59Z,CN=0-summaryervicestaging-files.cnosf.deezer.com,0-summaryervicestaging-files.cnosf.deezer.com,0-summaryervicestaging-files.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,b813a972f1dc41fda2e0d778f1f0cd3d,8bb0edac89156ad61bcd541a46bc353fb35f366df4841be3664cc34612256f0d,ctls,0-summaryervicestaging-files.cnosf.deezer.com,443,https://0-summaryervicestaging-files.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0.nl-centralafrica.deezer.com,,403,272,0.nl-centralafrica.deezer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-06-02T05:41:49Z,2030-05-31T05:41:49Z,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,testexample,9442ef3f2ff45957b8819ddd5c7ee549,db5792efac6d5770c2e0fab4920333beda922e4bb98e589e3e8f07683c5e8973,ctls,0.nl-centralafrica.deezer.com,443,https://0.nl-centralafrica.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,True,True,testexample,,,,,
0.nl-uk.deezer.com,Deezer.com,200,27697,0.nl-uk.deezer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-06-02T05:41:49Z,2030-05-31T05:41:49Z,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,testexample,9442ef3f2ff45957b8819ddd5c7ee549,db5792efac6d5770c2e0fab4920333beda922e4bb98e589e3e8f07683c5e8973,ctls,0.nl-uk.deezer.com,443,https://0.nl-uk.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,True,True,testexample,,,,,
00-misc-2014-09-13.cnosf.deezer.com,Deezer.com,200,29591,00-misc-2014-09-13.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2023-07-13T23:59:59Z,CN=00-misc-2014-09-13.cnosf.deezer.com,00-misc-2014-09-13.cnosf.deezer.com,00-misc-2014-09-13.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,c8c7f42642ee47a26b08a38c6eb4cf04,ca0fb47cfafde03d0cd60b35bfff0a4e2b7b1dd475b5632fdd12adb0661764c1,ctls,00-misc-2014-09-13.cnosf.deezer.com,443,https://00-misc-2014-09-13.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
00-misc-35.cnosf.deezer.com,,403,272,00-misc-35.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2023-07-14T23:59:59Z,CN=00-misc-35.cnosf.deezer.com,00-misc-35.cnosf.deezer.com,00-misc-35.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,b2af8e0f23848543841f37b1f987b68c,82241062c6ddb1850397936bfe3f454020950af27a66863d189e98dfca95e69f,ctls,00-misc-35.cnosf.deezer.com,443,https://00-misc-35.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
00-misc-files-files.cnosf.deezer.com,,403,272,00-misc-files-files.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2023-06-27T23:59:59Z,CN=00-misc-files-files.cnosf.deezer.com,00-misc-files-files.cnosf.deezer.com,00-misc-files-files.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,619c440998e1f8ebb07511b3ec77803c,fab791bd12d5068d68b1d68ac21354336b7cfb5158d2d9f3cf1045b23646e09a,ctls,00-misc-files-files.cnosf.deezer.com,443,https://00-misc-files-files.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
00-misc-files.cnosf.deezer.com,Deezer.com,200,28175,00-misc-files.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2023-07-13T23:59:59Z,CN=00-misc-files.cnosf.deezer.com,00-misc-files.cnosf.deezer.com,00-misc-files.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,dd4e25922c1326e4e655987fa517f8f4,dc999f0b96037bafa952bfdf636bee7c2ba11d93bf6d6248421d637cbb94eb39,ctls,00-misc-files.cnosf.deezer.com,443,https://00-misc-files.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
00-misc-files1z0-567.cnosf.deezer.com,Deezer.com,200,28253,00-misc-files1z0-567.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2023-06-23T23:59:59Z,CN=00-misc-files1z0-567.cnosf.deezer.com,00-misc-files1z0-567.cnosf.deezer.com,00-misc-files1z0-567.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,72a5649fe691ba5c0d2681ad7d4347cd,8958c82018336ce26541390744c4fa52d4d215d683f80cd5e2ed786f830cf8a7,ctls,00-misc-files1z0-567.cnosf.deezer.com,443,https://00-misc-files1z0-567.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
00-misc-staging-files122.cnosf.deezer.com,,403,272,00-misc-staging-files122.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2023-06-24T23:59:59Z,CN=00-misc-staging-files122.cnosf.deezer.com,00-misc-staging-files122.cnosf.deezer.com,00-misc-staging-files122.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,96a7d46e3bbb3f61cdd7ddee6ba32b00,3e57afe13e5b8e6c01b16469e7974880c9a80ce57d80b1fe87f93d9b571db24f,ctls,00-misc-staging-files122.cnosf.deezer.com,443,https://00-misc-staging-files122.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
00-misc.cnosf.deezer.com,Deezer.com,200,33628,00-misc.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-07-10T23:59:59Z,CN=00-misc.cnosf.deezer.com,00-misc.cnosf.deezer.com,00-misc.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,8d16819f3535d1140203a4cbe442040a,57c93cd3670463b11f0ce037b9ef85cf02138cf0150dc04393bf6214433c806e,ctls,00-misc.cnosf.deezer.com,443,https://00-misc.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,233,False,,,,,,,,
