new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,caa,has_internal_ips,internal_ips
[x],deals.priceline.com,"167.89.123.54, 167.89.118.52, 167.89.118.83, 167.89.123.124, 208.94.148.4, 208.80.124.4, 208.80.126.4, 208.80.125.4, 208.80.127.4, 208.94.149.4",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0","2600:1800:10::1, 2600:1801:11::1, 2600:1802:12::1, 2600:1801:13::1, 2600:1802:14::1, 2600:1800:15::1","ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns12.dnsmadeeasy.com","mx2.sendgrid.net, mx.sendgrid.net","amazonaws.com, godaddy.com",,
[x],dev-web.priceline.com,63.240.36.42,relwebvirt02.priceline.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dev.customerservice-ccp.priceline.com,,pcln-ccp-blue.us-east-1.elasticbeanstalk.com,"ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dev.sales-ccp.priceline.com,"52.222.139.38, 52.222.139.117, 52.222.139.2, 52.222.139.93",d17phyw7frlkqp.cloudfront.net,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:2204:b800:1b:8a98:d040:93a1, 2600:9000:2204:4600:1b:8a98:d040:93a1, 2600:9000:2204:4000:1b:8a98:d040:93a1, 2600:9000:2204:6e00:1b:8a98:d040:93a1, 2600:9000:2204:9a00:1b:8a98:d040:93a1, 2600:9000:2204:6800:1b:8a98:d040:93a1, 2600:9000:2204:7800:1b:8a98:d040:93a1, 2600:9000:2204:6200:1b:8a98:d040:93a1","ns-1297.awsdns-34.org, ns-1835.awsdns-37.co.uk, ns-285.awsdns-35.com, ns-806.awsdns-36.net",,,,
[x],deva.priceline.com,,,,NOERROR,,,,,,,,,
[x],devb.priceline.com,,,,NOERROR,,,,,,,,,
[x],developer.qaa.priceline.com,"151.101.194.186, 151.101.130.186, 151.101.66.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],dns-nw-dmz.dmz.priceline.com,69.195.35.21,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],docs.corp.priceline.com,64.6.29.85,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dropbox.corp.priceline.com,69.195.35.15,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ekspert.priceline.com,64.6.21.21,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],employeedeals.flightdeals.priceline.com,"52.200.159.220, 54.80.89.222, 54.87.8.162","employeedeals.flightdeals.priceline.center, lb-ota-1104795433.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],epm.corp.priceline.com,10.47.5.5,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,True,10.47.5.5
[x],ews.corp.priceline.com,34.192.162.139,"mail.corp.priceline.com, mail-corp-priceline-com.go.akamai-access.com","ns-1070.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],experiences.priceline.com,"13.32.145.82, 13.32.145.32, 13.32.145.17, 13.32.145.12",d1g8y65489dg35.cloudfront.net,"ns-873.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:20e1:7800:9:b9b6:ec40:93a1, 2600:9000:20e1:8600:9:b9b6:ec40:93a1, 2600:9000:20e1:c200:9:b9b6:ec40:93a1, 2600:9000:20e1:2000:9:b9b6:ec40:93a1, 2600:9000:20e1:e400:9:b9b6:ec40:93a1, 2600:9000:20e1:a800:9:b9b6:ec40:93a1, 2600:9000:20e1:2400:9:b9b6:ec40:93a1, 2600:9000:20e1:e200:9:b9b6:ec40:93a1","ns-1160.awsdns-17.org, ns-447.awsdns-55.com, ns-873.awsdns-45.net, ns-1927.awsdns-48.co.uk",,,,
[x],flightdeals.priceline.com,,flightdeals.priceline.center,,NOERROR,,,,,,,,,
[x],fs.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,,,,
[x],go.corp.priceline.com,34.233.211.171,go-corp-priceline-com.go.akamai-access.com,"ns-1070.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1070.awsdns-05.org, ns-126.awsdns-15.com, ns-1993.awsdns-57.co.uk, ns-874.awsdns-45.net",,,,
[x],google.corp.priceline.com,64.6.29.85,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],graphcdn-qaa.priceline.com,151.101.177.51,ecp.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:2a::307,,,,,
[x],graphcdn.priceline.com,"151.101.1.51, 151.101.65.51, 151.101.129.51, 151.101.193.51",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],guse4-poc.priceline.com,"151.101.130.186, 151.101.194.186, 151.101.66.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],h.c.priceline.com,,,"ns0.bkngs.com, postmaster.book-a-hotel.net",NOERROR,,,,,,,,,
[x],h.priceline.com,,d8bongqq2o4pq.cloudfront.net,,NOERROR,True,cloudfront,,,"ns-499.awsdns-62.com, ns-1988.awsdns-56.co.uk, ns-1493.awsdns-58.org, ns-549.awsdns-04.net",,,,
[x],help.priceline.com,"13.32.99.43, 13.32.99.92, 13.32.99.123, 13.32.99.83",d3skm513vs22ha.cloudfront.net,"ns-367.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:21c3:3c00:8:d058:4380:93a1, 2600:9000:21c3:6000:8:d058:4380:93a1, 2600:9000:21c3:bc00:8:d058:4380:93a1, 2600:9000:21c3:5e00:8:d058:4380:93a1, 2600:9000:21c3:aa00:8:d058:4380:93a1, 2600:9000:21c3:5c00:8:d058:4380:93a1, 2600:9000:21c3:fc00:8:d058:4380:93a1, 2600:9000:21c3:2c00:8:d058:4380:93a1","ns-784.awsdns-34.net, ns-1406.awsdns-47.org, ns-2004.awsdns-58.co.uk, ns-367.awsdns-45.com",,,,
[x],hsecure.priceline.com,"13.32.121.66, 13.32.121.59, 13.32.121.89, 13.32.121.41",d1rniy253q8v84.cloudfront.net,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1169.awsdns-18.org, ns-1609.awsdns-09.co.uk, ns-421.awsdns-52.com, ns-574.awsdns-07.net",,,,
[x],ids-dev.priceline.com,"76.223.106.8, 13.248.244.122","pcln-dev.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ids-qa.priceline.com,"13.248.244.122, 76.223.106.8","pcln-qa.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ids.priceline.com,"13.248.245.245, 76.223.112.12","pcln.customdomains.okta.com, ok14-custom-crtrs.okta.com, ok14-custom-crtrs.oktaedge.okta.com, aea892e467587cd82.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ifnyop.priceline.com,178.250.7.13,"dnsdelegation.io, gum.criteo.com, gum.fr3.vip.prod.criteo.com","ns23.criteo.com, dns.criteo.com",NOERROR,,,,2a02:2638:d::d,,,digicert.com,,
[x],img1.priceline.com,"151.101.194.186, 151.101.130.186, 151.101.66.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],img1.qaa.priceline.com,69.195.35.241,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],in.corp.priceline.com,64.6.29.210,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],info.qa.priceline.com,69.195.35.238,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],internal.deva.priceline.com,,,,NOERROR,,,,,,,,,
[x],internal.priceline.com,,internal.corp.priceline.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],internal.qaa.priceline.com,"151.101.66.186, 151.101.2.186, 151.101.194.186, 151.101.130.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],invision.priceline.com,69.195.35.15,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],jira.corp.priceline.com,64.6.29.85,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],jira2.corp.priceline.com,64.6.22.83,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],jump.priceline.com,"151.101.194.186, 151.101.66.186, 151.101.130.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],li.priceline.com,"104.126.117.136, 104.126.117.155","430048417d881398dc40ec341125d0d0.edgesuite.net, a1127.g1.akamai.net","n0g1.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],links.deals.priceline.com,"54.162.25.2, 54.211.100.10, 54.85.189.130",links.iterable.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],links.priceline.com,"151.101.194.186, 151.101.2.186, 151.101.66.186, 151.101.130.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],localhost.emails.priceline.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,True,127.0.0.1
[x],mapquest.rezserver.com,"151.101.2.150, 151.101.130.150, 151.101.66.150, 151.101.194.150",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],media.qa.rezserver.com,,ds1bbu37lu3yo.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],media.qab.priceline.com,"151.101.130.186, 151.101.66.186, 151.101.2.186, 151.101.194.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],media.rezserver.com,,d28b1n5rsnyxpv.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],mobileimg.priceline.com,"151.101.2.186, 151.101.66.186, 151.101.130.186, 151.101.194.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],msmtp.priceline.com,"64.6.23.102, 64.6.22.101, 64.6.22.102, 64.6.23.103, 64.6.22.103, 64.6.23.101",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],msr1.qab.priceline.com,"151.101.2.186, 151.101.194.186, 151.101.130.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],mta.emails.priceline.com,66.231.89.187,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],nw-aruba-001.corp.priceline.com,69.195.35.7,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],nw-bcsftp-001.dmz.priceline.com,69.195.35.18,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],nw-dns-dmz.dmz.priceline.com,69.195.35.21,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],nw-ftp-dmz01.dmz.priceline.com,69.195.35.11,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],nw-smtp-dmz01.dmz.priceline.com,64.6.23.22,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,
[x],nw-smtp-dmz02.dmz.priceline.com,64.6.23.23,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,
[x],ny-dns-dmz.dmz.priceline.com,64.6.20.4,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ny-ftp-dmz01.dmz.priceline.com,64.6.20.7,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ny-imsva-004.dmz.priceline.com,64.6.20.30,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ny-in.corp.priceline.com,64.6.22.210,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ny-smtp-dmz02.dmz.priceline.com,64.6.20.6,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,
[x],ny.priceline.com,"151.101.66.186, 151.101.130.186, 151.101.194.186, 151.101.2.186",priceline2.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],o1.deals.priceline.com,208.117.56.98,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o10.deals.priceline.com,167.89.65.241,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o13.deals.priceline.com,167.89.65.29,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o17.deals.priceline.com,167.89.65.218,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o2.deals.priceline.com,208.117.57.101,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o3.deals.priceline.com,208.117.57.106,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o4.deals.priceline.com,208.117.57.112,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o43.sg.deals.trvl.priceline.com,149.72.1.164,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o44.sg.deals.trvl.priceline.com,149.72.1.162,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o46.sg.trvl.priceline.com,149.72.1.160,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o5.deals.priceline.com,208.117.57.117,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o6.deals.priceline.com,192.254.112.151,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o6.sg.deals.priceline.com,167.89.65.3,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o7.deals.priceline.com,167.89.65.219,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o7.sg.deals.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],o8.sg.deals.priceline.com,167.89.65.22,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],offers.priceline.com,"151.101.2.186, 151.101.194.186, 151.101.130.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],origin-img1.priceline.com,64.6.21.9,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],owa.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,,,,
[x],packages.priceline.com,"151.101.130.186, 151.101.194.186, 151.101.66.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],pages.emails.priceline.com,66.231.91.161,pages.virt.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],partners.priceline.com,"151.101.2.186, 151.101.130.186, 151.101.66.186, 151.101.194.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],pcln01.corp.priceline.com,69.195.35.15,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],pcln02.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,,,,
[x],pcln04.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,,,,
[x],pcln06.corp.priceline.com,69.195.35.3,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
