new,host,a,soa,ns,status_code,aaaa,cname,caa,txt,cdn,cdn-name,has_internal_ips,internal_ips,mx
,fdw1.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,fdw2.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,feedback.porkbun.com,52.10.238.233,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,foraleza.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,forum.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,forums.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,france.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,ftp.fwd1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,ftp.imap4.fwd1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,ftp.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,ftp.whois.whois.whois.whois.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,fw.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,fw1.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
