new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],www-dev.doctolib.com,"104.16.133.133, 104.16.132.133","2606:4700::6810:8585, 2606:4700::6810:8485","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],www-dev.doctolib.fr,"104.16.235.19, 104.16.234.19",,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],www-prd-aws-de-fra-1.doctolib.de,"172.64.148.104, 104.18.39.152","2606:4700:4400::ac40:9468, 2606:4700:4400::6812:2798","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],www-preprod.doctolib.de,"52.28.126.142, 18.197.185.205",,"ns-905.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,public-elb-preprod.doctolib.tech,,,,,,
[x],www-preprod.doctolib.fr,"52.28.126.142, 18.197.185.205",,"ns-905.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,public-elb-preprod.doctolib.tech,,,,,,
[x],www-staging.doctolib.de,172.65.226.33,2606:4700:90:0:580a:7f69:f5e9:bfcd,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.de, 3056ef016c2e47e89858dacb86999c6b.pacloudflare.com",,,,,,
[x],www-staging.doctolib.it,172.65.222.138,2606:4700:90:0:6a09:de47:9b9e:ed55,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.it, 99680ed054244c63be96a1b7dc1443df.pacloudflare.com",,,,,,
[x],www-staging2.doctolib.de,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],www.doctolib.de,172.65.251.247,2606:4700:90:0:8276:a1b7:9b67:6531,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.de, 1e87368e721d4d36b8aae2fdb8b0d37a.pacloudflare.com",,,,,,
[x],www.doctolib.fr,172.65.248.213,2606:4700:90:0:3697:4d05:99b8:dc3a,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.fr, 0135052461d0410b8e4b124e9d0927e0.pacloudflare.com",,,,,,
[x],www.doctolib.it,172.65.239.57,2606:4700:90:0:57c:66fa:66a3:f297,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.it, 65e3e463c2f0431c9e09f06ea716da06.pacloudflare.com",,,,,,
[x],www2.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],wwwpro.inter.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],wwww.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],xxx.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
