new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,ptr,caa
[x],interplan-qa.spe.sony.com,208.84.224.74,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],interplan-qa2.spe.sony.com,208.84.224.75,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],interplan-qa4.spe.sony.com,"44.231.77.194, 44.227.191.128, 44.242.54.107","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-WDG-Extaz-qa-96e13125c7908811.elb.us-west-2.amazonaws.com,,,,,,,,,,
[x],interplan-qa5.spe.sony.com,,,NOERROR,,,,,,,,,,,
[x],interplan.spe.sony.com,"54.148.153.69, 54.70.104.163, 100.21.151.200","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-WDG-extazwaf-prod-678776be3d9164f3.elb.us-west-2.amazonaws.com,,,,,,,,,,
[x],ios-dev.spe.sony.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],iris.spe.sony.com,208.84.225.191,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],ita.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,mail2.fw-sd.sony.com,,,
[x],itafw-db.fw-bc.sony.com,198.83.178.33,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],itps-extsan.spe.sony.com,208.84.227.92,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],itpsjss-test.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,itps-extsan.spe.sony.com,,,,,,,,,,
[x],itreg.sel.sony.com,173.203.22.140,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],jenkins.mc.spe.sony.com,10.1.136.160,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.1.136.160,,,,
