new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,caa
,stripe.billing.preprod.octopus.com,"13.107.237.67, 13.107.238.67","2620:1ec:4e:1::67, 2620:1ec:4f:1::67","comm-bill-preprod-endpoint-defsgvabfza0cqad.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0039.t-0009.fdv2-t-msedge.net, part-0039.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,style.octopus.com,"185.199.109.153, 185.199.108.153, 185.199.110.153, 185.199.111.153","2606:50c0:8002::153, 2606:50c0:8001::153, 2606:50c0:8000::153, 2606:50c0:8003::153",octopusdeploy.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"digicert.com, letsencrypt.org"
,support.octopus.com,54.144.128.85,,,,NOERROR,,,,,,
,telemetry.octopus.com,"13.107.253.44, 13.107.226.44","2620:1ec:29:1::44, 2620:1ec:48:1::44","telemetry-octopus-com-g3gzcwfwfwd3bffd.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0016.t-0009.fb-t-msedge.net, part-0016.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,test.ondemand.octopus.com,52.187.209.41,,,"ns-513.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,azure,,,,
,vpn-uswe2.cloud.octopus.com,,,,,NOERROR,,,,,,
,webip-wwwexternal-domain.cloud.octopus.com,,,,,NOERROR,,,,,,
,www.a.dev.octopus.com,"13.107.237.44, 13.107.238.44",,"octo-public-dev-a-endpoint-fgfggge9eeerh8be.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,www.b.dev.octopus.com,"13.107.226.67, 13.107.253.67","2620:1ec:29:1::67, 2620:1ec:48:1::67","octo-public-dev-b-endpoint-dme2a4crfxdeghg4.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0039.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0039.t-0009.fb-t-msedge.net, part-0039.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,www.c.dev.octopus.com,"13.107.226.67, 13.107.253.67","2620:1ec:29:1::67, 2620:1ec:48:1::67","octo-public-dev-c-endpoint-cjedcqczhggfhsbb.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0039.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0039.t-0009.fb-t-msedge.net, part-0039.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,www.octopus.com,"13.107.229.23, 13.107.228.23","2620:1ec:4b::23, 2620:1ec:4a::23","octo-public-prod-endpoint-f2e5gmecbdf3bfg9.z01.azurefd.net, region-azurefd-prod-ts1.trafficmanager.net, dual.part-0012.t-0009.t-s1-msedge.net, part-0012.t-0009.t-s1-msedge.net","ns1.t-s1-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
,www.preprod.octopus.com,"13.107.253.40, 13.107.226.40","2620:1ec:48:1::40, 2620:1ec:29:1::40","octo-public-preprod-endpoint-dxckangxase3b5cs.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0012.t-0009.fb-t-msedge.net, part-0012.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
