new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,txt,caa,has_internal_ips,internal_ips,mx
[x],catalog.next.airbnb.com,"96.16.54.113, 96.16.54.161","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ccapi.next.airbnb.com,"96.16.54.161, 96.16.54.113","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ccmt.next.airbnb.com,"184.51.149.97, 184.51.149.50","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cdn.next.airbnb.com,"95.101.111.158, 95.101.111.163","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cdq-api.next.airbnb.com,"104.126.37.154, 104.126.37.162","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cdx.muscache.com,"2.16.110.96, 2.16.110.32","san.airbnb.com.edgekey.net, e118243.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ceqed.next.airbnb.com,"96.16.54.113, 96.16.54.161","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cerberus.airbnb-aws.com,54.209.5.45,"i-0ee1eac491086fbce.inst.aws.us-east-1.prod.musta.ch, ec2-54-209-5-45.compute-1.amazonaws.com, i-058112e7b78472405.inst.aws.us-east-1.prod.musta.ch, ec2-52-23-221-146.compute-1.amazonaws.com, i-0f626dba0cf0932de.inst.aws.us-east-1.prod.musta.ch, i-01dab8cd0f2c19d9b.inst.aws.us-east-1.prod.musta.ch, ec2-54-167-193-190.compute-1.amazonaws.com, i-07510d14cbc300be2.inst.aws.us-east-1.prod.musta.ch, ec2-52-87-174-251.compute-1.amazonaws.com, i-078f688cd19126337.inst.aws.us-east-1.prod.musta.ch, ec2-54-88-5-64.compute-1.amazonaws.com, i-0d3272f8813c9fa5b.inst.aws.us-east-1.prod.musta.ch, ec2-18-206-210-133.compute-1.amazonaws.com, i-0bc901cfc5c1f1681.inst.aws.us-east-1.prod.musta.ch, ec2-3-91-214-154.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],cerberus.next.airbnb.com,"2.16.241.73, 2.16.241.98","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cert.next.airbnb.com,"2.16.110.17, 2.16.110.59","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],certificate.next.airbnb.com,"23.0.174.82, 23.0.174.120","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cfcdn.media.muscache.com,"2.16.187.11, 2.16.187.115","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cgl-airbnbnow.airbnb.app,,,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],cgogol2.merchdirect.next.airbnb.com,"88.221.24.56, 88.221.24.9","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],charon-themis.airbnb-aws.com,"3.80.145.236, 54.92.211.86, 54.82.181.38, 34.207.153.20, 184.73.72.141, 54.211.78.141, 107.20.63.239, 3.81.126.193, 52.91.141.72, 52.23.153.207, 54.145.201.146, 54.198.167.55, 3.86.158.1, 3.84.157.42, 54.165.19.254, 34.227.108.36, 54.89.173.231, 54.198.2.92, 52.23.193.131, 54.242.239.136, 54.161.20.126, 54.89.240.215, 54.209.226.178, 52.23.243.102, 107.21.76.214, 18.207.223.215, 54.196.56.138, 54.91.75.44, 54.234.133.158, 3.94.134.14, 54.92.243.48, 52.91.234.217, 54.204.220.120, 54.236.6.215, 3.91.253.183, 3.91.241.252, 3.85.230.78, 52.91.173.103, 35.170.50.110, 3.81.148.227, 54.89.243.198, 35.175.148.92, 3.84.194.75, 44.207.3.225, 54.175.203.157, 54.175.179.142, 23.20.51.2, 54.165.7.89, 34.201.220.143, 54.89.227.98, 54.196.155.82, 44.201.173.28, 54.196.119.113, 52.90.40.241, 54.162.41.126, 54.145.27.64, 54.224.149.37, 54.196.103.71, 3.90.208.167, 54.209.67.170, 54.158.231.206, 54.84.71.13, 100.26.111.49, 44.201.244.33, 54.162.224.83, 34.230.92.228, 54.224.113.7, 44.212.21.51, 3.93.190.42, 18.234.218.202, 34.238.51.66, 50.16.42.177, 54.145.21.201, 54.205.23.198, 75.101.198.80, 3.83.221.19, 54.80.49.61, 3.91.8.224, 44.212.30.151, 54.145.18.160, 54.91.3.66, 54.174.165.179, 34.228.195.130, 184.73.64.120, 3.86.70.74, 174.129.69.120, 54.87.143.172, 3.90.59.28, 3.90.61.207, 3.93.199.31",,"ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],charon.aws.airbnb.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],check.next.airbnb.com,"2.20.142.83, 92.122.215.11","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],chef.admin-lite.airbnb.com,34.120.23.133,"admin-lite.airbnb.com, admin-lite-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz","ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,2600:1901:0:7a6a::,,True,google,,,,,
[x],chef.withairbnb.com,54.82.120.239,,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1516.awsdns-61.org, ns-1885.awsdns-43.co.uk, ns-504.awsdns-63.com, ns-958.awsdns-55.net",,,,,,,
[x],chesspre.logs.next.airbnb.com,"2.20.142.83, 92.122.215.11","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],chj.evd.next.airbnb.com,"104.126.37.154, 104.126.37.162","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ci.next.airbnb.com,,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cim-api-dev.next.airbnb.com,"23.53.43.56, 23.53.43.51","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
