new,host,a,cname,soa,status_code,aaaa,txt,has_internal_ips,internal_ips,cdn,cdn-name,ns,caa,mx
[x],api-claimsreturns-dev.nike.net,104.102.19.236,"api-claimsreturns-dev.nike.net.edgekey.net, e1894.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-claimsreturns-qa.nike.net,104.81.107.53,"api-claimsreturns-qa.nike.net.edgekey.net, e1894.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-claimsreturns-sec.nike.net,95.101.176.100,"api-claimsreturns-sec.nike.net.edgekey.net, e1894.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-content-preprod.nike.net,23.0.212.220,"api-content-preprod.nike.net.edgekey.net, e1894.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:28a::766, 2a02:26f0:c900:29e::766",,,,,,,,
[x],api-content.nike.net,92.123.235.37,"api-content.nike.net.edgekey.net, e1894.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:b200:1a6::766, 2a02:26f0:b200:189::766",,,,,,,,
[x],api-ctm-qa.nike.com,23.35.208.66,"ctm.nike.com.edgekey.net, ctm.nike.com.edgekey.net.globalredir.akadns.net, e2698.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-dev1.nike.com,50.18.73.185,,"ns-n1.nike.com, hostmaster.nike.com",NOERROR,,,,,,,,,
[x],api-edge.pes-preprod.nike.com,,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-int-invoicebilling-sec.nike.net,"10.231.117.62, 10.231.116.244, 10.231.116.45",api-int.invoicebilling-sec.nike.net,"ns-352.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.231.117.62, 10.231.116.244, 10.231.116.45",,,,,
[x],api-internal.data360.edf.nike.net,,,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-invoicebilling-dev.nike.net,104.81.107.53,"api-invoicebilling-dev.nike.net.edgekey.net, e1894.x.akamaiedge.net",,NOERROR,,,,,,,,,
[x],api-invoicebilling-sec.nike.net,184.25.217.63,"api-invoicebilling-sec.nike.net.edgekey.net, e1894.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-jordan.carrier.shipment.ship.non.thecommons.nike.com,"10.180.109.207, 10.180.110.51, 10.180.106.114, 10.180.104.236",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.180.109.207, 10.180.110.51, 10.180.106.114, 10.180.104.236",,,,,
[x],api-jordan.shipment.ship.non.thecommons.nike.com,"10.232.139.3, 10.232.134.46, 10.232.137.158",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.232.139.3, 10.232.134.46, 10.232.137.158",,,,,
[x],api-origin.deliver0xdeb130.prd.thecommons.nike.com,"108.157.214.111, 108.157.214.97, 108.157.214.99, 108.157.214.29",,"ns-1387.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.gblcgw0xb7f3e4.non.thecommons.nike.com,"52.222.236.16, 52.222.236.21, 52.222.236.38, 52.222.236.28",d1lwi2wefq0yd5.cloudfront.net,"ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1468.awsdns-55.org, ns-182.awsdns-22.com, ns-1894.awsdns-44.co.uk, ns-797.awsdns-35.net",,
[x],api-origin.gblcgw0xb7f3e4.prd.thecommons.nike.com,"108.138.217.113, 108.138.217.121, 108.138.217.129, 108.138.217.14",d3qmidu9a9jq2b.cloudfront.net,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1312.awsdns-36.org, ns-1772.awsdns-29.co.uk, ns-21.awsdns-02.com, ns-994.awsdns-60.net",,
[x],api-origin.gflstnc.non.thecommons.nike.com,"108.157.4.36, 108.157.4.5, 108.157.4.28, 108.157.4.44",,"ns-140.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.gflstnc.prd.thecommons.nike.com,"108.138.7.40, 108.138.7.80, 108.138.7.4, 108.138.7.25",,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.gflstnc.sbx.thecommons.nike.com,"108.138.51.26, 108.138.51.79, 108.138.51.88, 108.138.51.89",,"ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.order.prd.thecommons.nike.com,"13.225.78.90, 13.225.78.72, 13.225.78.13, 13.225.78.99",d1ygiahmi48ahk.cloudfront.net,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.ship.non.thecommons.nike.com,"13.32.99.14, 13.32.99.44, 13.32.99.84, 13.32.99.125",d37xsq3dzynffa.cloudfront.net,"ns-52.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-52.awsdns-06.com, ns-947.awsdns-54.net, ns-1395.awsdns-46.org, ns-1841.awsdns-38.co.uk",,
[x],api-origin.ship.prd.thecommons.nike.com,"18.65.39.116, 18.65.39.24, 18.65.39.38, 18.65.39.90",dscwp60wn7457.cloudfront.net,"ns-1285.awsdns-32.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1681.awsdns-18.co.uk, ns-241.awsdns-30.com, ns-710.awsdns-24.net, ns-1285.awsdns-32.org",,
[x],api-origin.ship.sbx.thecommons.nike.com,,d39uz3z6umm55t.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],api-origin.stage.non.thecommons.nike.com,"108.139.47.77, 108.139.47.66, 108.139.47.43, 108.139.47.69",,"ns-1049.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-origin.stage.prd.thecommons.nike.com,"18.154.144.31, 18.154.144.122, 18.154.144.5, 18.154.144.96",,"ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api-parisrtltours-dev.gbm.nike.com,,,"ns-98.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-parisrtltours-lab.gbm.nike.com,,,"ns-98.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-parisrtltours-qa.gbm.nike.com,,,"ns-98.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-parisrtltours-uat.gbm.nike.com,,,"ns-98.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-preprod.nike.com,104.76.200.78,"wildcard-api.nike.com.edgekey.net, e2698.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-preprod.nike.net,,api-preprod.nikecloud.net,"ns-51.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,api-preprod,,,,,,,
[x],api-product.pes-prod.nike.com,205.251.194.203,,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-715.awsdns-25.net, ns-417.awsdns-52.com, ns-1996.awsdns-57.co.uk, ns-1449.awsdns-53.org",,
[x],api-qa.avail-test.nike.net,"10.243.73.107, 10.243.74.180",,"ns-897.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.243.73.107, 10.243.74.180",,,,,
[x],api-stg.nike.net,184.25.217.63,"api-stg.nike.net.edgekey.net, e1894.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100:784::766, 2a02:26f0:3100:78c::766",,,,,,,,
[x],api-szebro.us-west-2.test.nifi.nike.com,,,"ns-681.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-tie6.nike.com,50.18.73.185,,"ns-n1.nike.com, hostmaster.nike.com",NOERROR,,,,,,,,,
[x],api.airmax.ship.non.thecommons.nike.com,"108.128.181.50, 52.210.169.116, 63.32.41.26",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.airmax.ship.prd.thecommons.nike.com,"54.155.218.173, 52.49.53.254, 52.211.38.231",,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.airmax.ship.sbx.thecommons.nike.com,"52.208.119.14, 54.154.134.21, 34.241.157.146",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.audiencemanager-dev.nike.com,"54.152.126.184, 50.16.197.254",audience-manager-alb-200877560.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.carrierint.non.thecommons.nike.com,"63.32.207.196, 34.255.163.66, 52.51.125.115",,"ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.carrierint.prd.thecommons.nike.com,"63.33.111.150, 52.208.246.114, 99.80.170.213",,"ns-1083.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.converse.com,184.85.147.12,"api.converse.com.edgekey.net, e16626.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.customer.edf.nike.net,"52.10.67.198, 52.33.174.177, 54.218.134.158",,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.dbt.svs.nike.com,"54.71.92.24, 34.218.179.206, 54.70.16.44",,"ns-279.awsdns-34.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.deez.ship.sbx.thecommons.nike.com,"34.250.88.204, 99.81.126.82, 18.203.210.118",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.deliver0xdeb130.non.thecommons.nike.com,95.100.71.180,"api.deliver0xdeb130.non.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.deliver0xdeb130.prd.thecommons.nike.com,95.100.71.180,"api.deliver0xdeb130.prd.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.dev.qr.converse.com,"52.211.115.129, 52.19.57.169",,"ns-1169.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.development.carrierint.sbx.thecommons.nike.com,"54.77.251.254, 63.33.94.174, 52.208.61.219",,"ns-826.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.development.inblog.sbx.thecommons.nike.com,,,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.development.lblprnt80ddbe82.sbx.thecommons.nike.com,"18.66.122.72, 18.66.122.88, 18.66.122.99, 18.66.122.73",,"ns-1871.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.edf.nike.net,,,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.exp.gvc.nike.com,"35.85.187.16, 34.214.220.27",,"ns-584.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.gblcgw0xb7f3e4.non.thecommons.nike.com,"2.20.132.125, 2.20.132.154","api.gblcgw0xb7f3e4.non.thecommons.nike.com.edgekey.net, e31097.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.gblcgw0xb7f3e4.prd.thecommons.nike.com,"95.101.74.148, 95.101.74.154","api.gblcgw0xb7f3e4.prd.thecommons.nike.com-v1.edgekey.net, e31097.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.gblcgw0xb7f3e4.sbx.thecommons.nike.com,"23.11.206.32, 23.11.206.40","api.gblcgw0xb7f3e4.sbx.thecommons.nike.com.edgekey.net, e31097.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.gcwechatwork.nike.com,,whb2lqwpsvshhcdtqtpafwtsrmtihkir.yundunwaf2.com,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,,,,,,,,,
[x],api.gem-nonprod-stage.platforms.nike.com,"34.210.161.100, 52.11.133.86, 52.37.151.253",,"ns-513.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.gem-nonprod.platforms.nike.com,"52.10.121.34, 52.39.160.66, 44.231.172.48",,"ns-926.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.gem-stage.platforms.nike.com,"44.231.91.122, 54.71.236.249, 35.155.238.226",,"ns-1710.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1062.awsdns-04.org, ns-1710.awsdns-21.co.uk, ns-238.awsdns-29.com, ns-965.awsdns-56.net",,
[x],api.gflstnc.prd.thecommons.nike.com,95.100.71.180,"api.gflstnc.prd.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.gflstnc.sbx.thecommons.nike.com,23.45.98.125,"api.gflstnc.sbx.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.inblog.non.thecommons.nike.com,"13.32.121.102, 13.32.121.79, 13.32.121.9, 13.32.121.59",,"ns-30.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.inblog.prd.thecommons.nike.com,"18.66.112.66, 18.66.112.125, 18.66.112.51, 18.66.112.107",,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.jordan.ship.prd.thecommons.nike.com,"44.215.191.188, 54.90.209.29, 54.152.152.103",,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.kursk.ship.non.thecommons.nike.com,"54.75.238.182, 63.32.145.6, 52.208.108.98",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.kursk.ship.sbx.thecommons.nike.com,"52.212.54.163, 54.171.41.255, 99.80.165.112",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.lblprnt80ddbe82.non.thecommons.nike.com,"143.204.215.4, 143.204.215.117, 143.204.215.52, 143.204.215.103",,"ns-1151.awsdns-15.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.lblprnt80ddbe82.prd.thecommons.nike.com,"18.66.112.107, 18.66.112.44, 18.66.112.38, 18.66.112.90",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.lifeboat.ship.sbx.thecommons.nike.com,"18.244.146.128, 18.244.146.3, 18.244.146.92, 18.244.146.102",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],api.lighthouse.ship.sbx.thecommons.nike.com,"34.254.15.123, 34.252.203.31, 54.228.161.102",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.nike.com,"2.20.132.145, 2.20.132.148, 2.20.132.155, 2.20.132.109, 2.20.132.119, 2.20.132.134, 2.20.132.139, 2.20.132.141, 2.20.132.144","api.nike.com.edgekey.net, api.nike.com.edgekey.net.globalredir.akadns.net, e31062.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.nike.net,184.25.217.63,"api.nike.net.edgekey.net, e1894.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:1700:386::766, 2a02:26f0:1700:38d::766",,,,,,,,
[x],api.npe.nike.com,"95.101.74.148, 95.101.74.154","api.npe.nike.com.edgekey.net, e31097.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.order.non.thecommons.nike.com,104.64.35.136,"api.order.non.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.order.prd.thecommons.nike.com,23.212.222.123,"api.order.prd.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.order.sbx.thecommons.nike.com,104.96.139.123,"api.order.sbx.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.pedimento.nodemgmt0x54c52c.non.thecommons.nike.com,184.85.147.94,"api.pedimento.nodemgmt0x54c52c.non.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.pedimento.nodemgmt0x54c52c.sbx.thecommons.nike.com,23.212.222.123,"api.pedimento.nodemgmt0x54c52c.sbx.thecommons.nike.com.edgekey.net, e16954.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.pegasus.ship.non.thecommons.nike.com,"54.150.77.153, 54.249.235.152, 52.192.145.231",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.pegasus.ship.prd.thecommons.nike.com,"54.150.192.103, 54.150.238.25, 13.113.246.159",,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1291.awsdns-33.org, ns-155.awsdns-19.com, ns-1574.awsdns-04.co.uk, ns-715.awsdns-25.net",,
[x],api.pegasus.ship.sbx.thecommons.nike.com,"52.68.203.98, 52.199.1.237, 13.114.46.207",,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1184.awsdns-20.org, ns-1706.awsdns-21.co.uk, ns-515.awsdns-00.net, ns-86.awsdns-10.com",,
[x],api.preprod.qr.converse.com,"54.154.127.76, 52.210.110.132",,"ns-348.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.prod.bre.nike.com,"54.144.45.28, 54.159.115.162",,"ns-1960.awsdns-53.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.product.edf.nike.net,"44.227.127.145, 44.238.127.221, 35.81.145.110",,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
