new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,ns,cdn,cdn-name,aaaa,txt,caa,mx
[x],storybook.standard.com,,"ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"domains.chromatic.com, chromatic.domains.qloaked.com",,,,True,google,,,,
[x],the.standard.com,"3.126.202.50, 3.69.136.55","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,"366f653dc5b64ac88a21d3d44a534dec.unbouncepages.com, unbouncepages.com",,,"ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net",,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"amazon.com, comodoca.com, globalsign.com, letsencrypt.org",
[x],uat-api.pas.standard.com,,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,"pas-traffic-manager-uat.trafficmanager.net, pas-uat.westus.cloudapp.azure.com",,,,,,,,,
[x],ucupdates-r2.standard.com,"198.182.194.58, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"ns4.p14.dynect.net, ns1.p14.dynect.net, stdnsdfw1.standard.com, ns2.p14.dynect.net, ns3.p14.dynect.net, stdname4.standard.com",,,,,,
[x],video.standard.com,198.182.194.26,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],wa2.www3.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,www3.standard.com,,,,,,,,,
[x],wa4.www3.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,www3.standard.com,,,,,,,,,
[x],wa5.www3.standard.com,"198.182.194.153, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,www3.standard.com,,,"ns3.p14.dynect.net, stdname4.standard.com, ns2.p14.dynect.net, stdnsdfw1.standard.com, ns1.p14.dynect.net, ns4.p14.dynect.net",,,,,,
[x],whl.standard.com,40.112.128.137,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,True,azure,,,,
[x],workspace-aauth.standard.com,20.119.110.6,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],workspace.standard.com,"13.107.253.45, 13.107.226.45","ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",NOERROR,"vds-production-0002.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,,,,,"2620:1ec:29:1::45, 2620:1ec:48:1::45",,,
[x],www.standard.com,52.36.131.229,"dns-external-master.amazon.com, root.amazon.com",NOERROR,ec2-52-36-131-229.us-west-2.compute.amazonaws.com,,,,,,,,,
[x],www.www3.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],www3.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
