new,host,a,soa,ns,status_code,mx,cname,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa
,ae.o2.de,,"ns0.transip.net, hostmaster.transip.nl",,NOERROR,"mail.enem.nl, mail2.enem.nl",e.accepteasy.com,,,,v=spf1 ip4:85.17.232.71 ip4:85.17.232.72 ip4:85.17.206.20 ip4:85.17.144.204 ip4:87.251.37.137 ip4:87.251.37.181 -all,,,
,ae2.ayyildiz.de,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com","ns-1107.awsdns-10.org, ns-1800.awsdns-33.co.uk, ns-384.awsdns-48.com, ns-894.awsdns-47.net",NOERROR,smtp.eu.sparkpostmail.com,eu.sparkpostmail.com,,,,"202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,,
,ae2.o2.de,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",,NOERROR,,eu.sparkpostmail.com,,,,,,,
,affiliate.o2business.de,217.111.103.35,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,akslb.daai-prod.ddc.telefonica.de,10.190.6.100,"ns1.telefonica.de, hostmaster.telefonica.de",,NOERROR,,,,,,,True,10.190.6.100,
,akslb.daai-test.ddc.telefonica.de,10.190.3.100,"ns1.telefonica.de, hostmaster.telefonica.de","ns1.telefonica.de, ns2.telefonica.de, ns3.telefonica.de",NOERROR,,,,,,,True,10.190.3.100,
,aktion.ayyildiz.de,195.230.102.171,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,aktion.base.de,194.245.72.225,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,aktionen.base.de,217.69.73.134,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,al.o2online.de,85.183.254.1,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,alditalk-kundenbetreuung.de,194.245.166.2,,,NOERROR,,,,,,,,,
,alertmanager.staging.dap.next.telefonica.de,"3.122.197.72, 3.121.135.34","ns-230.awsdns-28.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"heritage=external-dns,external-dns/owner=default",,,
,alf.sg.de.o2.com,82.113.116.13,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,alicemail.dsl.o2online.de,88.44.60.17,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,alm-sso.telefonica.de,82.113.113.177,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,,,
,amazon.o2business.de,213.20.244.125,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,analysts.next.telefonica.de,18.194.213.8,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,,,
,angebote.base.de,,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,angebote.blau.de,193.239.185.61,"anycast.regdns1.de, hostmaster.internetwire.de",,NOERROR,inbound.permission-one.de,,,,,v=spf1 mx include:nl-sent.de -all,,,
,angebote.webviews.blau.de,"108.156.60.20, 108.156.60.105, 108.156.60.26, 108.156.60.44","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-1218.awsdns-24.org, ns-1589.awsdns-06.co.uk, ns-484.awsdns-60.com, ns-950.awsdns-54.net",NOERROR,,d1au83jaqbhag9.cloudfront.net,"2600:9000:223d:200:6:44d0:8a40:93a1, 2600:9000:223d:5800:6:44d0:8a40:93a1, 2600:9000:223d:fc00:6:44d0:8a40:93a1, 2600:9000:223d:6800:6:44d0:8a40:93a1, 2600:9000:223d:9e00:6:44d0:8a40:93a1, 2600:9000:223d:7000:6:44d0:8a40:93a1, 2600:9000:223d:9200:6:44d0:8a40:93a1, 2600:9000:223d:b200:6:44d0:8a40:93a1",True,cloudfront,,,,
,angebote.webviews.o2online.de,"52.222.214.76, 52.222.214.74, 52.222.214.79, 52.222.214.20","ns-1049.awsdns-03.org, awsdns-hostmaster.amazon.com","ns-1049.awsdns-03.org, ns-2020.awsdns-60.co.uk, ns-41.awsdns-05.com, ns-975.awsdns-57.net",NOERROR,,,,True,cloudfront,,,,
,anti-virus.mein.simfinity.de,194.245.166.8,"ns1.p7s1ns.de, domains.prosiebensat1.com",,NOERROR,,,,,,,,,
,antivirus-free.mein.simfinity.de,194.245.166.8,"ns1.p7s1ns.de, domains.prosiebensat1.com",,NOERROR,,,,,,,,,
,aolsuche.o2.de,85.183.254.10,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,ap-int.o2.com,158.230.101.182,"n1.02.net, hostmaster.02.net",,NOERROR,,,,,,,,,
,ap.o2.com,158.230.101.158,"n1.02.net, hostmaster.02.net",,NOERROR,,,,,,,,,
,api-consent-coms.alditalk-kundenbetreuung.de,82.113.101.144,"ns.udag.de, hostmaster.united-domains.de",,NOERROR,,,,,,,,,
,api.fonic-mobile.de,,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,www.fonic-mobile.de,,,,,,,
,api.fonic.de,212.23.125.147,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,www.fonic.de,,,,,,,
,api.nica-live.telefonica.de,51.116.145.38,"ns1-224.azure-dns.com, msnhst.microsoft.com",,NOERROR,,"nica-live.azurewebsites.net, hosts.nica-live.azurewebsites.net",,True,azure,,,,
,api.nica-test.telefonica.de,51.116.145.38,"ns1-224.azure-dns.com, msnhst.microsoft.com",,NOERROR,,"nica-test.azurewebsites.net, hosts.nica-test.azurewebsites.net",,True,azure,,,,
,api.o2business.de,"141.101.90.97, 141.101.90.98, 141.101.90.96, 141.101.90.99","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,,api.o2business.de.cdn.cloudflare.net,,True,cloudflare,,,,
,apigw.telefonica.de,82.113.101.186,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,,,
,app-gateway.dev.lab.o2online.de,"3.74.102.246, 54.93.129.88, 3.121.20.63","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com","ns-1058.awsdns-04.org, ns-1737.awsdns-25.co.uk, ns-18.awsdns-02.com, ns-708.awsdns-24.net",NOERROR,,,,,,,,,
,app-hilfe-uat.o2online.de,2.18.232.8,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,"vanity7.jiveon.com.edgekey.net, e19.dscb.akamaiedge.net","2a02:26f0:1700:182::13, 2a02:26f0:1700:181::13",,,,,,
,app-hilfe.o2online.de,184.30.20.7,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,"vanity7.jiveon.com.edgekey.net, e19.dscb.akamaiedge.net","2a02:26f0:7100:2aa::13, 2a02:26f0:7100:2b6::13",,,,,,
