new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,mx,caa,txt
[x],mr-1025.staging.geckoterminal.com,"104.22.55.153, 172.67.22.148, 104.22.54.153",,"jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1027.staging.geckoterminal.com,"104.22.54.153, 104.22.55.153, 172.67.22.148","2606:4700:10::6816:3699, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1029.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3699, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-103.staging.geckoterminal.com,"104.22.54.153, 172.67.22.148, 104.22.55.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3799, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1030.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3799, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1041.staging-app.geckoterminal.com,"3.21.225.149, 18.190.92.226, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1043.staging.geckoterminal.com,"104.22.54.153, 172.67.22.148, 104.22.55.153","2606:4700:10::6816:3699, 2606:4700:10::6816:3799, 2606:4700:10::ac43:1694","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1045.staging-app.geckoterminal.com,"3.21.225.149, 18.190.92.226, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1045.staging.geckoterminal.com,"104.22.54.153, 104.22.55.153, 172.67.22.148","2606:4700:10::6816:3699, 2606:4700:10::6816:3799, 2606:4700:10::ac43:1694","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1047.staging-app.geckoterminal.com,"18.190.92.226, 3.21.225.149, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1048.staging-app.geckoterminal.com,"3.14.232.19, 3.21.225.149, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1048.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3699, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1049.staging-app.geckoterminal.com,"18.190.92.226, 3.14.232.19, 3.21.225.149",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1049.staging.geckoterminal.com,,,"jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1053.staging-app.geckoterminal.com,"3.21.225.149, 3.14.232.19, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1053.staging.geckoterminal.com,"104.22.54.153, 104.22.55.153, 172.67.22.148","2606:4700:10::6816:3699, 2606:4700:10::6816:3799, 2606:4700:10::ac43:1694","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1054.staging-app.geckoterminal.com,"3.21.225.149, 18.190.92.226, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, ns-127.awsdns-15.com, ns-1722.awsdns-23.co.uk, ns-598.awsdns-10.net",,,
[x],mr-1057.staging-app.geckoterminal.com,"3.14.232.19, 3.21.225.149, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-106.staging.geckoterminal.com,"104.22.54.153, 104.22.55.153, 172.67.22.148","2606:4700:10::ac43:1694, 2606:4700:10::6816:3699, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1061.staging-app.geckoterminal.com,"3.21.225.149, 3.14.232.19, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1065.staging-app.geckoterminal.com,"3.14.232.19, 3.21.225.149, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1067.staging-app.geckoterminal.com,"3.14.232.19, 18.190.92.226, 3.21.225.149",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-107.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3699, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1071.staging-app.geckoterminal.com,"3.14.232.19, 3.21.225.149, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1074.staging-app.geckoterminal.com,"18.190.92.226, 3.14.232.19, 3.21.225.149",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1077.staging-app.geckoterminal.com,"3.21.225.149, 18.190.92.226, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1078.staging-app.geckoterminal.com,"3.21.225.149, 3.14.232.19, 18.190.92.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
[x],mr-1081.staging-app.geckoterminal.com,"18.190.92.226, 3.14.232.19, 3.21.225.149",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
