new,host,a,soa,status_code,ns,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,caa,mx,txt
[x],205-185-200-215.wp.highwinds.com,205.185.200.215,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-217.wp.highwinds.com,205.185.200.217,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-219.wp.highwinds.com,,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-222.wp.highwinds.com,205.185.200.222,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-223.wp.highwinds.com,205.185.200.223,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-225.wp.highwinds.com,205.185.200.225,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-226.wp.highwinds.com,205.185.200.226,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-227.wp.highwinds.com,205.185.200.227,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-228.wp.highwinds.com,205.185.200.228,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-229.wp.highwinds.com,205.185.200.229,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-230.wp.highwinds.com,205.185.200.230,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-231.wp.highwinds.com,205.185.200.231,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-232.wp.highwinds.com,205.185.200.232,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-233.wp.highwinds.com,205.185.200.233,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-236.wp.highwinds.com,205.185.200.236,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-237.wp.highwinds.com,205.185.200.237,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-238.wp.highwinds.com,205.185.200.238,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-24.wp.highwinds.com,205.185.200.24,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-241.wp.highwinds.com,205.185.200.241,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-242.wp.highwinds.com,205.185.200.242,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-243.wp.highwinds.com,205.185.200.243,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-244.wp.highwinds.com,205.185.200.244,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-245.wp.highwinds.com,205.185.200.245,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-247.wp.highwinds.com,205.185.200.247,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-248.wp.highwinds.com,205.185.200.248,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-249.wp.highwinds.com,205.185.200.249,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-250.wp.highwinds.com,205.185.200.250,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-251.wp.highwinds.com,205.185.200.251,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-252.wp.highwinds.com,205.185.200.252,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-253.wp.highwinds.com,205.185.200.253,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-254.wp.highwinds.com,205.185.200.254,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-255.wp.highwinds.com,205.185.200.255,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-28.wp.highwinds.com,205.185.200.28,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-3.wp.highwinds.com,205.185.200.3,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-35.wp.highwinds.com,205.185.200.35,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-39.wp.highwinds.com,205.185.200.39,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-4.wp.highwinds.com,205.185.200.4,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-40.wp.highwinds.com,205.185.200.40,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-45.wp.highwinds.com,205.185.200.45,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-46.wp.highwinds.com,205.185.200.46,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-47.wp.highwinds.com,205.185.200.47,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-48.wp.highwinds.com,205.185.200.48,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-49.wp.highwinds.com,205.185.200.49,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-5.wp.highwinds.com,205.185.200.5,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-50.wp.highwinds.com,205.185.200.50,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-51.wp.highwinds.com,205.185.200.51,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-52.wp.highwinds.com,205.185.200.52,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-53.wp.highwinds.com,205.185.200.53,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-59.wp.highwinds.com,205.185.200.59,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-6.wp.highwinds.com,205.185.200.6,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-60.wp.highwinds.com,205.185.200.60,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-61.wp.highwinds.com,205.185.200.61,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-62.wp.highwinds.com,205.185.200.62,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-63.wp.highwinds.com,205.185.200.63,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-64.wp.highwinds.com,205.185.200.64,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-65.wp.highwinds.com,205.185.200.65,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-66.wp.highwinds.com,205.185.200.66,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-67.wp.highwinds.com,205.185.200.67,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-68.wp.highwinds.com,205.185.200.68,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-7.wp.highwinds.com,205.185.200.7,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-70.wp.highwinds.com,205.185.200.70,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
