new,host,cname,soa,status_code,a,aaaa,txt,cdn,cdn-name,ns,mx
[x],slack-chat.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.90, 18.173.233.78, 18.173.233.38, 18.173.233.126",,,True,cloudfront,,
[x],slack-chat.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.145.70, 13.32.145.57, 13.32.145.50, 13.32.145.112",,,True,cloudfront,,
[x],slack.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.119, 13.225.78.5, 13.225.78.51, 13.225.78.111",,,True,cloudfront,,
[x],slack.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"52.85.242.16, 52.85.242.115, 52.85.242.125, 52.85.242.84",,,True,cloudfront,,
[x],small.eiaunauthorized.dev.trello.services,serviceslb2.dev.trello.systems,"ns-1882.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],spemail.trello.com,atlassian.mail.e.sparkpost.com,"ns-1031.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 exists:%{i}._spf.sparkpostmail.com ~all,,,,atlassian.mx.e.sparkpost.com
[x],sptrack.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.112.110, 18.66.112.20, 18.66.112.39, 18.66.112.48",,,True,cloudfront,,
[x],staging.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,"ns-1442.awsdns-52.org, ns-2013.awsdns-59.co.uk, ns-402.awsdns-50.com, ns-722.awsdns-26.net",
[x],static.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],status.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.112.113, 18.66.112.78, 18.66.112.128, 18.66.112.24",,,True,cloudfront,,
[x],support.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.13, 99.86.4.28, 99.86.4.87, 99.86.4.69",,,True,cloudfront,,
