new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,cdn,cdn-name,txt,ns,mx,aaaa
[x],comms.indmoney.com,"10.0.56.149, 10.0.1.141, 10.0.87.255","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.56.149, 10.0.1.141, 10.0.87.255",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,
[x],core-dev-cdn.indiawealth.in,"104.18.8.213, 104.18.9.213","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,core-dev-cdn.indiawealth.in.cdn.cloudflare.net,True,cloudflare,,,,
[x],crypto.indiawealth.in,"3.7.36.7, 13.127.236.47, 15.206.43.205","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,k8s-finzoomersprodpub-157e7f7ed2-363811747.ap-south-1.elb.amazonaws.com,,,,,,
[x],dev-cdn.indiawealth.in,"18.66.248.45, 18.66.248.40, 18.66.248.120, 18.66.248.83","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,
[x],dev-core.indiawealth.in,"192.168.2.236, 192.168.1.78","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"192.168.2.236, 192.168.1.78",NOERROR,internal-finzoom-1473748699.ap-south-1.elb.amazonaws.com,,,,,,
[x],dev-experian.indiawealth.in,13.232.93.119,"ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dev.indiawealth.in,"3.111.11.115, 3.7.221.31","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-dev-qa-610535260.ap-south-1.elb.amazonaws.com,,,,,,
[x],devops.indiawealth.in,"65.0.155.116, 65.1.40.212","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-dev-qa-2-860841003.ap-south-1.elb.amazonaws.com,,,,,,
[x],dwh.indiawealth.in,"10.0.1.141, 10.0.87.255, 10.0.56.149","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.141, 10.0.87.255, 10.0.56.149",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,,,
[x],ecs.indmoney.com,"104.18.31.240, 104.18.30.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],em5.indmoney.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,u22848650.wl151.sendgrid.net,,,v=spf1 include:sendgrid.net ~all,,mx.sendgrid.net,
[x],experian.indiawealth.in,35.154.65.15,"ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],federal.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],forex.indiawealth.in,"10.0.0.128, 10.0.1.134, 10.0.4.6","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.0.128, 10.0.1.134, 10.0.4.6",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],fwdkim1.indmoney.com,"13.225.78.40, 13.225.78.58, 13.225.78.59, 13.225.78.38","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,,NOERROR,spfmx1.domainkey.freshemail.io,True,cloudfront,v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,,"mxa.freshdesk.com, mxb.freshdesk.com, mx.sendgrid.net",
[x],goal.indiawealth.in,"3.108.113.172, 13.234.210.116, 65.1.17.81","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-public-648841217.ap-south-1.elb.amazonaws.com,,,,,,
[x],goal.indmoney.com,"104.18.31.240, 104.18.30.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],goals.indmoney.com,"3.108.113.172, 13.234.210.116, 65.1.17.81","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-public-648841217.ap-south-1.elb.amazonaws.com,,,,,,
[x],grafana.indiawealth.in,"10.0.5.164, 10.0.4.98, 10.0.1.18","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.5.164, 10.0.4.98, 10.0.1.18",NOERROR,,,,,,,
[x],hawkeye.indmoney.com,"20.0.4.76, 20.0.3.163","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,internal-private-elb-1973021721.ap-south-1.elb.amazonaws.com,,,,,,
[x],ind-investment.indiawealth.in,"52.66.144.226, 35.154.85.248, 65.1.200.38","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,prod-indmoney-public-alb-633532789.ap-south-1.elb.amazonaws.com,,,,,,
[x],indian-stock-broker.indiawealth.in,"3.7.244.50, 43.205.169.45","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,public-elb-1564005362.ap-south-1.elb.amazonaws.com,,,,,,
[x],indiawealth.in,"35.154.85.248, 65.1.200.38, 52.66.144.226","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,"cnxd6xpmh64hssbwnkkfwls5sc7khw1w, c2ztwxqlscpnzrlbdmwg1ljz465p52mj","ns-1101.awsdns-09.org, ns-1971.awsdns-54.co.uk, ns-368.awsdns-46.com, ns-547.awsdns-04.net",inbound-smtp.us-west-2.amazonaws.com,
[x],indisrupt.indmoney.com,"188.114.98.229, 188.114.99.229","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,"HSezoJXvTCtk47RhAiaN2lXvWgLrPn-D, MS=ms51794743, amazonses:59rvcY1KoeP/AbpAd2AEGfBc1vy9UNnj32TKip0nLAs=, facebook-domain-verification=mamsmgj9np3okz7jsq0wjys2k323ou, google-site-verification=CB8c_2HU0T5BWxlWXg0Hr0Y9LTpmngA5fu-GOqgdP5c, google-site-verification=ipZ0_bi-d3ep2Y8OBBOHwJ46Ka5y7Dx3xZ51aMFmqJQ, google-site-verification=u1u42qWI-5CiTvxv20ao9m0JwAsxsGvdNxa3-m2jL9I, google-site-verification=zqh1p1a5-ZYqSDoyJ5yNjkvT0mAXFli3S2SSG4RTBhU, segment-site-verification=HEBhYZmYEOu0tK5emwuMN5u7Z8UWoA1Z, v=spf1 include:_spf.google.com include:sender.zoho-books.in -all","damon.ns.cloudflare.com, dora.ns.cloudflare.com","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",
[x],insights.indmoney.com,,"damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,"google-site-verification=r1UwkysWVAEhZ8uS3d90pqUhurXcoq7kSyeZg-y3nQ4, v=spf1 include:_spf.google.com include:amazonses.com -all",,,
[x],kra.indiawealth.in,"20.0.4.76, 20.0.3.163","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,internal-private-elb-1973021721.ap-south-1.elb.amazonaws.com,,,,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,
[x],kra.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],loki.indiawealth.in,"10.0.1.141, 10.0.87.255, 10.0.56.149","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.141, 10.0.87.255, 10.0.56.149",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,,,
[x],metabase.indiawealth.in,"10.0.5.164, 10.0.1.18, 10.0.4.98","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.5.164, 10.0.1.18, 10.0.4.98",NOERROR,,,,,,,
[x],mf-ext.indiawealth.in,"13.127.94.206, 13.235.175.35, 13.126.112.16","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,"mf-ext.indiawealth.in.cdn.cloudflare.net, k8s-indwealthprodpubl-9b5aab2299-49812929.ap-south-1.elb.amazonaws.com",,,,,,
[x],mf-pp.indiawealth.in,"104.18.8.213, 104.18.9.213","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,mf-pp.indiawealth.in.cdn.cloudflare.net,True,cloudflare,,,,
[x],mf.indiawealth.in,"10.0.217.28, 10.0.180.198, 10.0.254.237","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.217.28, 10.0.180.198, 10.0.254.237",NOERROR,,,,,,,
[x],mycroft.indiawealth.in,"40.0.52.16, 40.0.36.204, 40.0.17.34","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,internal-k8s-finzoomersprodpri-6ff3646bab-1689312410.ap-south-1.elb.amazonaws.com,,,,,,
[x],nats.indmoney.com,3.111.24.176,"damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],notification-service.indiawealth.in,"10.0.87.255, 10.0.1.141, 10.0.56.149","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.87.255, 10.0.1.141, 10.0.56.149",NOERROR,,,,,,,
[x],octopus.indiawealth.in,"3.6.83.178, 43.205.16.10, 65.0.207.154","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],octopus.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],onboarding.indiawealth.in,"10.0.0.128, 10.0.4.6, 10.0.1.134","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.0.128, 10.0.4.6, 10.0.1.134",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],parser.indiawealth.in,"10.0.4.6, 10.0.0.128, 10.0.1.134","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.4.6, 10.0.0.128, 10.0.1.134",NOERROR,,,,,,,
[x],partner.indiawealth.in,"65.1.17.81, 13.234.210.116, 3.108.113.172","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-public-648841217.ap-south-1.elb.amazonaws.com,,,,,,
[x],partner.indmoney.com,"65.1.17.81, 3.108.113.172, 13.234.210.116","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-public-648841217.ap-south-1.elb.amazonaws.com,,,,,,
[x],payments.indiawealth.in,"65.0.83.248, 13.232.220.92","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,payments-1062747335.ap-south-1.elb.amazonaws.com,,,,,,
[x],payments.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],poc-stocks-basket.indmoney.com,"143.204.231.43, 143.204.231.7, 143.204.231.75, 143.204.231.118","ns-1056.awsdns-04.org, awsdns-hostmaster.amazon.com",,,NOERROR,d2fg2hy5mtfywq.cloudfront.net,True,cloudfront,,"ns-1056.awsdns-04.org, ns-12.awsdns-01.com, ns-1551.awsdns-01.co.uk, ns-530.awsdns-02.net",,"2600:9000:2113:9000:e:b560:de80:93a1, 2600:9000:2113:e400:e:b560:de80:93a1, 2600:9000:2113:8000:e:b560:de80:93a1, 2600:9000:2113:e200:e:b560:de80:93a1, 2600:9000:2113:5e00:e:b560:de80:93a1, 2600:9000:2113:ca00:e:b560:de80:93a1, 2600:9000:2113:7400:e:b560:de80:93a1, 2600:9000:2113:b800:e:b560:de80:93a1"
[x],poc.indmoney.com,,"ns-1598.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,dw3l59obvgkm0.cloudfront.net,True,cloudfront,,,,
[x],pre-prod.indmoney.com,,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,prod-indmoney-public-alb-633532789.ap-south-1.elb.amazonaws.com,,,,,,
[x],profile.indiawealth.in,"10.0.217.28, 10.0.254.237, 10.0.180.198","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.217.28, 10.0.254.237, 10.0.180.198",NOERROR,,,,,,,
[x],qa-jenkins.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],raven.indiawealth.in,"35.154.85.248, 52.66.144.226, 65.1.200.38","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,prod-indmoney-public-alb-633532789.ap-south-1.elb.amazonaws.com,,,,,,
[x],rewards-pp.indiawealth.in,"104.18.8.213, 104.18.9.213","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,rewards-pp.indiawealth.in.cdn.cloudflare.net,True,cloudflare,,,,
[x],sentry.indmoney.com,"10.0.1.141, 10.0.56.149, 10.0.87.255","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.141, 10.0.56.149, 10.0.87.255",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,,,
[x],servicedesk.indmoney.com,169.148.148.76,"ns1.zohocorp.com, dnsadmin.vtitan.com",,,NOERROR,"customer-sdpondemand.manageengine.in, zs-in1-lczhost.manageengine.in",,,,,,
[x],skooner.indiawealth.in,"10.0.1.18, 10.0.4.98, 10.0.5.164","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.1.18, 10.0.4.98, 10.0.5.164",NOERROR,,,,,,,
[x],sms-test.indiawealth.in,"10.0.87.255, 10.0.56.149, 10.0.1.141","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.87.255, 10.0.56.149, 10.0.1.141",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,,,
[x],sonarqube.indiawealth.in,"10.0.1.134, 10.0.0.128, 10.0.4.6","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.134, 10.0.0.128, 10.0.4.6",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],sonarqube.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],stage.indiawealth.in,"3.111.11.115, 3.7.221.31","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-dev-qa-610535260.ap-south-1.elb.amazonaws.com,,,,,,
[x],staging.indiawealth.in,"3.7.221.31, 3.111.11.115","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],statements.indmoney.com,"143.204.231.4, 143.204.231.124, 143.204.231.121, 143.204.231.71","ns-148.awsdns-18.com, awsdns-hostmaster.amazon.com",,,NOERROR,d3g3winsmhcuch.cloudfront.net,True,cloudfront,,"ns-1260.awsdns-29.org, ns-148.awsdns-18.com, ns-1764.awsdns-28.co.uk, ns-911.awsdns-49.net",,"2600:9000:2113:4e00:8:499b:6840:93a1, 2600:9000:2113:6600:8:499b:6840:93a1, 2600:9000:2113:200:8:499b:6840:93a1, 2600:9000:2113:7e00:8:499b:6840:93a1, 2600:9000:2113:c200:8:499b:6840:93a1, 2600:9000:2113:ca00:8:499b:6840:93a1, 2600:9000:2113:600:8:499b:6840:93a1, 2600:9000:2113:c00:8:499b:6840:93a1"
[x],static.indmoney.com,"104.18.31.240, 104.18.30.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],subscription.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],teleport.indiawealth.in,"10.0.254.237, 10.0.180.198, 10.0.217.28","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.254.237, 10.0.180.198, 10.0.217.28",NOERROR,,,,,,,
[x],track.indiawealth.in,"10.0.1.141, 10.0.87.255, 10.0.56.149","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.141, 10.0.87.255, 10.0.56.149",NOERROR,internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com,,,,,,
[x],transactions.indmoney.com,,"damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,"v=spf1 include:amazonses.com include:_spf.google.com -all, google-site-verification=KytfnpkZhZLBsTn-sVmEAFbfcN7THV5fqZ9UHYWsOtk",,,
[x],updates.indmoney.com,,"damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,"v=spf1 include:_spf.google.com include:amazonses.com -all, google-site-verification=Li2ejLGvbagyzYe0OSrmJliDAgTRwNJQ4BgV0fU_HTk",,,
[x],us-stocks-ext.indiawealth.in,"104.18.9.213, 104.18.8.213","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,us-stocks-ext.indiawealth.in.cdn.cloudflare.net,True,cloudflare,,"ns-1101.awsdns-09.org, ns-1971.awsdns-54.co.uk, ns-368.awsdns-46.com, ns-547.awsdns-04.net",,
[x],us-stocks-pp.indiawealth.in,"3.108.0.19, 15.207.128.52, 3.109.16.45","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,"us-stocks-pp.indiawealth.in.cdn.cloudflare.net, k8s-finzoomerspublic-040f39ee4c-630505995.ap-south-1.elb.amazonaws.com",,,,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,
[x],webview.indmoney.com,"52.66.144.226, 65.1.200.38, 35.154.85.248","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,prod-indmoney-public-alb-633532789.ap-south-1.elb.amazonaws.com,,,,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,
[x],widget.indiawealth.in,"104.18.9.213, 104.18.8.213","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,widget.indiawealth.in.cdn.cloudflare.net,True,cloudflare,,,,
[x],wright.indiawealth.in,"10.0.87.255, 10.0.1.141, 10.0.56.149","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.87.255, 10.0.1.141, 10.0.56.149",NOERROR,,,,,,,
[x],ws.indmoney.com,"104.18.30.240, 104.18.31.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],www.indiawealth.in,"52.66.144.226, 65.1.200.38, 35.154.85.248","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],www.indmoney.com,"104.18.31.240, 104.18.30.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
