input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_expired
app-service.skypixel.com,The world's biggest drone photo and video sharing platform | SkyPixel.com,200,10985,app-service.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,app-service.skypixel.com,,443,https://app-service.skypixel.com:443,https,,text/html,GET,47.254.56.245,/,-1082549427,47.254.56.245,,71,False,,,,https://mimo.skypixel.com,
asset2.djicdn.com,,403,243,asset2.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,asset2.djicdn.com,cloudfront,443,https://asset2.djicdn.com:443,https,AmazonS3,application/xml,GET,18.66.97.27,/,-1070812068,18.66.97.77,Amazon Web Services,2,False,True,,,,
asset4.djicdn.com,,403,243,asset4.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,asset4.djicdn.com,cloudfront,443,https://asset4.djicdn.com:443,https,AmazonS3,application/xml,GET,13.225.78.123,/,118145161,13.225.78.115,Amazon Web Services,2,False,True,,,,
asset5.djicdn.com,,403,243,asset5.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,asset5.djicdn.com,cloudfront,443,https://asset5.djicdn.com:443,https,AmazonS3,application/xml,GET,13.32.99.108,/,-1052956474,13.32.99.42,Amazon Web Services,2,False,True,,,,
assets.djicdn.com,,403,243,assets.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,assets.djicdn.com,cloudfront,443,https://assets.djicdn.com:443,https,AmazonS3,application/xml,GET,143.204.215.113,/,1899541361,143.204.215.69,Amazon Web Services,2,False,True,,,,
atlanta.djiservice.org,,403,124,atlanta.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,atlanta.djiservice.org,,443,https://atlanta.djiservice.org:443,https,Tengine,application/json,GET,79.133.177.231,/,1319356051,79.133.177.230,Tengine,2,False,,,,,
bbs-test.djicdn.com,403 Forbidden,403,238,bbs-test.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs-test.djicdn.com,,443,https://bbs-test.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.235,/,-342272319,101.226.27.240,Tengine,8,False,,,,,
bbs.dji.com,DJI大疆社区,200,172880,bbs.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,bbs.dji.com,,443,https://bbs.dji.com:443,https,Tengine,text/html,GET,114.80.179.209,/,-342272319,114.80.179.215,Tengine,2855,False,,,,bam.nr-data.net,
bbs.djicdn.com,,403,286,,,,,,,,,,,,,,,,,,,,80,http://bbs.djicdn.com:80,http,Tengine,application/xml,GET,101.226.28.188,/,,101.226.28.183,Tengine,9,False,,,,,
bbs.robomaster.com,RoboMaster论坛-科技宅天堂 -  手机版 - Powered by Discuz!,200,4301,bbs.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,True,ctls,bbs.robomaster.com,,443,https://bbs.robomaster.com:443,https,Tengine,text/html,GET,163.181.56.175,/,1078035768,163.181.56.173,Tengine,95,False,,https://bbs.robomaster.com/forum.php?mobile=yes,,bam.nr-data.net,
bbs11.djicdn.com,403 Forbidden,403,238,bbs11.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs11.djicdn.com,,443,https://bbs11.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.235,/,-342272319,101.226.27.234,Tengine,8,False,,,,,
bbs22.djicdn.com,403 Forbidden,403,238,bbs22.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs22.djicdn.com,,443,https://bbs22.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.238,/,-342272319,101.226.27.233,Tengine,8,False,,,,,
bbs33.djicdn.com,403 Forbidden,403,238,bbs33.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs33.djicdn.com,,443,https://bbs33.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.237,/,-342272319,101.226.27.234,Tengine,8,False,,,,,
bbs44.djicdn.com,403 Forbidden,403,238,bbs44.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs44.djicdn.com,,443,https://bbs44.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.239,/,-342272319,101.226.27.235,Tengine,8,False,,,,,
bbs55.djicdn.com,403 Forbidden,403,238,bbs55.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,bbs55.djicdn.com,,443,https://bbs55.djicdn.com:443,https,Tengine,text/html,GET,101.226.27.234,/,-342272319,101.226.27.237,Tengine,8,False,,,,,
bj.djiservice.org,,404,58,bj.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-18T23:59:59Z,CN=*.abcdbszf.com,*.abcdbszf.com,abcdbszf.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,954b5ad1b8b664f68d4208bd16f0a045,2876ddd072884cfdad4f091ee2e0c430e3ae79512f056bfcd60bc90f120c437b,True,ctls,bj.djiservice.org,,443,https://bj.djiservice.org:443,https,nw,application/json,GET,44.195.188.40,/,-1644060773,54.204.165.29,,2,False,,,True,,
career.djicdn.com,,403,243,career.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,career.djicdn.com,cloudfront,443,https://career.djicdn.com:443,https,AmazonS3,application/xml,GET,52.222.236.22,/,1736417001,52.222.236.94,Amazon Web Services,2,False,True,,,,
cdn-hz-staging.robomaster.com,RoboMaster Event System,200,27395,cdn-hz-staging.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,True,ctls,cdn-hz-staging.robomaster.com,,443,https://cdn-hz-staging.robomaster.com:443,https,Tengine,text/html,GET,101.226.27.233,/,251528156,101.226.27.238,Tengine,3,False,,,,,
cdn-hz.robomaster.com,,404,297,cdn-hz.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,True,ctls,cdn-hz.robomaster.com,,443,https://cdn-hz.robomaster.com:443,https,Tengine,application/xml,GET,101.226.27.238,/,1645332744,101.226.27.234,Tengine,10,False,,,,,
cdn-hz.skypixel.com,,403,265,cdn-hz.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,cdn-hz.skypixel.com,,443,https://cdn-hz.skypixel.com:443,https,Tengine,application/xml,GET,163.181.92.226,/,-1460777250,163.181.92.225,Tengine,9,False,,,,,
