input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,tls_subject_org_,tls_self_signed,csp_domains_,final_url
auth-rt1nodecomdbms.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,auth-rt1nodecomdbms.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,auth-rt1nodecomdbms.production.curve.app,cloudfront,443,https://auth-rt1nodecomdbms.production.curve.app:443,https,envoy,GET,13.32.99.33,/,-1840324437,2600:9000:2251:bc00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
authalphadata-stagingdefaultproduction.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,authalphadata-stagingdefaultproduction.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,authalphadata-stagingdefaultproduction.production.curve.app,cloudfront,443,https://authalphadata-stagingdefaultproduction.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:5a00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
authinternal-enassets-defaultproduction.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,authinternal-enassets-defaultproduction.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,authinternal-enassets-defaultproduction.production.curve.app,cloudfront,443,https://authinternal-enassets-defaultproduction.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:7000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
azure-okta-wiskey-orchestrator-safe.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,azure-okta-wiskey-orchestrator-safe.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,azure-okta-wiskey-orchestrator-safe.production.curve.app,cloudfront,443,https://azure-okta-wiskey-orchestrator-safe.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:f000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
b1.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,b1.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,b1.production.curve.app,cloudfront,443,https://b1.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:c000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
backup-accountauthvpn.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,backup-accountauthvpn.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,backup-accountauthvpn.production.curve.app,cloudfront,443,https://backup-accountauthvpn.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:b800:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
backup-chefapi-account-helpdeskcorporate.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,backup-chefapi-account-helpdeskcorporate.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,backup-chefapi-account-helpdeskcorporate.production.curve.app,cloudfront,443,https://backup-chefapi-account-helpdeskcorporate.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:f000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
backup-data-nodepanel.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,backup-data-nodepanel.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,backup-data-nodepanel.production.curve.app,cloudfront,443,https://backup-data-nodepanel.production.curve.app:443,https,envoy,GET,13.32.99.33,/,-1840324437,2600:9000:2251:ca00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
backupdadcsit3.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,backupdadcsit3.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,backupdadcsit3.production.curve.app,cloudfront,443,https://backupdadcsit3.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:cc00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
backupmail-host01.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,backupmail-host01.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,backupmail-host01.production.curve.app,cloudfront,443,https://backupmail-host01.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:1400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
