new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips
[x],spn11-2-seb.production.curve.app,"99.84.9.3, 99.84.9.129, 99.84.9.40, 99.84.9.95","2600:9000:215b:2200:0:d856:9bc0:93a1, 2600:9000:215b:ee00:0:d856:9bc0:93a1, 2600:9000:215b:ae00:0:d856:9bc0:93a1, 2600:9000:215b:7000:0:d856:9bc0:93a1, 2600:9000:215b:7e00:0:d856:9bc0:93a1, 2600:9000:215b:5a00:0:d856:9bc0:93a1, 2600:9000:215b:5200:0:d856:9bc0:93a1, 2600:9000:215b:2800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],spn4-1-pdc.production.curve.app,"99.84.9.129, 99.84.9.3, 99.84.9.40, 99.84.9.95","2600:9000:2171:c400:0:d856:9bc0:93a1, 2600:9000:2171:8600:0:d856:9bc0:93a1, 2600:9000:2171:7000:0:d856:9bc0:93a1, 2600:9000:2171:600:0:d856:9bc0:93a1, 2600:9000:2171:1e00:0:d856:9bc0:93a1, 2600:9000:2171:fc00:0:d856:9bc0:93a1, 2600:9000:2171:6800:0:d856:9bc0:93a1, 2600:9000:2171:b000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],spn5-3-grc.production.curve.app,"13.227.219.79, 13.227.219.114, 13.227.219.21, 13.227.219.9","2600:9000:21c7:4400:0:d856:9bc0:93a1, 2600:9000:21c7:4a00:0:d856:9bc0:93a1, 2600:9000:21c7:ec00:0:d856:9bc0:93a1, 2600:9000:21c7:7000:0:d856:9bc0:93a1, 2600:9000:21c7:e600:0:d856:9bc0:93a1, 2600:9000:21c7:4800:0:d856:9bc0:93a1, 2600:9000:21c7:e000:0:d856:9bc0:93a1, 2600:9000:21c7:3600:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],spn7-2-vzb.production.curve.app,"13.32.99.33, 13.32.99.67, 13.32.99.48, 13.32.99.9","2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:fe00:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:8400:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:d400:0:d856:9bc0:93a1, 2600:9000:2251:200:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-1123.awsdns-12.org, ns-80.awsdns-10.com, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],spn9-4-vzb.production.curve.app,"18.244.146.32, 18.244.146.29, 18.244.146.11, 18.244.146.76","2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:1000:0:d856:9bc0:93a1, 2600:9000:2251:4400:0:d856:9bc0:93a1, 2600:9000:2251:a200:0:d856:9bc0:93a1, 2600:9000:2251:5600:0:d856:9bc0:93a1, 2600:9000:2251:e600:0:d856:9bc0:93a1, 2600:9000:2251:f400:0:d856:9bc0:93a1, 2600:9000:2251:da00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],sqlservercsdockerintra.production.curve.app,"18.67.76.117, 18.67.76.87, 18.67.76.74, 18.67.76.126, 205.251.192.80, 205.251.194.176, 205.251.196.99, 205.251.199.54","2600:9000:2305:8800:0:d856:9bc0:93a1, 2600:9000:2305:ca00:0:d856:9bc0:93a1, 2600:9000:2305:aa00:0:d856:9bc0:93a1, 2600:9000:2305:8e00:0:d856:9bc0:93a1, 2600:9000:2305:d200:0:d856:9bc0:93a1, 2600:9000:2305:6e00:0:d856:9bc0:93a1, 2600:9000:2305:1600:0:d856:9bc0:93a1, 2600:9000:2305:6600:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],st14p08ls-gsp32-st14-pod08-r01.production.curve.app,,,d3tvd9pcwkvaen.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],stage-wrs.production.curve.app,"52.85.242.61, 52.85.242.24, 52.85.242.35, 52.85.242.94","2600:9000:21c3:3400:0:d856:9bc0:93a1, 2600:9000:21c3:9600:0:d856:9bc0:93a1, 2600:9000:21c3:d800:0:d856:9bc0:93a1, 2600:9000:21c3:2200:0:d856:9bc0:93a1, 2600:9000:21c3:dc00:0:d856:9bc0:93a1, 2600:9000:21c3:c00:0:d856:9bc0:93a1, 2600:9000:21c3:7800:0:d856:9bc0:93a1, 2600:9000:21c3:4c00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],staging-3.production.curve.app,"99.84.9.3, 99.84.9.129, 99.84.9.40, 99.84.9.95","2600:9000:215b:2200:0:d856:9bc0:93a1, 2600:9000:215b:ee00:0:d856:9bc0:93a1, 2600:9000:215b:ae00:0:d856:9bc0:93a1, 2600:9000:215b:7000:0:d856:9bc0:93a1, 2600:9000:215b:7e00:0:d856:9bc0:93a1, 2600:9000:215b:5a00:0:d856:9bc0:93a1, 2600:9000:215b:5200:0:d856:9bc0:93a1, 2600:9000:215b:2800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],staging-admin-gtglobal.production.curve.app,,,d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],staging-goc-sender.production.curve.app,"13.32.99.48, 13.32.99.33, 13.32.99.67, 13.32.99.9","2600:9000:2251:7c00:0:d856:9bc0:93a1, 2600:9000:2251:4200:0:d856:9bc0:93a1, 2600:9000:2251:c600:0:d856:9bc0:93a1, 2600:9000:2251:d000:0:d856:9bc0:93a1, 2600:9000:2251:ae00:0:d856:9bc0:93a1, 2600:9000:2251:ca00:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1, 2600:9000:2251:5800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],staging-lifejungbo.production.curve.app,"13.32.99.33, 13.32.99.9, 13.32.99.67, 13.32.99.48","2600:9000:2251:fe00:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:200:0:d856:9bc0:93a1, 2600:9000:2251:d400:0:d856:9bc0:93a1, 2600:9000:2251:8400:0:d856:9bc0:93a1, 2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-1846.awsdns-38.co.uk, ns-1123.awsdns-12.org, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],stagingalpha-vpnstoremiembrostunnel-mx.production.curve.app,"13.32.99.33, 13.32.99.48, 13.32.99.67, 13.32.99.9",,d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],stagingstreambackup-accept-domain.production.curve.app,"13.32.99.48, 13.32.99.9, 13.32.99.67, 13.32.99.33","2600:9000:2251:6000:0:d856:9bc0:93a1, 2600:9000:2251:3c00:0:d856:9bc0:93a1, 2600:9000:2251:a800:0:d856:9bc0:93a1, 2600:9000:2251:da00:0:d856:9bc0:93a1, 2600:9000:2251:3e00:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:ec00:0:d856:9bc0:93a1, 2600:9000:2251:800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],stagingusersalphaengliship-git.production.curve.app,"52.85.242.94, 52.85.242.61, 52.85.242.24, 52.85.242.35","2600:9000:21c3:d200:0:d856:9bc0:93a1, 2600:9000:21c3:f600:0:d856:9bc0:93a1, 2600:9000:21c3:ec00:0:d856:9bc0:93a1, 2600:9000:21c3:d400:0:d856:9bc0:93a1, 2600:9000:21c3:d600:0:d856:9bc0:93a1, 2600:9000:21c3:7a00:0:d856:9bc0:93a1, 2600:9000:21c3:2400:0:d856:9bc0:93a1, 2600:9000:21c3:6200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],statmiembrostunnel-mx.production.curve.app,"13.32.99.67, 13.32.99.9, 13.32.99.33, 13.32.99.48","2600:9000:2251:f800:0:d856:9bc0:93a1, 2600:9000:2251:a00:0:d856:9bc0:93a1, 2600:9000:2251:1c00:0:d856:9bc0:93a1, 2600:9000:2251:4600:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:b800:0:d856:9bc0:93a1, 2600:9000:2251:ba00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],status-crm-erp-demo.production.curve.app,"13.227.219.9, 13.227.219.79, 13.227.219.114, 13.227.219.21","2600:9000:21c7:e600:0:d856:9bc0:93a1, 2600:9000:21c7:4800:0:d856:9bc0:93a1, 2600:9000:21c7:e000:0:d856:9bc0:93a1, 2600:9000:21c7:3600:0:d856:9bc0:93a1, 2600:9000:21c7:4400:0:d856:9bc0:93a1, 2600:9000:21c7:4a00:0:d856:9bc0:93a1, 2600:9000:21c7:ec00:0:d856:9bc0:93a1, 2600:9000:21c7:7000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],status.curve.com,18.234.32.151,,bjgymb4fvm01.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,"globalsign.com;, letsencrypt.org",,
[x],status.imaginecurve.com,18.246.31.133,,bjgymb4fvm01.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,"letsencrypt.org, globalsign.com;",,
